CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;CTD;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TE90;DOXY;OXYM_01;Si_01;NO2_01;PO4_01;NOx_01;Si_01;PO4_01;NOx_01;CHL_01;CHL_03;FLOR;CHL_XX
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mg/m**3);(mg/m**3);(mg/m**3);(mg/m**3)
18HU00062_565;71;47.48383;-59.45267;232965;346.49;29-nov-00;12:38:00;34.78;5.67;163.09832;3.797;21.505;0;1.515;21.185;NaN;NaN;NaN;NaN;NaN;0.434;NaN
18HU00062_565;71;47.48383;-59.45267;232966;298.07;29-nov-00;12:38:00;34.73;6.25;161.98182;3.741;18.605;0.005;1.47;20.77;NaN;NaN;NaN;NaN;NaN;0.423;NaN
18HU00062_565;71;47.48383;-59.45267;232967;248.26;29-nov-00;12:38:00;34.63;6.6;171.53906;3.813;16.17;0;1.395;19.5;NaN;NaN;NaN;NaN;NaN;0.425;NaN
18HU00062_565;71;47.48383;-59.45267;232968;196.75;29-nov-00;12:38:00;34.29;6.13;196.68264;4.423;13.22;0.005;1.225;15.76;NaN;NaN;NaN;NaN;NaN;0.46;NaN
18HU00062_565;71;47.48383;-59.45267;232969;149.29;29-nov-00;12:38:00;33.68;4.21;220.03982;5.291;11.39;0.01;1.145;13.185;NaN;NaN;NaN;NaN;NaN;0.479;NaN
18HU00062_565;71;47.48383;-59.45267;232970;99.64;29-nov-00;12:38:00;32.69;1.85;268.27262;6.577;7.06;0.12;0.95;8.245;NaN;NaN;NaN;0.08;0.15;0.611;NaN
18HU00062_565;71;47.48383;-59.45267;232971;49.97;29-nov-00;12:38:00;31.54;6.98;308.73458;6.827;1.495;0.13;0.385;1.03;NaN;NaN;NaN;0.68;0.95;3.533;NaN
18HU00062_565;71;47.48383;-59.45267;232972;24.79;29-nov-00;12:38:00;31.48;6.78;318.91706;6.861;1.55;0.135;0.38;1.065;NaN;NaN;NaN;0.67;0.955;3.767;NaN
18HU00062_565;71;47.48383;-59.45267;232973;14.97;29-nov-00;12:38:00;31.46;6.77;323.69568;6.842;1.57;0.145;0.385;1.145;NaN;NaN;NaN;0.615;0.855;3.304;NaN
18HU00062_565;71;47.48383;-59.45267;232974;4.96;29-nov-00;12:38:00;31.45;6.77;329.54614;6.843;1.7;0.15;0.4;1.17;NaN;NaN;NaN;0.68;0.96;3.663;NaN
18HU00062_565;71;47.48383;-59.45267;232975;3.27;29-nov-00;12:38:00;31.45;6.77;330.17138;6.857;1.74;0.155;0.39;1.175;NaN;NaN;NaN;0.775;1.07;3.743;NaN
18HU00062_566;761;47.817;-63.99983;233529;50.27;07-dec-00;06:16:00;30.81;3.5;317.48794;7.625;4.165;0.22;0.8;5.965;NaN;NaN;NaN;0.115;0.215;0.778;NaN
18HU00062_566;761;47.817;-63.99983;233530;25.78;07-dec-00;06:16:00;30.52;3.03;332.67234;7.4935;4.465;0.2;0.575;4.125;NaN;NaN;NaN;0.26;0.255;1.212;NaN
18HU00062_566;761;47.817;-63.99983;233531;15.07;07-dec-00;06:16:00;30.52;3.01;338.65678;7.494;4.35;0.19;0.56;4.195;NaN;NaN;NaN;0.205;0.21;1.199;NaN
18HU00062_566;761;47.817;-63.99983;233532;5.35;07-dec-00;06:16:00;30.52;3.01;344.5519;7.497;4.24;0.185;0.55;4.235;NaN;NaN;NaN;0.26;0.26;1.186;NaN
18HU00062_566;761;47.817;-63.99983;233533;3.77;07-dec-00;06:16:00;30.52;3.02;345.48976;7.508;4.37;0.2;0.53;4.34;NaN;NaN;NaN;0.23;0.24;1.178;NaN
18HU00062_567;791;47.6185;-63.29833;233535;50.67;07-dec-00;09:06:00;31.66;2.22;299.93656;6.316;11.275;0.12;1.15;10.03;NaN;NaN;NaN;0.045;0.115;0.651;NaN
18HU00062_567;791;47.6185;-63.29833;233536;25.38;07-dec-00;09:06:00;30.5;2.96;330.75196;7.4585;5.635;0.14;0.765;4.97;NaN;NaN;NaN;0.21;0.34;1.311;NaN
18HU00062_567;791;47.6185;-63.29833;233537;15.57;07-dec-00;09:06:00;30.5;2.95;336.24514;7.459;5.52;0.145;0.775;5.09;NaN;NaN;NaN;0.13;0.19;1.054;NaN
