CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TE90;DOXY;Si_01;PO4_01;NOx_01;OXYM_01;CHL_01;CHL_03
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mg/m**3);(mg/m**3)
18PZ96058_499;451;47.26467;-64.12717;181327;4.26;11-dec-96;07:16:00;29.57;3.1;342.45288;5.435;0.755;4.08;7.694;0.37;0.55
18PZ96058_499;451;47.26467;-64.12717;181328;0.5;11-dec-96;07:16:00;NaN;NaN;NaN;5.51;0.755;3.92;NaN;0.42;0.59
18PZ96058_500;461;47.158;-63.15817;181329;56.12;11-dec-96;11:29:00;31.28;1.56;NaN;17.445;1.415;12.16;5.6925;0.07;0.13
18PZ96058_500;461;47.158;-63.15817;181330;52.65;11-dec-96;11:29:00;31.28;1.56;263.36002;17.635;1.39;11.86;5.6875;0.07;0.12
18PZ96058_500;461;47.158;-63.15817;181331;27.67;11-dec-96;11:29:00;29.89;3.38;336.0665;4.67;0.69;4.03;7.547;0.38;0.54
18PZ96058_500;461;47.158;-63.15817;181332;17.45;11-dec-96;11:29:00;29.89;3.37;337.89756;4.725;0.71;4.05;7.677;0.45;0.62
18PZ96058_500;461;47.158;-63.15817;181333;8.03;11-dec-96;11:29:00;29.89;3.37;339.77328;4.715;0.73;3.99;7.6425;0.44;0.62
18PZ96058_500;461;47.158;-63.15817;181334;0.5;11-dec-96;11:29:00;NaN;NaN;NaN;4.625;0.685;3.855;NaN;0.4;0.58
18PZ96058_501;471;46.71667;-62;181335;67.53;11-dec-96;16:23:00;30.27;3.03;NaN;14.34;1.145;9.745;5.997;0.07;0.11
18PZ96058_501;471;46.71667;-62;181336;53.65;11-dec-96;16:23:00;30.22;3.11;278.85704;13.735;1.11;9.08;5.203;0.08;0.12
18PZ96058_501;471;46.71667;-62;181337;28.86;11-dec-96;16:23:00;29.1;4.71;322.80248;3.655;0.615;2.16;7.472;0.29;0.4
18PZ96058_501;471;46.71667;-62;181338;19.14;11-dec-96;16:23:00;29.1;4.72;323.60636;3.365;0.55;2.43;7.481;0.36;0.5
18PZ96058_501;471;46.71667;-62;181339;8.83;11-dec-96;16:23:00;29.1;4.72;326.33062;3.595;0.59;2.24;7.2085;0.4;0.54
18PZ96058_501;471;46.71667;-62;181340;0.5;11-dec-96;16:23:00;NaN;NaN;NaN;3.47;0.565;2.135;NaN;0.36;0.49
18PZ96058_502;481;46.81817;-60.93467;181341;108.07;11-dec-96;20:21:00;32.66;1.93;250.94454;12.785;1.21;10.97;5.8075;0.04;0.1
18PZ96058_502;481;46.81817;-60.93467;181342;102.91;11-dec-96;20:21:00;32.64;1.94;252.90958;13.915;1.245;11.9;5.791;0.05;0.11
