CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TEMP_XX;DOXY;CHL_01;Si_01;PO4_01;NOx_01;PSAL_BS;NO2_01;OXY_02;NO2_01;NOx_01;PO4_01;Si_01
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);(mg/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(PSU);(mmol/m**3);(ml/l);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3)
18HU13008_124;HL_16;39.7659;-59.5297;392814;49.53;24-may-13;14:45:00;36.3508;21.688;4.7674;0.2597;NaN;NaN;NaN;NaN;NaN;NaN;0.04;0;0;0.42
18HU13008_124;HL_16;39.7659;-59.5297;392815;39.53;24-may-13;14:45:00;36.3518;21.8666;4.7494;0.1889;NaN;NaN;NaN;NaN;NaN;NaN;0.04;0;0;0.505
18HU13008_124;HL_16;39.7659;-59.5297;392816;28.65;24-may-13;14:45:00;36.3335;21.9914;4.7459;0.1925;NaN;NaN;NaN;NaN;NaN;NaN;0.06;0;0;0.66
18HU13008_124;HL_16;39.7659;-59.5297;392817;19.19;24-may-13;14:45:00;36.2943;22.2091;4.7513;0.154;NaN;NaN;NaN;NaN;NaN;NaN;0.045;0;0;0.725
18HU13008_124;HL_16;39.7659;-59.5297;392818;9.08;24-may-13;14:45:00;36.2094;22.4455;4.7382;0.1628;NaN;NaN;NaN;NaN;NaN;NaN;0.045;0;0;0.815
18HU13008_124;HL_16;39.7659;-59.5297;392819;2.88;24-may-13;14:45:00;36.2058;22.4583;4.7587;0.1575;NaN;NaN;NaN;NaN;NaN;NaN;0.05;0;0;0.905
18HU13008_124;HL_16;39.7659;-59.5297;392820;3.23;24-may-13;14:45:00;36.2058;22.458;4.7385;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
18HU13008_125;HL_15;40.1481;-59.8488;392821;5161.64;24-may-13;17:32:00;34.87;2.2131;5.7124;NaN;NaN;NaN;NaN;34.8693;NaN;5.902;0.19;20.505;1.4695;43.31
18HU13008_125;HL_15;40.1481;-59.8488;392822;4929.49;24-may-13;17:32:00;34.8794;2.2513;5.8016;NaN;NaN;NaN;NaN;34.8797;NaN;6.045;0.17;18.835;1.374;36.24
18HU13008_125;HL_15;40.1481;-59.8488;392823;4729.19;24-may-13;17:32:00;34.8829;2.2555;5.8464;NaN;NaN;NaN;NaN;34.8831;NaN;6.094;0.17;18.535;1.339;33.615
