CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;terrain;labo;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PRES;PSAL_BS;OXYM_01;TEMP_XX;Si_01;PO4_01;NOx_01;CHL_XX
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(dbar);(PSU);(mmol/m**3);(celsius);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mg/m**3)
18TL04524_047;SEGB-13;43.2;-50.1667;258109;5;20-apr-04;07:35:00;4.71;32.33;7.34885803851321;4.84;0.96;0.25;0.1;1
18TL04524_058;SEGB-14;42.92;-49.9417;258110;158;20-apr-04;09:50:00;159.25;33.626;7.23914017017465;1.1;NaN;NaN;NaN;NaN
18TL04524_069;SEGB-15;42.85;-49.8867;258111;381;20-apr-04;10:36:00;383.27;34.66;8.11016569637259;3.66;9.56;1.09;15.78;NaN
18TL04524_069;SEGB-15;42.85;-49.8867;258112;149;20-apr-04;10:36:00;150.5;33.54;8.13927451858486;0.88;6.57;0.89;9.18;NaN
18TL04524_069;SEGB-15;42.85;-49.8867;258113;100;20-apr-04;10:36:00;101.09;33.341;8.24003582624272;0.45;5.92;0.92;8.55;1.6
18TL04524_069;SEGB-15;42.85;-49.8867;258114;75;20-apr-04;10:36:00;75.11;33.243;8.5691894312584;0.57;4.24;0.87;6.74;1.41
18TL04524_069;SEGB-15;42.85;-49.8867;258115;50;20-apr-04;10:36:00;49.91;33.066;8.5691894312584;0.42;3.15;0.7;5.22;3.93
18TL04524_069;SEGB-15;42.85;-49.8867;258116;40;20-apr-04;10:36:00;40.59;32.96;8.07881773399015;1.05;1.68;0.51;1.78;5.72
18TL04524_069;SEGB-15;42.85;-49.8867;258117;29;20-apr-04;10:36:00;29.34;32.792;7.76981639050605;2.22;2.34;0.51;0.6;4.6
18TL04524_069;SEGB-15;42.85;-49.8867;258118;19;20-apr-04;10:36:00;18.97;32.686;7.5794894760412;3.38;1.02;0.3;0.17;2.77
18TL04524_069;SEGB-15;42.85;-49.8867;258119;9;20-apr-04;10:36:00;9.47;32.67;7.36901030004478;3.56;1.08;0.29;0.2;2.3
18TL04524_069;SEGB-15;42.85;-49.8867;258120;5;20-apr-04;10:36:00;4.91;32.662;6.65920286609942;3.64;1.2;0.32;0.16;2.4
18TL04524_080;SEGB-16;42.775;-49.8283;258121;1491;20-apr-04;12:22:00;1497.9;34.904;6.86968204209584;3.48;NaN;NaN;NaN;NaN
18TL04524_091;SEGB-17;42.5883;-49.6833;258122;1505;20-apr-04;14:55:00;1512.2;34.909;8.66995073891626;3.51;11.58;1.24;17.76;NaN
18TL04524_091;SEGB-17;42.5883;-49.6833;258123;150;20-apr-04;14:55:00;151.18;34.293;8.64084191670399;2.6;9.42;0.94;13.56;NaN
18TL04524_091;SEGB-17;42.5883;-49.6833;258124;100;20-apr-04;14:55:00;100.77;34.094;8.62964621585311;2.16;7.36;0.93;11.78;1.66
18TL04524_091;SEGB-17;42.5883;-49.6833;258125;75;20-apr-04;14:55:00;75.57;33.715;8.5691894312584;1.26;5.25;0.8;9.54;3.06
18TL04524_091;SEGB-17;42.5883;-49.6833;258126;50;20-apr-04;14:55:00;50.3;33.464;8.4191670398567;0.63;5.15;0.82;8.87;2.59
18TL04524_091;SEGB-17;42.5883;-49.6833;258127;39;20-apr-04;14:55:00;39.07;33.144;7.70040304523063;1.43;2.55;0.65;4.26;3.91
18TL04524_091;SEGB-17;42.5883;-49.6833;258128;29;20-apr-04;14:55:00;29.59;32.785;7.33094491715181;1.52;1.87;0.51;1.3;3.69
18TL04524_091;SEGB-17;42.5883;-49.6833;258129;20;20-apr-04;14:55:00;20.03;32.778;6.95029108822212;1.63;1.08;0.43;0.79;3.7
18TL04524_091;SEGB-17;42.5883;-49.6833;258130;10;20-apr-04;14:55:00;9.97;32.78;6.60098522167488;1.73;0.98;0.4;0.87;3.4
18TL04524_091;SEGB-17;42.5883;-49.6833;258131;5;20-apr-04;14:55:00;4.87;32.78;6.82042095835199;1.67;1.52;0.45;1.76;3.45
18TL04524_102;SEGB-18;42.395;-49.5183;258132;1509;20-apr-04;18:44:00;1516.3;34.914;6.80922525750112;3.42;NaN;NaN;NaN;NaN
18TL04524_113;SEGB-01;46.5833;-52.9333;258046;46;18-apr-04;05:34:00;46.61;32.653;8.06090461262875;-0.12;3.33;0.86;4.64;1.24
18TL04524_113;SEGB-01;46.5833;-52.9333;258047;38;18-apr-04;05:34:00;38.67;32.64;8.06090461262875;-0.1;3.15;0.5;4.5;1.38
