CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TE90;DOXY;OXYM_01;Si_01;NO2_01;NOx_01;PO4_01;CHL_01;CHL_03
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mg/m**3);(mg/m**3)
18NE95008_474;2501;47.086;-62.394;212;0.99;09-sep-95;04:56:00;29.35;14.7;NaN;NaN;1.85;0.07;0.9;0.41;0.44;0.63
18NE95008_474;2501;47.086;-62.394;213;4.86;09-sep-95;04:56:00;29.36;14.73;265.2804;7.14;2.16;0.1;1.88;NaN;0.49;0.63667
18NE95008_474;2501;47.086;-62.394;214;52.55;09-sep-95;04:56:00;31.24;-1;270.14834;6.58;15.31;0.16;10.66;NaN;0.1;0.21
18NE95008_475;341;47.95447;-64.14545;103;0.99;17-sep-95;17:14:00;28.51;12.99;NaN;NaN;1.87;0.11;0.705;0.495;1.63;1.72
18NE95008_475;341;47.95447;-64.14545;104;5.06;17-sep-95;17:14:00;28.5;12.98;281.09004;6.25;2.09;0.07;1.07;0.44;1.66;1.66
18NE95008_475;341;47.95447;-64.14545;105;15.07;17-sep-95;17:14:00;28.49;12.96;272.426;6.29;2.36;0.07;0.59;0.49;2.03333;1.66
18NE95008_475;341;47.95447;-64.14545;106;34.7;17-sep-95;17:14:00;29.48;9.94;269.61242;6.415;2.89;0.12;1.2;0.63;0.22;0.34
18NE95008_476;361;47.2081;-64.68475;361_10;14.18;20-sep-95;15:17:00;28.47;13.73;245.67466;NaN;0.75;0.32;0.77;0.38;1.27;1.33667
18NE95008_476;361;47.2081;-64.68475;361_11;22.71;20-sep-95;15:17:00;29.46;9.61;246.21058;NaN;5.23;0.28;2.75;0.81;0.36;0.54
18NE95008_476;361;47.2081;-64.68475;361_8;1.29;20-sep-95;15:17:00;28.37;14.19;296.22978;NaN;0.48333;0.25;0.82;0.32;0.9;0.96
18NE95008_476;361;47.2081;-64.68475;361_9;5.16;20-sep-95;15:17:00;28.38;14.18;336.64708;NaN;0.42;0.29;0.66;0.34;1.21;1.29
18NE95008_477;381;47.3775;-64.7015;381_12;1.39;20-sep-95;13:41:00;28.42;14.19;242.19118;NaN;1.37333;0.24;0.39;0.35;0.97;0.98
18NE95008_477;381;47.3775;-64.7015;381_13;4.07;20-sep-95;13:41:00;28.42;14.17;246.88048;NaN;1.79;0.28;0.59;0.32;0.99;1.07
18NE95008_477;381;47.3775;-64.7015;381_14;14.87;20-sep-95;13:41:00;28.44;14.08;254.02608;NaN;1.27;NaN;NaN;NaN;0.85667;0.79667
