CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;labo;CTD
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TE90;DOXY;OXYM_01;Si_01;NO2_01;NOx_01;PO4_01;CHL_01;CHL_03;FLOR
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mg/m**3);(mg/m**3);(mg/m**3)
18PZ97042_516;51;47.28322;-59.68343;193643;446.66;16-nov-97;08:33:00;34.89;5.19;161.49056;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.649
18PZ97042_516;51;47.28322;-59.68343;193644;456.65;16-nov-97;08:33:00;34.89;5.2;156.22068;3.72;35.64;0.07;22.68;1.94;0.01;0.01;0.694
18PZ97042_517;61;47.38307;-59.56813;193645;5.35;16-nov-97;10:55:00;31.33;6.5;313.5132;6.95;3.06;0.11;0.36;0.46;0.72;0.79;2.431
18PZ97042_517;61;47.38307;-59.56813;193646;14.97;16-nov-97;10:55:00;31.35;6.5;309.0472;6.94;3.37;0.11;0.4;0.46;0.67;0.73;2.417
18PZ97042_517;61;47.38307;-59.56813;193647;25.09;16-nov-97;10:55:00;31.35;6.5;302.61616;6.95;2.38;0.11;0.61;0.44;0.69;0.75;2.351
18PZ97042_517;61;47.38307;-59.56813;193648;50.17;16-nov-97;10:55:00;32.08;4.23;310.07438;6.92;3.6;0.22;5.53;0.69;0.15;0.18;0.869
18PZ97042_517;61;47.38307;-59.56813;193649;100.03;16-nov-97;10:55:00;32.63;0.61;302.16956;7.08;7.11;0.2;16.55;1.07;0.04;0.05;0.629
18PZ97042_517;61;47.38307;-59.56813;193650;149.19;16-nov-97;10:55:00;33.26;1.53;268.94252;5.98;15.39;0.07;10.24;1.3;0.02;0.03;0.524
18PZ97042_517;61;47.38307;-59.56813;193651;197.44;16-nov-97;10:55:00;34.22;5.53;189.5817;4.11;22.66;0.07;14.48;1.46;0.02;0.02;0.533
18PZ97042_517;61;47.38307;-59.56813;193652;247.17;16-nov-97;10:55:00;34.63;6.4;168.18956;3.77;20.64;0.07;22.74;1.62;0.01;0.02;0.505
18PZ97042_517;61;47.38307;-59.56813;193653;297.38;16-nov-97;10:55:00;NaN;NaN;NaN;4.06;21.13;0.07;23.42;1.66;0.01;0.02;0.47
18PZ97042_517;61;47.38307;-59.56813;193654;394.8;16-nov-97;10:55:00;34.86;5.16;187.43802;3.99;29.34;0.07;23.86;1.75;0.01;0.01;0.449
18PZ97042_517;61;47.38307;-59.56813;193655;449.03;16-nov-97;10:55:00;34.86;4.9;182.92736;4.33;29.44;0.07;24.66;1.71;0.03;0.03;0.542
18PZ97042_518;71;47.48324;-59.4501;193656;4.36;16-nov-97;15:03:00;31.57;5.69;307.2608;7;3.18;0.13;4.77;0.65;0.62;0.66;2.001
18PZ97042_518;71;47.48324;-59.4501;193657;14.78;16-nov-97;15:03:00;31.63;5.3;303.73266;NaN;NaN;NaN;NaN;NaN;NaN;NaN;2.233
18PZ97042_518;71;47.48324;-59.4501;193658;25.38;16-nov-97;15:03:00;31.91;3.93;299.53462;7.12;4.03;0.18;10.61;0.94;0.2;0.23;1.245
18PZ97042_518;71;47.48324;-59.4501;193659;49.97;16-nov-97;15:03:00;32.46;1.2;308.24332;7.15;4.51;0.17;20.96;1;0.08;0.09;0.851
18PZ97042_518;71;47.48324;-59.4501;193660;99.44;16-nov-97;15:03:00;32.85;0.58;284.12692;6.54;11.3;0.04;10.26;1.24;0.02;0.03;0.725
18PZ97042_518;71;47.48324;-59.4501;193661;149.49;16-nov-97;15:03:00;33.62;3.12;239.33294;5.47;13.81;0.05;14.52;1.38;0.02;0.02;0.686
18PZ97042_518;71;47.48324;-59.4501;193662;197.74;16-nov-97;15:03:00;34.31;5.81;174.35264;5.48;10.45;0.08;9.17;0.89;0.34;0.38;0.698
18PZ97042_518;71;47.48324;-59.4501;193663;247.86;16-nov-97;15:03:00;34.63;6.26;166.67112;3.74;19.39;0.05;22.31;1.64;0.01;0.02;0.676
18PZ97042_518;71;47.48324;-59.4501;193664;296.79;16-nov-97;15:03:00;34.65;5.55;189.17976;4.14;19.99;0.04;22.47;1.49;0.01;0.01;0.731
18PZ97042_518;71;47.48324;-59.4501;193665;345.2;16-nov-97;15:03:00;34.73;5.07;204.85542;4.48;21.51;0.05;23.99;1.61;0.01;0.01;0.729
18PZ97042_518;71;47.48324;-59.4501;193666;394;16-nov-97;15:03:00;34.81;4.89;203.8729;4.49;24.07;0.05;21.08;1.6;0.02;0.03;0.757
18PZ97042_519;81;47.58394;-59.33365;193667;5.65;16-nov-97;16:52:00;31.98;4.5;317.9792;7.11;6.75;0.15;3.47;0.76;0.19;0.21;1.228
18PZ97042_519;81;47.58394;-59.33365;193668;15.17;16-nov-97;16:52:00;32.15;3.48;322.84714;NaN;NaN;NaN;NaN;NaN;NaN;NaN;1.031
18PZ97042_519;81;47.58394;-59.33365;193669;25.19;16-nov-97;16:52:00;32.29;2.57;317.35396;7.12;7.82;0.16;5.51;0.9;0.07;0.09;0.941
18PZ97042_519;81;47.58394;-59.33365;193670;49.87;16-nov-97;16:52:00;32.51;1.44;309.22584;7.14;8.2;0.16;6.22;0.94;0.05;0.07;0.725
