CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;CTD
18TL06043_866;171;47.65083;-60.45;290172;312.33;04-aug-06;23:12:00;34.76;5.5;143.22462;3.234;0.191
18TL06043_866;171;47.65083;-60.45;290173;250.43;04-aug-06;23:12:00;34.63;5.6;124.19946;2.823;0.183
18TL06043_866;171;47.65083;-60.45;290174;1.69;04-aug-06;23:12:00;30.17;17.38;260.41246;5.784;2.862
18TL06043_867;181;47.80067;-60.638;290175;232.11;05-aug-06;03:13:00;34.41;5.29;119.73346;2.6445;0.237
18TL06043_867;181;47.80067;-60.638;290176;3.87;05-aug-06;03:13:00;30.28;17.04;257.86684;5.978;2.099
18TL06043_868;21;46.95383;-60.02017;290136;149.99;03-aug-06;13:37:00;34.08;4.64;173.23614;3.755;0.232
18TL06043_868;21;46.95383;-60.02017;290137;1.98;03-aug-06;13:37:00;28.94;17.92;255.81248;5.681;2.311
18TL06043_869;31;47.08333;-59.9175;290138;369.96;03-aug-06;15:30:00;34.83;5.29;165.82258;3.7415;0.201
18TL06043_869;31;47.08333;-59.9175;290139;249.85;03-aug-06;15:30:00;34.63;5.8;149.611;3.2415;0.186
18TL06043_869;31;47.08333;-59.9175;290140;1.49;03-aug-06;15:30:00;30.41;17;259.16198;5.797;1.117
18TL06043_870;41;47.184;-59.79883;290141;431.23;03-aug-06;16:43:00;34.87;5;179.5332;4.0565;0.199
18TL06043_870;41;47.184;-59.79883;290142;252.13;03-aug-06;16:43:00;34.73;5.68;149.3877;3.298;0.215
18TL06043_870;41;47.184;-59.79883;290143;1.49;03-aug-06;16:43:00;30.4;17.26;258.44742;5.7795;1.213
18TL06043_871;51;47.28317;-59.683;290144;460.91;03-aug-06;18:08:00;34.88;4.97;187.7953;4.28;0.187
18TL06043_871;51;47.28317;-59.683;290145;251.04;03-aug-06;18:08:00;34.68;5.83;147.42266;3.338;0.2
18TL06043_871;51;47.28317;-59.683;290146;1.49;03-aug-06;18:08:00;30.25;16.69;263.0474;5.867;1.203
18TL06043_872;61;47.38417;-59.566;290147;462.68;03-aug-06;19:24:00;34.88;4.97;187.7953;4.275;0.192
18TL06043_872;61;47.38417;-59.566;290148;251.23;03-aug-06;19:24:00;34.64;5.83;145.32364;3.219;0.202
18TL06043_872;61;47.38417;-59.566;290149;2.28;03-aug-06;19:24:00;30.45;15.98;264.34254;6.027;1.331
18TL06043_873;71;47.47417;-59.44017;290150;438.34;03-aug-06;21:55:00;34.87;5.01;187.48268;6.152;0.166
18TL06043_873;71;47.47417;-59.44017;290151;250.83;03-aug-06;21:55:00;34.69;5.88;151.71002;3.355;0.185
18TL06043_873;71;47.47417;-59.44017;290152;2.38;03-aug-06;21:55:00;30.58;15.35;276.31142;6.122;2.464
18TL06043_874;81;47.59367;-59.3655;290153;260.64;04-aug-06;00:17:00;34.78;6.25;171.941;3.85966659202866;0.149
18TL06043_874;81;47.59367;-59.3655;290154;250.83;04-aug-06;00:17:00;34.78;6.25;171.58372;3.846;0.152
18TL06043_874;81;47.59367;-59.3655;290155;1.98;04-aug-06;00:17:00;30.7;13.29;291.94242;6.46266659202866;4.425
18TL06043_875;91;47.80733;-59.47283;290156;154.73;04-aug-06;02:37:00;34.26;5.28;173.99536;3.9595;0.179
18TL06043_875;91;47.80733;-59.47283;290157;1.98;04-aug-06;02:37:00;31.34;6.57;312.1734;7.192;2.324
