CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL_BS;OXYM_01;Si_01;PO4_01;NOx_01
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(PSU);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3)
18HU76020_243;33;42.75;-63.5058;-129;40;04-jul-76;04:26:00;32.76;NaN;1.91;0.5;3.95
18HU76020_243;33;42.75;-63.5058;-130;50;04-jul-76;04:26:00;33.56;NaN;3.67;0.6;5.5
18HU76020_243;33;42.75;-63.5058;-131;75;04-jul-76;04:26:00;34.23;NaN;9.58;0.78;6.64
18HU76020_243;33;42.75;-63.5058;-132;100;04-jul-76;04:26:00;34.9;NaN;10.45;1.01;9.22
18HU76020_243;33;42.75;-63.5058;-133;125;04-jul-76;04:26:00;35.06;NaN;15.3;1.18;10.9
18HU76020_243;33;42.75;-63.5058;-134;150;04-jul-76;04:26:00;35.07;NaN;17.09;1.36;12.2
18HU76020_247;35;42.835;-63.505;-135;10;04-jul-76;06:28:00;31.41;5.8;0.17;0.22;1.56
18HU76020_247;35;42.835;-63.505;-136;30;04-jul-76;06:28:00;31.76;6.2;0.06;0.3;1.83
18HU76020_247;35;42.835;-63.505;-137;40;04-jul-76;06:28:00;32.16;6.6;1.11;0.5;2.42
18HU76020_247;35;42.835;-63.505;-138;50;04-jul-76;06:28:00;32.61;6.4;5.64;0.82;6.24
18HU76020_247;35;42.835;-63.505;-139;75;04-jul-76;06:28:00;34.02;5.1;9.43;0.84;7.44
18HU76020_247;35;42.835;-63.505;-140;100;04-jul-76;06:28:00;34.79;4.7;12.09;0.92;7.93
18HU76020_247;35;42.835;-63.505;-141;125;04-jul-76;06:28:00;35;4.3;9.55;1.14;10.99
18HU76020_247;35;42.835;-63.505;-142;150;04-jul-76;06:28:00;35.08;3.8;17.08;1.21;12.3
18HU76020_253;36;42.9217;-63.5017;-143;10;04-jul-76;07:40:00;31.61;5.8;0.01;0.23;1.45
18HU76020_253;36;42.9217;-63.5017;-144;30;04-jul-76;07:40:00;32.17;6.2;0.21;0.38;1.72
18HU76020_253;36;42.9217;-63.5017;-145;40;04-jul-76;07:40:00;31.94;6.5;0.81;0.59;2.06
18HU76020_253;36;42.9217;-63.5017;-146;50;04-jul-76;07:40:00;32.19;6.4;2.55;0.58;3.35
18HU76020_253;36;42.9217;-63.5017;-147;75;04-jul-76;07:40:00;NaN;4.8;7.67;1.11;11.75
18HU76020_253;36;42.9217;-63.5017;-148;100;04-jul-76;07:40:00;NaN;4.4;8.65;0.94;8.97
18HU76020_253;36;42.9217;-63.5017;-149;125;04-jul-76;07:40:00;NaN;4.1;13.68;1.04;9.88
18HU76020_253;36;42.9217;-63.5017;-150;150;04-jul-76;07:40:00;35.1;4;16.91;1.28;12.98
18HU76020_257;37;43;-63.5;-151;10;04-jul-76;08:37:00;31.49;6;0.23;0.24;1.89
18HU76020_257;37;43;-63.5;-152;30;04-jul-76;08:37:00;31.97;6.4;1.04;0.64;2.41
18HU76020_257;37;43;-63.5;-153;40;04-jul-76;08:37:00;32.1;6.1;4.86;0.73;4
18HU76020_257;37;43;-63.5;-154;50;04-jul-76;08:37:00;32.71;5.5;8.41;0.96;8.66
18HU76020_257;37;43;-63.5;-155;75;04-jul-76;08:37:00;33.13;4.9;11.19;1.17;12.62
18HU76020_257;37;43;-63.5;-156;100;04-jul-76;08:37:00;34.07;4.1;11.19;1.17;13.22
18HU76020_257;37;43;-63.5;-157;125;04-jul-76;08:37:00;34.66;3.7;16.74;1.28;16.42
18HU76020_257;37;43;-63.5;-158;150;04-jul-76;08:37:00;34.97;3.5;9.78;1.36;15.98
18HU76020_265;40;41.9925;-63.4933;-79;10;05-jul-76;00:34:00;31.56;5.5;0.25;0.45;2.8
18HU76020_265;40;41.9925;-63.4933;-80;30;05-jul-76;00:34:00;33.25;6.3;0.12;0.3;2.75
18HU76020_265;40;41.9925;-63.4933;-81;40;05-jul-76;00:34:00;32.73;6.3;0.12;0.29;1.5
18HU76020_265;40;41.9925;-63.4933;-82;50;05-jul-76;00:34:00;33.06;6.1;4.19;0.6;3.94
18HU76020_265;40;41.9925;-63.4933;-83;75;05-jul-76;00:34:00;33.99;5;8.51;0.69;7.46
18HU76020_265;40;41.9925;-63.4933;-84;100;05-jul-76;00:34:00;34.73;4.5;11.03;0.77;7.06
18HU76020_265;40;41.9925;-63.4933;-85;125;05-jul-76;00:34:00;35;4.2;12.5;0.87;6.25
18HU76020_265;40;41.9925;-63.4933;-86;150;05-jul-76;00:34:00;35.13;4.3;16.06;0.97;10.21
18HU76020_275;41;42.1717;-63.4983;-87;10;05-jul-76;02:47:00;31.66;5.5;0.1;NaN;NaN
18HU76020_275;41;42.1717;-63.4983;-88;30;05-jul-76;02:47:00;33.1;5.8;0.06;NaN;NaN
18HU76020_275;41;42.1717;-63.4983;-89;40;05-jul-76;02:47:00;33.39;5.8;3.95;0.37;4.92
