CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;CTD
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TE90;DOXY;PHPH;OXYM_01;Si_01;NO2_01;NOx_01;PO4_01;CHL_03;FLOR
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);((none));(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mg/m**3);(mg/m**3)
18TL12001_1207;451;46.957;-60.21517;347083;50.37;10-jun-12;19:03:00;31.29;1.39;329.50148;8.147;NaN;4.16;0.06333;3.33;0.78667;0.145;0.823
18TL12001_1207;451;46.957;-60.21517;347084;25.98;10-jun-12;19:03:00;30.95;3.62;341.29172;8.238;NaN;1.745;0.02667;1.25;0.50667;0.66;2.732
18TL12001_1207;451;46.957;-60.21517;347085;16.26;10-jun-12;19:03:00;30.79;5.78;336.60242;8.262;NaN;1.48;0.01667;0.71;0.41667;1.35;3.465
18TL12001_1207;451;46.957;-60.21517;347086;6.15;10-jun-12;19:03:00;30.78;5.86;336.24514;8.262;7.573;1.48;0.02;0.705;0.425;3.835;3.844
18TL12001_1207;451;46.957;-60.21517;347087;1.79;10-jun-12;19:03:00;30.78;5.82;336.11116;8.262;NaN;1.49;0.02;0.695;0.415;2.205;2.687
18TL12001_1208;461;46.74533;-60.99867;347088;59.49;10-jun-12;23:43:00;31.25;0.75;317.66658;8.075;7.143;6.65;0.105;4.335;0.93;0.15;0.559
18TL12001_1208;461;46.74533;-60.99867;347089;50.47;10-jun-12;23:43:00;30.9;1.38;332.4937;8.149;NaN;4.05;0.075;2.51;0.73;0.18;0.695
18TL12001_1208;461;46.74533;-60.99867;347090;25.98;10-jun-12;23:43:00;30.63;2.02;339.05872;8.191;NaN;2.895;0.055;1.49;0.595;0.315;1.391
18TL12001_1208;461;46.74533;-60.99867;347091;16.16;10-jun-12;23:43:00;30.33;4.66;338.7461;8.242;NaN;1.395;0.025;0.615;0.39;0.845;2.597
18TL12001_1208;461;46.74533;-60.99867;347092;6.15;10-jun-12;23:43:00;29.92;8.64;325.21412;8.259;7.313;1.475;0.005;0.12;0.285;0.435;1.554
18TL12001_1208;461;46.74533;-60.99867;347093;1.29;10-jun-12;23:43:00;29.94;8.47;325.83936;8.264;NaN;1.31;0.005;0.13;0.275;0.44;1.571
18TL12001_1209;471;46.832;-61.24983;347094;55.33;11-jun-12;01:22:00;31.79;0.83;285.28808;7.989;6.5625;11.43;0.155;7.1;1.09;0.095;0.489
18TL12001_1209;471;46.832;-61.24983;347095;50.67;11-jun-12;01:22:00;31.41;0.54;310.20836;8.05;NaN;7.715;0.125;5.305;1.005;0.08;0.482
18TL12001_1209;471;46.832;-61.24983;347096;26.08;11-jun-12;01:22:00;30.89;0.78;350.26838;8.188;NaN;1.455;0.035;1.575;0.66;1.54;2.411
18TL12001_1209;471;46.832;-61.24983;347097;15.17;11-jun-12;01:22:00;30.76;3.51;370.18674;8.309;NaN;0.39;0.005;0.035;0.355;0.34;1.473
18TL12001_1209;471;46.832;-61.24983;347098;5.26;11-jun-12;01:22:00;29.66;10.22;306.45692;8.264;6.902;0.8;0.005;0.01;0.215;0.5;1.699
18TL12001_1209;471;46.832;-61.24983;347099;1.39;11-jun-12;01:22:00;29.67;10.22;305.42974;8.276;NaN;0.76;0.005;0.015;0.19;0.475;1.683
18TL12001_1210;481;46.90283;-61.49867;347100;50.87;11-jun-12;02:52:00;31.27;-0.09;299.57928;7.954;6.734;5.01;0.065;4.015;1.115;0.215;0.698
18TL12001_1210;481;46.90283;-61.49867;347101;26.08;11-jun-12;02:52:00;30.9;0.95;358.1732;8.228;NaN;1.555;0.02;0.525;0.54;1.235;4.011
18TL12001_1210;481;46.90283;-61.49867;347102;15.17;11-jun-12;02:52:00;30.78;3.11;368.40034;8.312;NaN;0.595;0.005;0.015;0.285;0.8;2.861
18TL12001_1210;481;46.90283;-61.49867;347103;5.26;11-jun-12;02:52:00;29.57;9.85;306.8142;8.272;6.921;0.665;0.005;0.015;0.21;0.61;2.176
18TL12001_1210;481;46.90283;-61.49867;347104;1.59;11-jun-12;02:52:00;29.58;9.84;306.63556;8.278;NaN;0.65;0.005;0.02;0.205;0.495;2.166
18TL12001_1211;491;46.99967;-61.7525;347105;37.88;11-jun-12;04:34:00;30.93;2.98;335.26262;8.192;7.5485;3.935;0.035;0.965;0.54;0.465;1.022
18TL12001_1211;491;46.99967;-61.7525;347106;25.98;11-jun-12;04:34:00;30.89;3.79;342.89948;8.232;NaN;2.715;0.025;0.565;0.47;0.45;1.542
18TL12001_1211;491;46.99967;-61.7525;347107;15.87;11-jun-12;04:34:00;30.76;5.97;340.0859;8.261;NaN;1.67;0.01667;0.24;0.44;0.515;2.177
18TL12001_1211;491;46.99967;-61.7525;347108;5.26;11-jun-12;04:34:00;29.82;9.64;307.08216;8.283;6.9205;0.535;0.005;0.025;0.2;0.61;2.105
18TL12001_1211;491;46.99967;-61.7525;347109;1.49;11-jun-12;04:34:00;29.67;10.12;304.75984;8.285;NaN;0.785;0.00333;0.025;0.20667;0.605;2.114
18TL12001_1212;501;47.17017;-62.25017;347110;37.18;11-jun-12;07:11:00;30.99;3.26;324.4549;8.161;7.292;3.55;0.04;1.57;0.645;0.39;2.358
18TL12001_1212;501;47.17017;-62.25017;347111;25.48;11-jun-12;07:11:00;30.85;5.62;317.17532;8.201;NaN;2.63;0.025;0.74;0.56;0.605;2.788
18TL12001_1212;501;47.17017;-62.25017;347112;15.87;11-jun-12;07:11:00;30.73;7.95;319.0957;8.265;7.1805;1.885;0.01;0.17;0.365;0.49;1.637
18TL12001_1212;501;47.17017;-62.25017;347113;5.75;11-jun-12;07:11:00;30.2;9.82;306.32294;8.291;NaN;0.685;0.005;0.035;0.23;0.645;2.667
18TL12001_1212;501;47.17017;-62.25017;347114;1.98;11-jun-12;07:11:00;30.17;9.99;305.56372;8.295;NaN;0.665;0.005;0.02;0.23;0.76;2.607
18TL12001_1213;511;47.331;-62.752;347115;45.61;11-jun-12;09:37:00;31.1;0;303.42004;7.973;6.836;6.135;0.075;5.285;1.165;0.185;0.735
18TL12001_1213;511;47.331;-62.752;347116;24.99;11-jun-12;09:37:00;30.58;1.26;360.8528;8.257;NaN;0.625;0.015;0.64;0.495;0.615;2.461
18TL12001_1213;511;47.331;-62.752;347117;15.27;11-jun-12;09:37:00;30.17;8.43;318.2025;8.308;NaN;0.64;0;0.02;0.275;0.895;3.472
18TL12001_1213;511;47.331;-62.752;347118;5.55;11-jun-12;09:37:00;30.17;9.33;311.90544;8.313;7.0245;0.64;0;0.025;0.255;0.61;2.689
18TL12001_1213;511;47.331;-62.752;347119;1.09;11-jun-12;09:37:00;30.15;9.54;310.34234;8.313;NaN;0.635;0;0.05;0.255;0.685;1.854
18TL12001_1214;521;47.5035;-63.25617;347120;74.96;11-jun-12;12:54:00;31.98;0.18;270.81824;7.896;6.543;16.925;0.135;9.43;1.28;0.175;0.48
18TL12001_1214;521;47.5035;-63.25617;347121;50.27;11-jun-12;12:54:00;31.14;0.34;319.9889;8.045;NaN;4.55;0.07;4.975;1.04;0.085;0.505
18TL12001_1214;521;47.5035;-63.25617;347122;25.29;11-jun-12;12:54:00;30.17;4.06;338.16552;8.253;NaN;1.045;0.02;0.58;0.415;1.095;4.206
18TL12001_1214;521;47.5035;-63.25617;347123;15.37;11-jun-12;12:54:00;30.01;8.31;323.20442;8.318;NaN;0.84;0.005;0.035;0.23;1.31;6.053
18TL12001_1214;521;47.5035;-63.25617;347124;5.85;11-jun-12;12:54:00;29.97;9.48;313.9598;8.322;7.088;0.61;0.005;0.025;0.235;0.86;2.261
18TL12001_1214;521;47.5035;-63.25617;347125;1.39;11-jun-12;12:54:00;29.98;9.32;315.43358;8.327;NaN;0.655;0.005;0.03;0.23;0.755;2.139
18TL12001_1215;531;47.659;-63.75;347126;59.99;11-jun-12;15:14:00;31.74;0.2;283.99294;7.94;6.449;16.42;0.115;8.045;1.225;0.255;0.646
18TL12001_1215;531;47.659;-63.75;347127;50.77;11-jun-12;15:14:00;31.57;0.18;297.16764;7.99;NaN;13.575;0.105;7.39;1.15;0.235;0.632
18TL12001_1215;531;47.659;-63.75;347128;25.58;11-jun-12;15:14:00;30.63;2.53;339.50532;8.197;NaN;3.27;0.055;3.145;0.695;0.53;2.071
18TL12001_1215;531;47.659;-63.75;347129;15.77;11-jun-12;15:14:00;29.85;8.24;322.6685;8.313;NaN;0.775;0.005;0.125;0.255;1.6;5.696
18TL12001_1215;531;47.659;-63.75;347130;5.35;11-jun-12;15:14:00;29.59;9.22;318.73842;8.331;7.186;0.65;0;0.025;0.23;1.265;3.078
18TL12001_1215;531;47.659;-63.75;347131;1.49;11-jun-12;15:14:00;29.51;9.42;317.086;8.333;NaN;0.59;0;0.035;0.215;1.125;2.196
18TL12001_1216;541;47.77967;-64.0285;347132;77.83;11-jun-12;17:32:00;32.16;0.66;255.4552;7.901;5.914;19.71;0.16;10.175;1.305;0.28;0.757
18TL12001_1216;541;47.77967;-64.0285;347133;50.47;11-jun-12;17:32:00;31.37;0.43;335.88786;8.119;NaN;5.465;0.065;4.575;0.9;0.135;0.587
18TL12001_1216;541;47.77967;-64.0285;347134;25.78;11-jun-12;17:32:00;30.36;2.4;335.21796;8.193;NaN;3.895;0.055;3.04;0.725;0.275;0.822
18TL12001_1216;541;47.77967;-64.0285;347135;15.57;11-jun-12;17:32:00;29.56;6.96;323.1151;8.304;NaN;0.525;0.01;0.395;0.365;0.725;3.683
18TL12001_1216;541;47.77967;-64.0285;347136;6.15;11-jun-12;17:32:00;29.08;9.2;319.18502;8.349;7.176;0.27;0;0.035;0.22;1.155;2.501
