CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;terrain;labo;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL_BS;OXYM_01;TEMP_XX;Si_01;PO4_01;NOx_01;CHL_03
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(PSU);(mmol/m**3);(celsius);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mg/m**3)
18HU03075_069;SEGB-15;42.85;-49.8867;257459;30;21-nov-03;02:44:00;33.18;6.9869368562472;0.51;7.29;0.85;5.91;0.19
18HU03075_069;SEGB-15;42.85;-49.8867;257460;20;21-nov-03;02:44:00;33.11;6.99493730407524;0.65;7.74;0.93;7.47;0.19
18HU03075_069;SEGB-15;42.85;-49.8867;257461;10;21-nov-03;02:44:00;32.84;7.01993730407524;1.82;7.28;0.93;7.31;0.4
18HU03075_069;SEGB-15;42.85;-49.8867;257462;5;21-nov-03;02:44:00;32.59;7.218934169279;3.05;3.98;0.62;3.43;1.15
18HU03075_080;SEGB-16;42.775;-49.8283;257463;1361;21-nov-03;05:04:00;34.84;6.51394088669951;3.46;NaN;NaN;NaN;NaN
18HU03075_091;SEGB-17;42.5883;-49.6833;257464;2528;21-nov-03;07:38:00;34.9;6.25994402149575;2.65;NaN;NaN;NaN;NaN
18HU03075_102;SEGB-18;42.395;-49.5183;257465;2943;21-nov-03;13:26:00;34.89;6.26094491715181;2.24;13.19;1.04;13.22;NaN
18HU03075_102;SEGB-18;42.395;-49.5183;257466;151;21-nov-03;13:26:00;34.56;5.50995073891626;4.76;8.59;1.22;15.52;NaN
18HU03075_102;SEGB-18;42.395;-49.5183;257467;100;21-nov-03;13:26:00;34.35;5.74494849977609;5.17;7.43;1.07;13.29;0.02
18HU03075_102;SEGB-18;42.395;-49.5183;257468;74;21-nov-03;13:26:00;33.79;6.32994402149575;5.77;4.2;0.71;7.31;0.07
18HU03075_102;SEGB-18;42.395;-49.5183;257469;49;21-nov-03;13:26:00;33.24;6.29094267801164;8.58;2.58;0.47;3.48;0.18
18HU03075_102;SEGB-18;42.395;-49.5183;257470;40;21-nov-03;13:26:00;33.22;6.14394536497985;10.24;1.52;0.3;1.14;0.27
18HU03075_102;SEGB-18;42.395;-49.5183;257471;30;21-nov-03;13:26:00;33.19;6.20194581280788;10.83;1.63;0.28;0.81;0.93
18HU03075_102;SEGB-18;42.395;-49.5183;257472;20;21-nov-03;13:26:00;33.17;6.24694357366771;10.77;2.45;0.29;1.31;1
18HU03075_102;SEGB-18;42.395;-49.5183;257473;9;21-nov-03;13:26:00;33.15;6.29994402149575;10.78;1.32;0.25;0.49;1.01
18HU03075_102;SEGB-18;42.395;-49.5183;257474;5;21-nov-03;13:26:00;33.15;6.30094267801164;10.79;1.32;0.22;0.36;1.27
