CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;labo;CTD
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TEMP_XX;DOXY;CHL_01;Si_01;PO4_01;NOx_01;PSAL_BS;NO2_01;OXY_01;OXY_XX
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);(mg/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(PSU);(mmol/m**3);(ml/l);(mmol/m**3)
18NE13022_019;114;43.698;-62.12;384199;51;16-jul-13;11:35:00;32.7225;4.5712;5.5307;0.4323;4.235;0.721;5.805;NaN;0.375;NaN;NaN
18NE13022_019;114;43.698;-62.12;384200;25;16-jul-13;11:35:00;32.1798;5.8787;6.397;0.8953;2.06;0.497;1.21;NaN;0.12;NaN;NaN
18NE13022_019;114;43.698;-62.12;384201;5;16-jul-13;11:35:00;30.6645;18.9692;4.7539;0.2106;0;0.2055;0;NaN;0;5.99;267.5134
18NE13022_020;115;43.606;-62.194;384202;102;17-jul-13;01:04:00;33.7573;7.1395;4.3085;0.0277;8.87;0.938;11.49;33.7468;0.13;5.144;229.731
18NE13022_020;115;43.606;-62.194;384203;50;17-jul-13;01:04:00;32.7675;4.6994;5.611;0.4933;3.745;0.6535;2.835;NaN;0.295;NaN;NaN
18NE13022_020;115;43.606;-62.194;384204;25;17-jul-13;01:04:00;32.069;4.665;6.6339;0.8237;1.065;0.3865;0;NaN;0;NaN;NaN
18NE13022_020;115;43.606;-62.194;384205;4;17-jul-13;01:04:00;30.4822;19.134;4.7137;0.1884;0.3;0.212;0;NaN;0;5.929;264.7891
18NE13022_021;116;43.422;-62.19;384206;101;17-jul-13;02:57:00;33.4089;6.1313;4.6149;0.037;7.945;0.8895;9.96;33.4264;0.105;5.4665;244.1339
18NE13022_021;116;43.422;-62.19;384207;50;17-jul-13;02:57:00;32.95;4.9941;5.5199;0.4323;3.36;0.6705;3.81;NaN;0.275;NaN;NaN
18NE13022_021;116;43.422;-62.19;384208;25;17-jul-13;02:57:00;32.5198;7.2412;6.3975;0.7162;0.955;0.31;0;NaN;0;NaN;NaN
18NE13022_021;116;43.422;-62.19;384209;5;17-jul-13;02:57:00;30.8421;19.0452;4.6647;0.172;0;0.206;0;NaN;0;5.666;253.0436
18NE13022_022;117;43.436;-61.994;384210;93;17-jul-13;04:47:00;33.3592;5.9562;4.7389;0.0314;7.345;0.857;9.295;33.3749;0.23;5.599;250.0513
18NE13022_022;117;43.436;-61.994;384211;51;17-jul-13;04:47:00;33.1278;5.2806;5.179;0.0999;5.555;0.7985;6.135;NaN;0.25;NaN;NaN
18NE13022_022;117;43.436;-61.994;384212;25;17-jul-13;04:47:00;32.3372;8.1484;6.3561;0.7879;1.18;0.402;0;NaN;0;NaN;NaN
18NE13022_022;117;43.436;-61.994;384213;5;17-jul-13;04:47:00;30.9857;18.9718;4.6869;0.1829;0.265;0.2195;0;NaN;0;5.723;255.5892
18NE13022_023;118;43.31;-61.596;384214;84;17-jul-13;07:28:00;33.1917;5.3126;5.242;0.0666;5.88;0.78;5.885;33.2108;0.225;6.1665;275.3959
18NE13022_023;118;43.31;-61.596;384215;50;17-jul-13;07:28:00;32.6884;4.2024;5.8346;0.2439;2.985;0.652;3.75;NaN;0.23;NaN;NaN
18NE13022_023;118;43.31;-61.596;384216;25;17-jul-13;07:28:00;32.1107;7.459;6.1305;2.1202;1.08;0.4275;0.235;NaN;0;NaN;NaN
18NE13022_023;118;43.31;-61.596;384217;5;17-jul-13;07:28:00;31.3523;17.4598;4.974;0.2882;0;0.193;0.315;NaN;0;6.134;273.9444
18NE13022_024;119;43.264;-61.722;384218;86;17-jul-13;08:55:00;33.4783;6.255;4.9269;0.0536;6.005;0.7635;7.66;33.4942;0.215;5.833;260.5018
18NE13022_024;119;43.264;-61.722;384219;50;17-jul-13;08:55:00;32.6897;3.747;6.0952;1.1102;1.745;0.57;1.585;NaN;0.13;NaN;NaN
18NE13022_024;119;43.264;-61.722;384220;24;17-jul-13;08:55:00;31.9493;9.5933;6.1458;0.4988;0;0.28;0.345;NaN;0;NaN;NaN
18NE13022_024;119;43.264;-61.722;384221;4;17-jul-13;08:55:00;31.322;18.0432;4.8243;0.2549;0;0.195;0;NaN;0;5.909;263.8959
18NE13022_025;12;43.195;-65.011;383831;160;04-jul-13;03:19:00;33.397;6.6806;4.5323;0.0259;10.645;0.9635;10.605;33.4098;0.07;NaN;238
18NE13022_025;12;43.195;-65.011;383832;101;04-jul-13;03:19:00;33.3209;6.5177;4.6482;0.0684;9.9;0.939;10.125;NaN;0.05;NaN;NaN
18NE13022_025;12;43.195;-65.011;383833;51;04-jul-13;03:19:00;32.2383;4.032;5.765;0.5551;4.135;0.6985;3.765;NaN;0.29;NaN;NaN
18NE13022_025;12;43.195;-65.011;383834;26;04-jul-13;03:19:00;32.0524;9.3175;5.8533;2.292;3.18;0.39;0;NaN;0.07;NaN;NaN
18NE13022_025;12;43.195;-65.011;383835;5;04-jul-13;03:19:00;31.7807;11.4811;5.72;1.1102;2.515;0.321;0;NaN;0.05;NaN;291
18NE13022_026;120;43.208;-61.738;384222;89;17-jul-13;10:38:00;33.6534;6.8471;4.789;0.0499;6.725;0.782;8.51;33.6643;0.215;5.674;253.4008
18NE13022_026;120;43.208;-61.738;384223;50;17-jul-13;10:38:00;32.823;4.2292;5.5916;0.2383;3.505;0.678;4.135;NaN;0.25;NaN;NaN
18NE13022_026;120;43.208;-61.738;384224;25;17-jul-13;10:38:00;32.1794;8.4943;6.221;0.6804;0.81;0.329;0;NaN;0;NaN;NaN
18NE13022_026;120;43.208;-61.738;384225;5;17-jul-13;10:38:00;31.3609;17.9812;4.8082;0.2106;0;0.205;0;NaN;0;5.831;260.4125
18NE13022_027;121;42.968;-62.008;384226;272;17-jul-13;02:29:00;35.0703;7.6196;3.2158;0.0203;13.89;1.428;23.07;35.0855;0.05;3.832;171.1371
18NE13022_027;121;42.968;-62.008;384227;50;17-jul-13;02:29:00;33.1732;7.596;5.4638;0.3602;3.175;0.556;3.705;NaN;0.215;NaN;NaN
18NE13022_027;121;42.968;-62.008;384228;25;17-jul-13;02:29:00;32.2725;13.9291;5.7374;0.5487;0.89;0.206;0;NaN;0.05;NaN;NaN
