CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;labo;labo;labo;CTD
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TE90;DOXY;PHPH;OXYM_01;NO2_01;PO4_01;NOx_01;Si_01;NO2_01;NOx_01;PO4_01;CHL_03;FLOR
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);((none));(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mg/m**3);(mg/m**3)
18HU10070_1118;131;46.95983;-60.21617;344772;4.76;09-nov-10;18:46:00;29.93;8.7;305.4744;8.204;6.732;0.1;0.41;1.395;3.14;NaN;NaN;NaN;1.065;0.322
18HU10070_1118;131;46.95983;-60.21617;344773;2.78;09-nov-10;18:46:00;29.93;8.7;304.53654;8.204;6.696;0.105;0.415;1.495;3.545;NaN;NaN;NaN;0.955;0.323
18HU10070_1119;141;46.73667;-60.9985;344774;49.28;09-nov-10;23:43:00;31.35;4.63;274.2124;8.049;6.047;0.17;0.8;6.605;7.895;NaN;NaN;NaN;0.16;0.086
18HU10070_1119;141;46.73667;-60.9985;344775;28.96;09-nov-10;23:43:00;29.96;8.63;299.57928;8.186;6.59;0.12;0.46;1.43;3.515;NaN;NaN;NaN;0.405;0.177
18HU10070_1119;141;46.73667;-60.9985;344776;14.58;09-nov-10;23:43:00;29.57;9.54;298.95404;8.196;6.59;0.105;0.44;0.94;2.985;NaN;NaN;NaN;0.68;0.237
18HU10070_1119;141;46.73667;-60.9985;344777;4.76;09-nov-10;23:43:00;29.57;9.54;300.51714;8.196;6.589;0.115;0.46;1.115;3.375;NaN;NaN;NaN;0.575;0.219
18HU10070_1119;141;46.73667;-60.9985;344778;2.68;09-nov-10;23:43:00;29.57;9.53;296.63172;8.196;NaN;0.12;0.455;1.14;3.59;NaN;NaN;NaN;0.67;0.218
18HU10070_1120;151;46.83017;-61.24883;344779;57.31;10-nov-10;01:17:00;31.73;3.06;262.28818;7.989;NaN;0.135;1.04;9.725;13.11;NaN;NaN;NaN;0.26;0.084
18HU10070_1120;151;46.83017;-61.24883;344780;50.27;10-nov-10;01:17:00;31.18;4.47;266.44156;8.034;5.92;0.16333;0.87333;6.75667;10.53;NaN;NaN;NaN;0.22;0.087
18HU10070_1120;151;46.83017;-61.24883;344781;24.59;10-nov-10;01:17:00;29.77;8.96;303.33072;8.205;6.65;0.095;0.42;0.89;2.945;NaN;NaN;NaN;0.825;0.293
18HU10070_1120;151;46.83017;-61.24883;344782;14.28;10-nov-10;01:17:00;30.06;8.23;307.17148;8.205;6.677;0.11;0.43;1.01;2.72;NaN;NaN;NaN;0.835;0.269
18HU10070_1120;151;46.83017;-61.24883;344783;4.17;10-nov-10;01:17:00;29.74;9.05;304.67052;8.203;6.691;0.105;0.415;0.95;3.315;NaN;NaN;NaN;0.665;0.252
18HU10070_1120;151;46.83017;-61.24883;344784;2.58;10-nov-10;01:17:00;29.72;9.09;305.65304;8.203;6.733;0.105;0.415;0.94;2.98;NaN;NaN;NaN;0.85;0.245
18HU10070_1121;161;46.89733;-61.50017;344785;49.68;10-nov-10;02:49:00;31.24;3.24;265.32506;7.984;5.83;0.12;0.98333;7.91;12.625;NaN;NaN;NaN;0.465;0.102
18HU10070_1121;161;46.89733;-61.50017;344786;23.9;10-nov-10;02:49:00;30.19;7.7;308.06468;8.199;6.794;0.11;0.42;1.235;2.925;NaN;NaN;NaN;0.515;0.19
18HU10070_1121;161;46.89733;-61.50017;344787;15.37;10-nov-10;02:49:00;30.11;7.88;308.10934;8.206;6.802;0.095;0.415;1.165;3.07;NaN;NaN;NaN;0.615;0.196
18HU10070_1121;161;46.89733;-61.50017;344788;4.36;10-nov-10;02:49:00;30.11;7.88;309.09186;8.208;6.807;0.105;0.42;1.24;3.105;NaN;NaN;NaN;0.59;0.189
18HU10070_1121;161;46.89733;-61.50017;344789;2.78;10-nov-10;02:49:00;30.11;7.87;311.23554;8.208;6.871;0.095;0.4;1.17;2.89;NaN;NaN;NaN;0.55;0.184
18HU10070_1122;171;46.99633;-61.74383;344790;36.49;10-nov-10;04:33:00;30.7;5.97;298.37346;8.149;6.5845;0.125;0.56;2.935;4.83;NaN;NaN;NaN;1.065;0.291
18HU10070_1122;171;46.99633;-61.74383;344791;24.69;10-nov-10;04:33:00;30.44;7.03;312.79864;8.202;6.9;0.095;0.415;1.215;2.035;NaN;NaN;NaN;1.7;0.354
18HU10070_1122;171;46.99633;-61.74383;344792;14.68;10-nov-10;04:33:00;30.43;7.07;312.93262;8.202;6.91;0.09;0.42;1.285;2.24;NaN;NaN;NaN;1.465;0.32
18HU10070_1122;171;46.99633;-61.74383;344793;4.26;10-nov-10;04:33:00;30.43;7.06;317.35396;8.207;6.977;0.075;0.41;1.115;1.93;NaN;NaN;NaN;1.56;0.283
18HU10070_1122;171;46.99633;-61.74383;344794;3.27;10-nov-10;04:33:00;30.43;7.06;316.46076;8.207;6.988;0.085;0.42;1.265;2.11;NaN;NaN;NaN;1.655;0.313
18HU10070_1123;181;47.1715;-62.2575;344795;41.45;10-nov-10;07:01:00;31.19;3.69;281.17936;8.042;6.1655;0.115;0.86;6.295;11.51;NaN;NaN;NaN;0.76;0.192
18HU10070_1123;181;47.1715;-62.2575;344796;25.19;10-nov-10;07:01:00;30.61;6.2;309.31516;8.167;6.859;0.095;0.52;2.39;3.725;NaN;NaN;NaN;2.555;0.63
18HU10070_1123;181;47.1715;-62.2575;344797;14.58;10-nov-10;07:01:00;30.57;6.36;314.71902;8.181;6.937;0.095;0.51;2.16;3.48;NaN;NaN;NaN;2.805;0.563
18HU10070_1123;181;47.1715;-62.2575;344798;5.36;10-nov-10;07:01:00;30.57;6.38;318.06852;8.186;7.006;0.1;0.505;2.22;3.11;NaN;NaN;NaN;3.06;0.549
18HU10070_1123;181;47.1715;-62.2575;344799;2.48;10-nov-10;07:01:00;30.57;6.38;317.44328;8.186;6.98;0.095;0.5;2.135;3.645;NaN;NaN;NaN;3.07;0.527
18HU10070_1124;191;47.33033;-62.7465;344800;49.68;10-nov-10;09:26:00;31.8;1.57;288.68224;8.036;6.391;0.06;1.015;8.79;11.75;NaN;NaN;NaN;0.335;0.091
18HU10070_1124;191;47.33033;-62.7465;344801;25.09;10-nov-10;09:26:00;30.46;6.49;318.73842;8.228;7.071;0.08;0.43;1.515;2.14;NaN;NaN;NaN;2.02;0.424
18HU10070_1124;191;47.33033;-62.7465;344802;14.08;10-nov-10;09:26:00;30.46;6.51;325.21412;8.228;7.142;0.085;0.425;1.5;2.115;NaN;NaN;NaN;1.92;0.411
18HU10070_1124;191;47.33033;-62.7465;344803;4.96;10-nov-10;09:26:00;30.46;6.51;320.25686;8.223;7.06;0.085;0.43;1.505;2.17;NaN;NaN;NaN;2.07;0.361
18HU10070_1124;191;47.33033;-62.7465;344804;2.48;10-nov-10;09:26:00;30.44;6.5;324.05296;8.223;7.129;0.07;0.435;1.465;2.49;NaN;NaN;NaN;2.08;0.354
18HU10070_1125;201;47.50033;-63.248;344805;64.65;10-nov-10;12:35:00;32.06;0.95;268.8532;7.969;5.9365;0.03;1.2;11.27;15.925;NaN;NaN;NaN;0.125;0.066
