CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PRES;PSAL;TEMP_XX;OXYM_01;Si_01;PO4_01;NOx_01
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(dbar);(psu);(celsius);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3)
18HU94030_014;CAST#1;40.08067;-50.2965;150764;3067.85;16-oct-94;19:16:00;3114.389;34.9443;2.8282;6.124;17.35555;1.1275;17.8125
18HU94030_014;CAST#1;40.08067;-50.2965;150765;2781.53;16-oct-94;19:16:00;2821.825;34.9592;3.0795;6.304;18.16101;1.21246;19.10805
18HU94030_014;CAST#1;40.08067;-50.2965;150766;2473.76;16-oct-94;19:16:00;2507.764;34.9693;3.3589;6.108;14.07253;1.16548;18.7565
18HU94030_014;CAST#1;40.08067;-50.2965;150767;2278.5;16-oct-94;19:16:00;2308.755;34.9734;3.5016;6.303;14.75248;1.19749;19.09451
18HU94030_014;CAST#1;40.08067;-50.2965;150768;1986.64;16-oct-94;19:16:00;2011.617;34.9477;3.5632;6.415;12.42096;1.14751;18.35752
18HU94030_014;CAST#1;40.08067;-50.2965;150769;1787.99;16-oct-94;19:16:00;1809.609;34.9426;3.6451;6.449;11.48547;1.15202;18.44948
18HU94030_014;CAST#1;40.08067;-50.2965;150770;1377.78;16-oct-94;19:16:00;1393.074;34.9875;4.1872;5.602;10.42604;1.13502;18.40701
18HU94030_014;CAST#1;40.08067;-50.2965;150771;984.4;16-oct-94;19:16:00;994.383;35.047;5.2827;5.526;11.41497;1.25399;20.45698
18HU94030_014;CAST#1;40.08067;-50.2965;150772;844.82;16-oct-94;19:16:00;853.105;34.7781;4.6561;5.36;11.5295;1.304;20.59153
18HU94030_014;CAST#1;40.08067;-50.2965;150773;601.25;16-oct-94;19:16:00;606.781;35.3589;10.4619;3.54;10.43747;1.36645;23.38751
18HU94030_014;CAST#1;40.08067;-50.2965;150774;297.35;16-oct-94;19:16:00;299.863;36.4831;17.8173;4.277;1.12305;0.3865;7.26398
18HU94030_014;CAST#1;40.08067;-50.2965;150775;103.66;16-oct-94;19:16:00;104.485;36.6919;22.1485;4.53401007613077;1.09847;0.15101;1.96847
18HU94030_014;CAST#1;40.08067;-50.2965;150776;11.39;16-oct-94;19:16:00;11.48;36.4555;24.1215;4.78401007613077;2.03498;0.09501;0.31501
18HU94030_025;CAST#1;39.66333;-50.29883;150777;5392.22;17-oct-94;01:32:00;5503.381;34.8866;2.2723;6.129;42.82702;1.36453;22.09654
18HU94030_025;CAST#1;39.66333;-50.29883;150778;5297.82;17-oct-94;01:32:00;5405.877;34.8865;2.2575;4.81;11.25847;1.10755;19.73249
18HU94030_025;CAST#1;39.66333;-50.29883;150779;5097.88;17-oct-94;01:32:00;5199.475;34.8943;2.2806;6.254;36.24053;1.31355;21.19502
18HU94030_025;CAST#1;39.66333;-50.29883;150780;4802.03;17-oct-94;01:32:00;4894.402;34.8975;2.2725;6.296;33.32852;1.28052;20.93603
18HU94030_025;CAST#1;39.66333;-50.29883;150781;4398.76;17-oct-94;01:32:00;4479.21;34.9033;2.2752;6.296;30.14448;1.27396;20.50555
18HU94030_025;CAST#1;39.66333;-50.29883;150782;3991.63;17-oct-94;01:32:00;4060.792;34.9121;2.3393;6.328;24.21505;1.22103;19.73851
18HU94030_025;CAST#1;39.66333;-50.29883;150783;3598.02;17-oct-94;01:32:00;3657.005;34.9253;2.4851;6.382;23.83355;1.20545;19.48049
18HU94030_025;CAST#1;39.66333;-50.29883;150784;3209.31;17-oct-94;01:32:00;3258.952;34.9424;2.7856;3.089;20.01504;1.17305;18.85256
18HU94030_025;CAST#1;39.66333;-50.29883;150785;2801.9;17-oct-94;01:32:00;2842.515;34.9578;3.0894;6.34766995073892;18.02505;1.1785;19.11101
18HU94030_025;CAST#1;39.66333;-50.29883;150786;2401.17;17-oct-94;01:32:00;2433.666;34.9714;3.4266;6.231;15.16601;1.174;19.00399
18HU94030_025;CAST#1;39.66333;-50.29883;150787;2075.58;17-oct-94;01:32:00;2102.043;34.9584;3.5475;6.37;13.62254;1.16198;18.90552
18HU94030_025;CAST#1;39.66333;-50.29883;150788;1684.8;17-oct-94;01:32:00;1704.691;34.9649;3.8011;6.303;12.32151;1.17348;19.30799
18HU94030_025;CAST#1;39.66333;-50.29883;150789;1294.46;17-oct-94;01:32:00;1308.519;35.0023;4.2969;6.076;11.72597;1.18254;19.40149
18HU94030_025;CAST#1;39.66333;-50.29883;150790;899.92;17-oct-94;01:32:00;908.826;35.0477;5.2665;5.433;12.36506;1.24855;21.26251
