CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PRES;TEMP_XX;PSAL_BS;OXYM_01;Si_01;PO4_01;NOx_01
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(dbar);(celsius);(PSU);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3)
89037_253;36;41;-50.21;66622;3271;23-jan-90;18:02:00;3322;2.474;34.912;6.404;18.05;1.15;17.18
89037_253;36;41;-50.21;66623;2817;23-jan-90;18:02:00;2858;2.94;34.947;6.26;15.8;1.13;16.89
89037_253;36;41;-50.21;66624;1913;23-jan-90;18:02:00;1937;3.712;34.968;6.156;13.65;1.21;17.78
89037_253;36;41;-50.21;66625;983;23-jan-90;18:02:00;993;4.808;35.017;5.625;11.86;1.28;19.48
89037_253;36;41;-50.21;66626;735;23-jan-90;18:02:00;742;5.854;35.012;4.841;12.93;1.33;21.29
89037_253;36;41;-50.21;66627;480;23-jan-90;18:02:00;484;10.718;35.406;3.653;10.21;1.28;20.46
89037_253;36;41;-50.21;66628;234;23-jan-90;18:02:00;236;16.16;NaN;4.378;3.15;0.54;8.63
89037_253;36;41;-50.21;66629;94;23-jan-90;18:02:00;95;15.957;35.883;5.256;2.07;0.34;4.69
89037_253;36;41;-50.21;66630;14;23-jan-90;18:02:00;14;18.143;36.362;5.051;1.53;0.23;3.56
89037_257;37;40.65;-50.15;66631;3211;24-jan-90;04:00:00;3261;2.53;34.916;6.432;15.57;1.12;16.8
89037_257;37;40.65;-50.15;66632;3201;24-jan-90;04:00:00;3251;2.53;34.916;6.434;15.51;1.14;16.67
89037_257;37;40.65;-50.15;66633;3190;24-jan-90;04:00:00;3239;2.529;34.934;6.412;15.21;1.11;16.73
89037_257;37;40.65;-50.15;66634;611;24-jan-90;04:00:00;617;11.033;35.404;3.365;10.64;1.31;21.26
89037_257;37;40.65;-50.15;66635;514;24-jan-90;04:00:00;519;13.756;35.802;3.862;7.04;0.93;15.91
89037_257;37;40.65;-50.15;66636;409;24-jan-90;04:00:00;413;16.167;36.18;4.1;3.42;0.56;9.89
89037_257;37;40.65;-50.15;66637;292;24-jan-90;04:00:00;294;17.706;36.44;4.474;1.77;0.32;5.53
89037_257;37;40.65;-50.15;66638;167;24-jan-90;04:00:00;168;18.772;36.555;4.426;1.48;0.24;4.26
89037_257;37;40.65;-50.15;66639;87;24-jan-90;04:00:00;88;18.981;36.487;4.946;1.74;0.18;2.97
89037_257;37;40.65;-50.15;66640;10;24-jan-90;04:00:00;10;19.788;36.564;5.053;1.04;0.1;1.59
89037_261;38;40.32;-50.22;66641;4310;24-jan-90;15:27:00;4388;2.227;34.896;6.332;23.69;1.17;17.62
89037_261;38;40.32;-50.22;66642;3690;24-jan-90;15:27:00;3752;2.422;34.911;6.246;18.33;1.13;17.09
89037_261;38;40.32;-50.22;66643;3195;24-jan-90;15:27:00;3245;2.852;34.939;6.247;17.11;1.16;17.53
89037_261;38;40.32;-50.22;66644;1846;24-jan-90;15:27:00;1869;3.968;34.964;6.163;12.03;1.18;18.17
89037_261;38;40.32;-50.22;66645;975;24-jan-90;15:27:00;985;6.906;35.071;4.181;13.82;1.46;22.82
89037_261;38;40.32;-50.22;66646;737;24-jan-90;15:27:00;744;11.975;35.538;3.676;8.77;1.16;18.7
89037_261;38;40.32;-50.22;66647;503;24-jan-90;15:27:00;508;16.907;36.322;4.349;2.58;0.43;7.29
89037_261;38;40.32;-50.22;66648;255;24-jan-90;15:27:00;257;19.003;36.584;4.8;0.96;0.13;2.17
89037_261;38;40.32;-50.22;66649;104;24-jan-90;15:27:00;105;19.496;36.589;5.047;1.3;0.09;1.23
89037_261;38;40.32;-50.22;66650;15;24-jan-90;15:27:00;15;19.703;36.545;5.076;1.17;0.14;1.8
89037_263;39;40;-50.22;66651;5346;24-jan-90;20:37:00;5456;2.307;34.888;6.099;30.36;1.23;17.47
89037_263;39;40;-50.22;66652;4826;24-jan-90;20:37:00;4919;2.312;34.894;6.187;27.18;1.22;18.11
89037_263;39;40;-50.22;66653;4383;24-jan-90;20:37:00;4463;2.333;34.909;6.217;25.95;1.23;18.45
89037_263;39;40;-50.22;66654;3911;24-jan-90;20:37:00;3978;2.492;34.914;6.257;22.65;1.19;18.02
89037_263;39;40;-50.22;66655;1957;24-jan-90;20:37:00;1981;3.956;34.963;6.161;12.04;1.17;18.1
89037_263;39;40;-50.22;66656;999;24-jan-90;20:37:00;1009;7.888;35.113;3.766;14.27;1.55;23.86
89037_263;39;40;-50.22;66657;729;24-jan-90;20:37:00;736;13.199;35.694;3.845;6.88;0.99;15.97
89037_263;39;40;-50.22;66658;477;24-jan-90;20:37:00;481;17.193;36.363;4.383;2.17;0.39;6.71
89037_263;39;40;-50.22;66659;240;24-jan-90;20:37:00;242;18.519;36.56;5.006;1.11;0.16;2.23
