CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;terrain;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;CHL_01;OXYM_01;SSAL_XX;TEMP_XX;PO4_01;NOx_01;Si_01
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(mg/m**3);(mmol/m**3);((none));(celsius);(mmol/m**3);(mmol/m**3);(mmol/m**3)
18VA70002_1866;222;47.38472;-62.61667;2247;5;16-jul-70;01:35:00;0.54;NaN;27.57;14.7;0.13;0.07;1.97
18VA70002_1866;222;47.38472;-62.61667;2248;15;16-jul-70;01:35:00;0.57;NaN;29.68;7.77;0.38;0.53;0.97
18VA70002_1866;222;47.38472;-62.61667;2249;25;16-jul-70;01:35:00;0.16;NaN;30.64;1.83;0.47;2.16;1.02
18VA70002_1866;222;47.38472;-62.61667;2250;50;16-jul-70;01:35:00;NaN;NaN;31.81;0.06;0.91;3.81;9.81
18VA70002_1867;223;47.38472;-62.61667;2317;0;26-aug-70;02:05:00;0.48;NaN;28.08;17.5;0.21;0.25;2.52
18VA70002_1867;223;47.38472;-62.61667;2318;5;26-aug-70;02:05:00;0.48;NaN;28.07;17.5;0.17;0.63;2.19
18VA70002_1867;223;47.38472;-62.61667;2319;15;26-aug-70;02:05:00;0.86;NaN;28.88;13.5;0.17;0.23;2.43
18VA70002_1867;223;47.38472;-62.61667;2320;25;26-aug-70;02:05:00;0.42;NaN;31.89;2.65;0.33;0.91;0.92
18VA70002_1867;223;47.38472;-62.61667;2321;50;26-aug-70;02:05:00;NaN;NaN;32.07;0.2;1.06;9.61;18.16
18VA70002_1868;224;47.38472;-62.61667;2467;0;29-oct-70;21:39:00;1.38;NaN;NaN;NaN;0.52;1.25;3.91
18VA70002_1868;224;47.38472;-62.61667;2468;5;29-oct-70;21:39:00;1.14;NaN;NaN;NaN;0.5;1.5;3.86
18VA70002_1868;224;47.38472;-62.61667;2469;15;29-oct-70;21:39:00;1.26;NaN;30.04;7.91;0.43;1.1;2.33
18VA70002_1868;224;47.38472;-62.61667;2470;25;29-oct-70;21:39:00;0.54;NaN;30.22;7.24;0.74;5.39;4.78
18VA70002_1868;224;47.38472;-62.61667;2471;50;29-oct-70;21:39:00;0.19;NaN;32.28;0.66;1.29;10.82;16.38
18VA70002_1869;225;47.38472;-62.61667;2472;0;30-oct-70;12:21:00;1.31;NaN;NaN;NaN;3.46;1.43;4.08
18VA70002_1869;225;47.38472;-62.61667;2473;5;30-oct-70;12:21:00;1.13;NaN;NaN;NaN;0.52;1.38;3.93
18VA70002_1869;225;47.38472;-62.61667;2474;15;30-oct-70;12:21:00;0.85;NaN;NaN;NaN;0.41;1.52;3.06
18VA70002_1869;225;47.38472;-62.61667;2475;25;30-oct-70;12:21:00;0.98;NaN;NaN;NaN;0.47;0.9;2.85
18VA70002_1869;225;47.38472;-62.61667;2476;50;30-oct-70;12:21:00;0.32;NaN;NaN;NaN;1.29;11.12;12.26
18VA70002_1870;23;47.24306;-59.95972;100;15;01-jul-70;20:15:00;0.22;7.13;31.44;8.6;0.37;0.66;0.61
18VA70002_1870;23;47.24306;-59.95972;101;25;01-jul-70;20:15:00;0.21;NaN;31.46;5.5;0.42;0.26;0.7
18VA70002_1870;23;47.24306;-59.95972;102;50;01-jul-70;20:15:00;NaN;7.84;32.38;1.7;0.68;3.32;1.87
18VA70002_1870;23;47.24306;-59.95972;103;100;01-jul-70;20:15:00;NaN;6.35;33.1;1.95;1.03;10.07;8.59
18VA70002_1870;23;47.24306;-59.95972;104;400;01-jul-70;20:15:00;NaN;4.39;NaN;NaN;1.09;18.53;16.11
18VA70002_1870;23;47.24306;-59.95972;23_98;0;01-jul-70;20:15:00;0.28;6.98;NaN;NaN;0.33;0.4;1.7
18VA70002_1870;23;47.24306;-59.95972;23_99;5;01-jul-70;20:15:00;0.22;7.03;31.53;9.02;0.4;0.11;0.89
18VA70002_1871;231;46.61667;-62;2139;0;12-jun-70;09:00:00;0.15;NaN;29.76;9.19;0.29;0.61;0.82
18VA70002_1871;231;46.61667;-62;2140;5;12-jun-70;09:00:00;0.1;NaN;29.77;9.19;0.32;0.09;0.52
18VA70002_1871;231;46.61667;-62;2141;15;12-jun-70;09:00:00;0.18;NaN;29.83;8.83;0.32;0.09;0.58
18VA70002_1871;231;46.61667;-62;2142;25;12-jun-70;09:00:00;0.31;NaN;30.58;5.65;0.29;0.05;0.19
18VA70002_1871;231;46.61667;-62;2143;50;12-jun-70;09:00:00;NaN;NaN;30.72;0.5;0.72;1.38;2.49
18VA70002_1872;232;46.61667;-62;2251;0;16-jul-70;10:00:00;0.39;NaN;28.28;15.95;0.18;0.13;1.58
18VA70002_1872;232;46.61667;-62;2252;5;16-jul-70;10:00:00;0.38;NaN;28.31;15.94;0.13;0;0.97
18VA70002_1872;232;46.61667;-62;2253;15;16-jul-70;10:00:00;0.72;NaN;28.73;13.52;0.21;0;1.34
18VA70002_1872;232;46.61667;-62;2254;25;16-jul-70;10:00:00;0.91;NaN;30.24;3.4;0.58;0.46;2.96
18VA70002_1872;232;46.61667;-62;2255;40;16-jul-70;10:00:00;NaN;NaN;30.65;0.6;0.65;1.46;3.67
18VA70002_1873;233;46.61667;-62;2322;0;22-aug-70;07:30:00;0.91;NaN;27.83;19.35;0.16;0.27;2.74
18VA70002_1873;233;46.61667;-62;2323;5;22-aug-70;07:30:00;0.8;NaN;27.83;19.35;0.11;0.18;2.19
18VA70002_1873;233;46.61667;-62;2324;15;22-aug-70;07:30:00;0.93;NaN;27.88;19.25;0.12;0.2;1.91
18VA70002_1873;233;46.61667;-62;2325;25;22-aug-70;07:30:00;0.48;NaN;31.57;2.5;0.51;0.63;2.78
18VA70002_1873;233;46.61667;-62;2326;50;22-aug-70;07:30:00;NaN;NaN;NaN;NaN;1;3.98;6.68
18VA70002_1874;234;46.61667;-62;2523;0;11-nov-70;18:17:00;0.36;NaN;NaN;NaN;0.54;0.75;4.55
18VA70002_1874;234;46.61667;-62;2524;5;11-nov-70;18:17:00;0.38;NaN;NaN;NaN;0.63;1.75;4.87
18VA70002_1874;234;46.61667;-62;2525;15;11-nov-70;18:17:00;0.41;NaN;30.22;6.69;0.46;1.96;2.25
18VA70002_1874;234;46.61667;-62;2526;25;11-nov-70;18:17:00;0.32;NaN;30.26;6.54;0.54;1.76;4.27
18VA70002_1874;234;46.61667;-62;2527;50;11-nov-70;18:17:00;0.24;NaN;NaN;NaN;1.38;12.53;16.27
18VA70002_1875;241;46.93333;-61.91389;2106;0;04-may-70;16:25:00;1.76;8.99;30.69;1.47;0.38;0.02;0.28
18VA70002_1875;241;46.93333;-61.91389;2107;5;04-may-70;16:25:00;1.89;9.02;30.69;1.19;0.31;0;0.21
18VA70002_1875;241;46.93333;-61.91389;2109;15;04-may-70;16:25:00;3.21;8.83;30.69;0.71;0.41;0;0.28
18VA70002_1875;241;46.93333;-61.91389;2110;25;04-may-70;16:25:00;2.65;8.83;30.75;0.31;0.41;0.07;0.42
18VA70002_1875;241;46.93333;-61.91389;2111;50;04-may-70;16:25:00;NaN;8.37;30.81;0.05;0.4;0.2;0.44
