CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;terrain;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;OXYM_01;TEMP_XX;Si_01
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(mmol/m**3);(celsius);(mmol/m**3)
181064009_193;27;38.0683;-49.9316;-623;400;14-jun-64;00:12:00;5.24995297805643;17.35;2
181064009_193;27;38.0683;-49.9316;-624;500;14-jun-64;00:12:00;5.14995297805643;17.23;2
181064009_193;27;38.0683;-49.9316;-625;600;14-jun-64;00:12:00;4.54995969547694;16.22;4
181064009_193;27;38.0683;-49.9316;-626;695;14-jun-64;01:00:00;3.87996417375728;14.28;6
181064009_193;27;38.0683;-49.9316;-627;790;14-jun-64;01:00:00;3.34996865203762;12.36;10
181064009_193;27;38.0683;-49.9316;-628;898;14-jun-64;01:54:00;3.91996417375728;9.94;16
181064009_193;27;38.0683;-49.9316;-629;996;14-jun-64;01:54:00;4.19996193461711;7.56;18
181064009_193;27;38.0683;-49.9316;-630;1194;14-jun-64;02:42:00;5.14995297805643;5.31;15
181064009_193;27;38.0683;-49.9316;-631;1492;14-jun-64;02:42:00;5.88994626063592;4.34;14
181064009_193;27;38.0683;-49.9316;-632;1995;14-jun-64;05:24:00;6.09994626063592;3.87;14
181064009_193;27;38.0683;-49.9316;-633;2430;14-jun-64;05:24:00;6.20994402149575;3.59;16
181064009_193;27;38.0683;-49.9316;-634;2975;14-jun-64;08:36:00;6.07994626063592;3.19;21
181064009_193;27;38.0683;-49.9316;-635;3474;14-jun-64;08:36:00;6.00994626063592;2.79;25
181064009_193;27;38.0683;-49.9316;-636;3973;14-jun-64;08:36:00;5.99994626063592;2.45;30
181064009_193;27;38.0683;-49.9316;-637;4471;14-jun-64;08:36:00;6.12994402149575;2.32;35
181064009_193;27;38.0683;-49.9316;-638;4970;14-jun-64;08:36:00;5.98994626063592;2.3;39
181064009_193;27;38.0683;-49.9316;-639;5370;14-jun-64;08:36:00;5.88994626063592;2.27;42
181064009_193;27;38.0683;-49.9316;-640;5170;13-jun-64;08:36:00;5.98994626063592;2.29;38
181064009_204;28;38.5083;-49.9716;-641;0;14-jun-64;13:36:00;NaN;20.6;2
181064009_204;28;38.5083;-49.9716;-642;49;14-jun-64;13:36:00;5.10995297805643;20.21;2
181064009_204;28;38.5083;-49.9716;-643;98;14-jun-64;13:36:00;5.06995297805643;18.4;3
181064009_204;28;38.5083;-49.9716;-644;147;14-jun-64;13:36:00;4.83995745633677;17.84;2
181064009_204;28;38.5083;-49.9716;-645;196;14-jun-64;13:36:00;4.82995745633677;17.6;4
181064009_204;28;38.5083;-49.9716;-646;293;14-jun-64;13:36:00;4.9499552171966;17.3;3
181064009_204;28;38.5083;-49.9716;-647;390;14-jun-64;13:36:00;4.9899552171966;17.32;4
181064009_204;28;38.5083;-49.9716;-648;485;14-jun-64;13:36:00;4.82995745633677;17.04;4
181064009_204;28;38.5083;-49.9716;-649;581;14-jun-64;13:36:00;4.67995745633677;16.38;6
181064009_204;28;38.5083;-49.9716;-650;678;14-jun-64;13:36:00;4.21996193461711;14.58;9
181064009_204;28;38.5083;-49.9716;-651;770;14-jun-64;13:36:00;3.99996417375728;13.06;14
181064009_204;28;38.5083;-49.9716;-652;858;14-jun-64;13:36:00;3.38996865203762;10.69;17
181064009_204;28;38.5083;-49.9716;-653;952;14-jun-64;13:36:00;3.43996865203762;8.58;NaN
181064009_204;28;38.5083;-49.9716;-654;1135;14-jun-64;13:36:00;4.9999552171966;5.32;NaN
181064009_204;28;38.5083;-49.9716;-655;1426;14-jun-64;13:36:00;5.79994849977609;4.44;NaN
181064009_204;28;38.5083;-49.9716;-656;1624;14-jun-64;15:12:00;5.92994626063592;4.18;NaN
181064009_204;28;38.5083;-49.9716;-657;1825;14-jun-64;15:12:00;6.01994626063592;3.98;NaN
181064009_204;28;38.5083;-49.9716;-658;2020;14-jun-64;15:12:00;6.06994402149575;3.82;NaN
181064009_204;28;38.5083;-49.9716;-659;2223;14-jun-64;15:12:00;6.06994402149575;3.7;NaN
181064009_204;28;38.5083;-49.9716;-660;2445;14-jun-64;15:12:00;5.99994626063592;3.59;NaN
181064009_204;28;38.5083;-49.9716;-661;2665;14-jun-64;15:12:00;6.01994626063592;3.44;NaN
181064009_204;28;38.5083;-49.9716;-662;3125;14-jun-64;15:12:00;5.96994626063592;3.12;NaN
181064009_204;28;38.5083;-49.9716;-663;3585;14-jun-64;15:12:00;6.04994626063592;2.72;NaN
181064009_204;28;38.5083;-49.9716;-664;4065;14-jun-64;15:12:00;6.01994626063592;2.43;NaN
181064009_204;28;38.5083;-49.9716;-665;4930;14-jun-64;15:12:00;5.90994626063592;2.32;NaN
181064009_215;29;38.9916;-49.9266;-666;0;14-jun-64;20:30:00;NaN;22.8;NaN
181064009_215;29;38.9916;-49.9266;-667;48;14-jun-64;20:30:00;5.63994849977609;20;4
181064009_215;29;38.9916;-49.9266;-668;97;14-jun-64;20:30:00;5.47995073891626;18.46;6
181064009_215;29;38.9916;-49.9266;-669;145;14-jun-64;20:30:00;5.44995073891626;18.01;6
181064009_215;29;38.9916;-49.9266;-670;193;14-jun-64;20:30:00;4.9699552171966;17.76;5
181064009_215;29;38.9916;-49.9266;-671;241;14-jun-64;20:30:00;5.0199552171966;17.68;3
181064009_215;29;38.9916;-49.9266;-672;290;14-jun-64;20:30:00;5.1199552171966;17.62;4
181064009_215;29;38.9916;-49.9266;-673;387;14-jun-64;20:30:00;5.0499552171966;17.38;4
181064009_215;29;38.9916;-49.9266;-674;486;14-jun-64;20:30:00;4.52995969547694;16.18;5
181064009_215;29;38.9916;-49.9266;-675;581;14-jun-64;20:30:00;4.07996417375728;14;8
181064009_215;29;38.9916;-49.9266;-676;673;14-jun-64;20:30:00;3.36996865203762;11.46;14
181064009_215;29;38.9916;-49.9266;-677;761;14-jun-64;20:30:00;3.45996865203762;9.04;17
181064009_215;29;38.9916;-49.9266;-678;854;14-jun-64;20:30:00;4.22996193461711;6.76;18
181064009_215;29;38.9916;-49.9266;-679;945;14-jun-64;20:30:00;4.8599552171966;5.69;17
181064009_215;29;38.9916;-49.9266;-680;1137;14-jun-64;20:30:00;5.69994849977609;4.66;15
181064009_215;29;38.9916;-49.9266;-681;1771;14-jun-64;22:12:00;6.00994626063592;3.85;15
181064009_215;29;38.9916;-49.9266;-682;2268;14-jun-64;22:12:00;5.98994626063592;3.57;17
181064009_215;29;38.9916;-49.9266;-683;2745;14-jun-64;22:12:00;5.94994626063592;3.22;19
181064009_215;29;38.9916;-49.9266;-684;3211;14-jun-64;22:12:00;5.98994626063592;2.92;23
181064009_215;29;38.9916;-49.9266;-685;3693;14-jun-64;22:12:00;5.91994626063592;2.58;27
181064009_215;29;38.9916;-49.9266;-686;4182;14-jun-64;22:12:00;5.93994626063592;2.36;34
181064009_215;29;38.9916;-49.9266;-687;4656;14-jun-64;22:12:00;5.95994626063592;2.31;36
181064009_215;29;38.9916;-49.9266;-688;4845;14-jun-64;22:12:00;6.00994626063592;2.31;37
181064009_215;29;38.9916;-49.9266;-689;5125;14-jun-64;22:12:00;5.90994626063592;2.31;37
181064009_215;29;38.9916;-49.9266;-690;5324;14-jun-64;22:12:00;5.92994626063592;2.3;40
181064009_226;30;39.5016;-49.985;-691;0;15-jun-64;04:24:00;NaN;19;NaN
181064009_226;30;39.5016;-49.985;-692;50;15-jun-64;04:24:00;5.55995073891626;16.3;4
181064009_226;30;39.5016;-49.985;-693;100;15-jun-64;04:24:00;5.09995297805643;12.95;8
181064009_226;30;39.5016;-49.985;-694;150;15-jun-64;04:24:00;4.83995745633677;12.63;9
181064009_226;30;39.5016;-49.985;-695;200;15-jun-64;04:24:00;4.70995745633677;12.16;9
181064009_226;30;39.5016;-49.985;-696;250;15-jun-64;04:24:00;4.48995969547694;11.88;10
181064009_226;30;39.5016;-49.985;-697;300;15-jun-64;04:24:00;3.84996641289745;11.43;12
181064009_226;30;39.5016;-49.985;-698;401;15-jun-64;04:24:00;3.34996865203762;9.75;16
181064009_226;30;39.5016;-49.985;-699;497;15-jun-64;04:24:00;3.59996865203762;8.24;19
181064009_226;30;39.5016;-49.985;-700;601;15-jun-64;04:24:00;4.22996193461711;6.82;17
181064009_226;30;39.5016;-49.985;-701;698;15-jun-64;04:24:00;4.83995745633677;5.57;16
181064009_226;30;39.5016;-49.985;-702;799;15-jun-64;04:24:00;5.29995297805643;5.09;16
181064009_226;30;39.5016;-49.985;-703;900;15-jun-64;04:24:00;5.54995073891626;4.81;15
181064009_226;30;39.5016;-49.985;-704;999;15-jun-64;04:24:00;5.77994849977609;4.5;15
181064009_226;30;39.5016;-49.985;-705;1196;15-jun-64;04:24:00;6.02994626063592;4.2;NaN
181064009_226;30;39.5016;-49.985;-706;1476;15-jun-64;06:00:00;6.11994402149575;3.91;NaN
181064009_226;30;39.5016;-49.985;-707;1978;15-jun-64;06:00:00;6.11994402149575;3.64;NaN
181064009_226;30;39.5016;-49.985;-708;2473;15-jun-64;06:00:00;6.08994626063592;3.35;NaN
181064009_226;30;39.5016;-49.985;-709;2970;15-jun-64;06:00:00;6.06994402149575;2.97;NaN
181064009_226;30;39.5016;-49.985;-710;3466;15-jun-64;06:00:00;5.98994626063592;2.63;NaN
181064009_226;30;39.5016;-49.985;-711;3960;15-jun-64;06:00:00;6.01994626063592;2.37;NaN
181064009_226;30;39.5016;-49.985;-712;4456;15-jun-64;06:00:00;6.05994626063592;2.29;NaN
181064009_226;30;39.5016;-49.985;-713;4955;15-jun-64;06:00:00;5.98994626063592;2.3;NaN
181064009_226;30;39.5016;-49.985;-714;5353;15-jun-64;06:00:00;6.16994402149575;2.32;NaN
181064009_237;31;39.825;-49.9633;-715;0;15-jun-64;11:12:00;NaN;21.4;NaN
181064009_237;31;39.825;-49.9633;-716;47;15-jun-64;11:12:00;5.50995073891626;16.71;3
181064009_237;31;39.825;-49.9633;-717;93;15-jun-64;11:12:00;5.0499552171966;17.76;3
181064009_237;31;39.825;-49.9633;-718;141;15-jun-64;11:12:00;4.37996193461711;17;5
181064009_237;31;39.825;-49.9633;-719;188;15-jun-64;11:12:00;4.52995969547694;16.33;5
181064009_237;31;39.825;-49.9633;-720;234;15-jun-64;11:12:00;4.63995745633677;15;5
181064009_237;31;39.825;-49.9633;-721;281;15-jun-64;11:12:00;4.43995969547694;14.03;7
181064009_237;31;39.825;-49.9633;-722;373;15-jun-64;11:12:00;4.05996417375728;12.28;10
181064009_237;31;39.825;-49.9633;-723;465;15-jun-64;11:12:00;3.41996865203762;10.99;14
181064009_237;31;39.825;-49.9633;-724;555;15-jun-64;11:12:00;4.75995745633677;7.09;14
181064009_237;31;39.825;-49.9633;-725;642;15-jun-64;11:12:00;4.56995969547694;6.14;16
181064009_237;31;39.825;-49.9633;-726;725;15-jun-64;11:12:00;4.9599552171966;5.47;16
181064009_237;31;39.825;-49.9633;-727;814;15-jun-64;11:12:00;4.9999552171966;5.73;15
181064009_237;31;39.825;-49.9633;-728;900;15-jun-64;11:12:00;5.55995073891626;4.9;14
181064009_237;31;39.825;-49.9633;-729;1175;15-jun-64;12:48:00;5.88994626063592;4.31;14
181064009_237;31;39.825;-49.9633;-730;1450;15-jun-64;12:48:00;6.08994626063592;3.92;14
181064009_237;31;39.825;-49.9633;-731;1923;15-jun-64;12:48:00;6.02994626063592;3.62;16
181064009_237;31;39.825;-49.9633;-732;2414;15-jun-64;12:48:00;6.02994626063592;3.32;19
181064009_237;31;39.825;-49.9633;-733;2965;15-jun-64;12:48:00;6.03994626063592;2.88;24
181064009_237;31;39.825;-49.9633;-734;3465;15-jun-64;12:48:00;5.97994626063592;2.47;28
181064009_237;31;39.825;-49.9633;-735;3962;15-jun-64;12:48:00;5.95994626063592;2.3;34
181064009_237;31;39.825;-49.9633;-736;4462;15-jun-64;12:48:00;5.98994626063592;2.25;36
181064009_237;31;39.825;-49.9633;-737;4766;15-jun-64;12:48:00;5.94994626063592;2.27;38
181064009_237;31;39.825;-49.9633;-738;4960;15-jun-64;12:48:00;5.94994626063592;2.28;38
181064009_237;31;39.825;-49.9633;-739;5160;15-jun-64;12:48:00;6.08994626063592;2.29;30
181064009_239;32;40.3;-50.055;-740;0;15-jun-64;17:30:00;NaN;20.1;NaN
181064009_239;32;40.3;-50.055;-741;46;15-jun-64;17:30:00;5.33995073891626;19.42;3
181064009_239;32;40.3;-50.055;-742;92;15-jun-64;17:30:00;4.9499552171966;18.15;4
181064009_239;32;40.3;-50.055;-743;140;15-jun-64;17:30:00;4.8999552171966;17.82;4
181064009_239;32;40.3;-50.055;-744;188;15-jun-64;17:30:00;4.9499552171966;17.62;4
181064009_239;32;40.3;-50.055;-745;233;15-jun-64;17:30:00;5.0199552171966;17.52;3
181064009_239;32;40.3;-50.055;-746;281;15-jun-64;17:30:00;5.06995297805643;17.19;4
181064009_239;32;40.3;-50.055;-747;378;15-jun-64;17:30:00;4.45995969547694;14.09;6
181064009_239;32;40.3;-50.055;-748;472;15-jun-64;17:30:00;3.72996641289745;12.42;10
181064009_239;32;40.3;-50.055;-749;573;15-jun-64;17:30:00;3.42996865203762;10.31;22
181064009_239;32;40.3;-50.055;-750;667;15-jun-64;17:30:00;3.63996641289745;8.06;19
181064009_239;32;40.3;-50.055;-751;759;15-jun-64;17:30:00;4.53995969547694;6.35;17
181064009_239;32;40.3;-50.055;-752;862;15-jun-64;17:30:00;5.68994849977609;4.48;15
181064009_239;32;40.3;-50.055;-753;958;15-jun-64;17:30:00;5.56995073891626;4.74;15
181064009_239;32;40.3;-50.055;-754;1155;15-jun-64;19:00:00;5.89994626063592;4.34;NaN
181064009_239;32;40.3;-50.055;-755;1469;15-jun-64;19:00:00;6.06994402149575;3.99;NaN
181064009_239;32;40.3;-50.055;-756;1957;15-jun-64;19:00:00;6.21994402149575;3.59;NaN
181064009_239;32;40.3;-50.055;-757;2454;15-jun-64;19:00:00;6.16994402149575;3.29;NaN
181064009_239;32;40.3;-50.055;-758;2936;15-jun-64;19:00:00;6.23994402149575;2.9;NaN
181064009_239;32;40.3;-50.055;-759;3448;15-jun-64;19:00:00;6.39994178235558;2.43;NaN
181064009_239;32;40.3;-50.055;-760;3650;15-jun-64;19:00:00;6.32994402149575;2.26;NaN
181064009_239;32;40.3;-50.055;-761;3843;15-jun-64;19:00:00;6.21994402149575;2.19;NaN
181064009_243;33;40.535;-49.9883;-762;0;15-jun-64;22:12:00;NaN;20;NaN
181064009_243;33;40.535;-49.9883;-763;50;15-jun-64;22:12:00;4.82995745633677;18.28;4
181064009_243;33;40.535;-49.9883;-764;99;15-jun-64;22:12:00;4.64995745633677;17.53;4
181064009_243;33;40.535;-49.9883;-765;149;15-jun-64;22:12:00;4.9299552171966;17.54;4
181064009_243;33;40.535;-49.9883;-766;199;15-jun-64;22:12:00;4.9899552171966;17.52;4
181064009_243;33;40.535;-49.9883;-767;248;15-jun-64;22:12:00;4.82995745633677;17.2;4
181064009_243;33;40.535;-49.9883;-768;298;15-jun-64;22:12:00;4.54995969547694;15.7;5
181064009_243;33;40.535;-49.9883;-769;398;15-jun-64;22:12:00;4.62995969547694;13.65;7
181064009_243;33;40.535;-49.9883;-770;497;15-jun-64;22:12:00;3.58996865203762;11.36;11
181064009_243;33;40.535;-49.9883;-771;596;15-jun-64;22:12:00;3.58996865203762;8.59;17
181064009_243;33;40.535;-49.9883;-772;696;15-jun-64;22:12:00;4.9299552171966;5.75;15
181064009_243;33;40.535;-49.9883;-773;795;15-jun-64;22:12:00;5.33995073891626;5.01;15
181064009_243;33;40.535;-49.9883;-774;862;15-jun-64;23:36:00;5.97994626063592;4.25;14
181064009_243;33;40.535;-49.9883;-775;895;15-jun-64;22:12:00;6.03994626063592;4.52;14
181064009_243;33;40.535;-49.9883;-776;1054;15-jun-64;23:36:00;5.93994626063592;4.35;14
181064009_243;33;40.535;-49.9883;-777;1571;15-jun-64;23:36:00;6.18994402149575;3.84;14
181064009_243;33;40.535;-49.9883;-778;2044;15-jun-64;23:36:00;6.18994402149575;3.58;15
181064009_243;33;40.535;-49.9883;-779;2512;15-jun-64;23:36:00;6.24994402149575;3.23;18
181064009_243;33;40.535;-49.9883;-780;3035;15-jun-64;23:36:00;6.25994402149575;2.75;20
181064009_243;33;40.535;-49.9883;-781;3232;15-jun-64;23:36:00;6.33994178235558;2.54;19
181064009_243;33;40.535;-49.9883;-782;3440;15-jun-64;23:36:00;6.36994178235558;2.34;21
181064009_243;33;40.535;-49.9883;-783;3634;15-jun-64;23:36:00;6.30994402149575;2.18;24
181064009_244;34;40.925;-49.9033;-784;0;16-jun-64;03:36:00;NaN;18.5;NaN
181064009_244;34;40.925;-49.9033;-785;45;16-jun-64;03:36:00;5.25995297805643;16.74;3
181064009_244;34;40.925;-49.9033;-786;91;16-jun-64;03:36:00;4.79995745633677;17.2;4
181064009_244;34;40.925;-49.9033;-787;138;16-jun-64;03:36:00;4.9199552171966;14.18;5
181064009_244;34;40.925;-49.9033;-788;184;16-jun-64;03:36:00;5.09995297805643;14.21;5
181064009_244;34;40.925;-49.9033;-789;230;16-jun-64;03:36:00;4.9399552171966;12.65;7
181064009_244;34;40.925;-49.9033;-790;278;16-jun-64;03:36:00;5.18995297805643;12.25;6
181064009_244;34;40.925;-49.9033;-791;369;16-jun-64;03:36:00;3.44996865203762;11.44;13
181064009_244;34;40.925;-49.9033;-792;466;16-jun-64;03:36:00;3.30997089117779;9.11;NaN
181064009_244;34;40.925;-49.9033;-793;556;16-jun-64;03:36:00;4.08996193461711;6.98;18
181064009_244;34;40.925;-49.9033;-794;641;16-jun-64;03:36:00;5.73994849977609;4.16;13
181064009_244;34;40.925;-49.9033;-795;735;16-jun-64;03:36:00;5.73994849977609;4.5;14
181064009_244;34;40.925;-49.9033;-796;829;16-jun-64;03:36:00;5.94994626063592;4.33;13
181064009_244;34;40.925;-49.9033;-797;918;16-jun-64;03:36:00;5.63994849977609;4.73;14
181064009_244;34;40.925;-49.9033;-798;1118;16-jun-64;03:36:00;5.95994626063592;4.25;NaN
181064009_244;34;40.925;-49.9033;-799;1539;16-jun-64;05:24:00;6.22994402149575;3.74;NaN
181064009_244;34;40.925;-49.9033;-800;2025;16-jun-64;05:24:00;6.16994402149575;3.5;NaN
181064009_244;34;40.925;-49.9033;-801;2490;16-jun-64;05:24:00;6.11994402149575;3.2;NaN
181064009_244;34;40.925;-49.9033;-802;2955;16-jun-64;05:24:00;6.24994402149575;2.78;NaN
181064009_244;34;40.925;-49.9033;-803;3143;16-jun-64;05:24:00;6.05994626063592;2.61;NaN
181064009_244;34;40.925;-49.9033;-804;3320;16-jun-64;05:24:00;6.12994402149575;2.39;NaN
181064009_244;34;40.925;-49.9033;-805;3518;16-jun-64;05:24:00;NaN;2.2;NaN
181064009_247;35;41.3266;-49.8366;-806;0;16-jun-64;09:48:00;NaN;16.1;NaN
181064009_247;35;41.3266;-49.8366;-807;46;16-jun-64;09:48:00;5.22995297805643;14.7;4
181064009_247;35;41.3266;-49.8366;-808;91;16-jun-64;09:48:00;5.16995297805643;13.62;6
181064009_247;35;41.3266;-49.8366;-809;137;16-jun-64;09:48:00;4.8799552171966;13.06;7
181064009_247;35;41.3266;-49.8366;-810;182;16-jun-64;09:48:00;4.51995969547694;12.59;8
181064009_247;35;41.3266;-49.8366;-811;228;16-jun-64;09:48:00;4.08996193461711;11.79;11
181064009_247;35;41.3266;-49.8366;-812;273;16-jun-64;09:48:00;3.35996865203762;10.67;14
181064009_247;35;41.3266;-49.8366;-813;367;16-jun-64;09:48:00;5.18995297805643;6.22;14
181064009_247;35;41.3266;-49.8366;-814;455;16-jun-64;09:48:00;5.10995297805643;5.38;15
181064009_247;35;41.3266;-49.8366;-815;555;16-jun-64;09:48:00;4.78995745633677;5.98;16
181064009_247;35;41.3266;-49.8366;-816;654;16-jun-64;09:48:00;5.88994626063592;4.31;13
181064009_247;35;41.3266;-49.8366;-817;753;16-jun-64;09:48:00;6.27994402149575;4.05;13
181064009_247;35;41.3266;-49.8366;-818;852;16-jun-64;09:48:00;6.19994402149575;4.19;12
181064009_247;35;41.3266;-49.8366;-819;939;16-jun-64;11:12:00;5.94994626063592;4.33;14
181064009_247;35;41.3266;-49.8366;-820;1138;16-jun-64;11:12:00;6.11994402149575;4.12;14
181064009_247;35;41.3266;-49.8366;-821;1439;16-jun-64;11:12:00;6.21994402149575;3.79;14
181064009_247;35;41.3266;-49.8366;-822;1936;16-jun-64;11:12:00;6.23994402149575;3.48;15
181064009_247;35;41.3266;-49.8366;-823;2429;16-jun-64;11:12:00;6.23994402149575;3.16;19
181064009_247;35;41.3266;-49.8366;-824;2729;16-jun-64;11:12:00;6.30994402149575;2.92;18
181064009_247;35;41.3266;-49.8366;-825;2929;16-jun-64;11:12:00;6.27994402149575;2.72;20
181064009_247;35;41.3266;-49.8366;-826;3126;16-jun-64;11:12:00;6.31994402149575;2.39;20
181064009_253;36;41.6966;-49.7966;-827;0;16-jun-64;15:06:00;NaN;12.2;NaN
181064009_253;36;41.6966;-49.7966;-828;47;16-jun-64;15:06:00;6.62993954321541;7.02;5
181064009_253;36;41.6966;-49.7966;-829;91;16-jun-64;15:06:00;5.66994849977609;7.62;7
181064009_253;36;41.6966;-49.7966;-830;137;16-jun-64;15:06:00;5.38995073891626;7.08;10
181064009_253;36;41.6966;-49.7966;-831;183;16-jun-64;15:06:00;4.75995745633677;7.13;14
181064009_253;36;41.6966;-49.7966;-832;229;16-jun-64;15:06:00;4.26996193461711;6.9;16
181064009_253;36;41.6966;-49.7966;-833;277;16-jun-64;15:06:00;5.0299552171966;5.26;15
181064009_253;36;41.6966;-49.7966;-834;370;16-jun-64;15:06:00;6.00994626063592;3.66;13
181064009_253;36;41.6966;-49.7966;-835;462;16-jun-64;15:06:00;5.76994849977609;4.48;15
181064009_253;36;41.6966;-49.7966;-836;563;16-jun-64;15:06:00;6.11994402149575;4.18;13
181064009_253;36;41.6966;-49.7966;-837;653;16-jun-64;15:06:00;5.73994849977609;4.56;14
181064009_253;36;41.6966;-49.7966;-838;749;16-jun-64;15:06:00;6.24994402149575;4.1;12
181064009_253;36;41.6966;-49.7966;-839;850;16-jun-64;15:06:00;6.16994402149575;4.14;14
181064009_253;36;41.6966;-49.7966;-840;1024;16-jun-64;16:30:00;6.03994626063592;4.05;14
181064009_253;36;41.6966;-49.7966;-841;1221;16-jun-64;16:30:00;6.14994626063592;3.92;NaN
181064009_253;36;41.6966;-49.7966;-842;1509;16-jun-64;16:30:00;6.33994178235558;3.66;NaN
181064009_253;36;41.6966;-49.7966;-843;1996;16-jun-64;16:30:00;6.23994402149575;3.39;NaN
181064009_253;36;41.6966;-49.7966;-844;2240;16-jun-64;16:30:00;6.21994402149575;3.26;NaN
181064009_253;36;41.6966;-49.7966;-845;2472;16-jun-64;16:30:00;6.23994402149575;3.08;NaN
181064009_253;36;41.6966;-49.7966;-846;2720;16-jun-64;16:30:00;6.31994402149575;2.88;NaN
181064009_253;36;41.6966;-49.7966;-847;2956;16-jun-64;16:30:00;NaN;2.71;NaN
181064009_253;36;41.6966;-49.7966;-848;3146;16-jun-64;16:30:00;6.34994178235558;2.51;NaN
181064009_253;36;41.6966;-49.7966;-849;3293;16-jun-64;16:30:00;6.35994178235558;2.41;NaN
181064009_257;37;41.8333;-49.9583;-850;0;16-jun-64;19:30:00;NaN;11.7;NaN
181064009_257;37;41.8333;-49.9583;-851;50;16-jun-64;19:30:00;7.91992834751456;2.64;2
181064009_257;37;41.8333;-49.9583;-852;99;16-jun-64;19:30:00;6.19994402149575;5.29;8
181064009_257;37;41.8333;-49.9583;-853;149;16-jun-64;19:30:00;5.83994626063592;4.86;11
181064009_257;37;41.8333;-49.9583;-854;199;16-jun-64;19:30:00;6.21994402149575;3.75;12
181064009_257;37;41.8333;-49.9583;-855;249;16-jun-64;19:30:00;4.35996193461711;6.55;17
181064009_257;37;41.8333;-49.9583;-856;299;16-jun-64;19:30:00;5.42995073891626;4.68;17
181064009_257;37;41.8333;-49.9583;-857;398;16-jun-64;19:30:00;5.52995073891626;4.83;16
181064009_257;37;41.8333;-49.9583;-858;497;16-jun-64;19:30:00;6.17994402149575;4.02;14
