CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TEMP_XX;OXYM_01;Si_01;NO2_01;PO4_01;NOx_01;CHL_XX
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mg/m**3)
18NA96022_138;CAST#1;46.0043;-60.965;175737;1;23-sep-96;17:49:00;21.251;15.537;5.805;6.845;0.1395;0.302;0.47;2.1627
18NA96022_149;CAST#1;46.0542;-60.896;175738;9;23-sep-96;18:23:00;24.01;15.228;5.448;5.76;0.2775;0.359;1.2;0.9612
18NA96022_149;CAST#1;46.0542;-60.896;175739;5;23-sep-96;18:23:00;22.994;16.402;5.785;7.5;0.146;0.2985;0.47;1.1214
18NA96022_160;CAST#1;46.0815;-60.8912;175740;6;23-sep-96;18:43:00;23.582;16.414;5.237;6.415;0.2555;0.426;0.975;0.8811
18NA96022_160;CAST#1;46.0815;-60.8912;175741;3;23-sep-96;18:43:00;23.078;16.713;5.257;7.515;0.207;0.3765;0.8;3.0438
18NA96022_171;CAST#1;46.0752;-60.8653;175742;9;23-sep-96;19:07:00;23.887;16.014;5.43;5.91;0.228;0.3695;1.01;3.6045
18NA96022_171;CAST#1;46.0752;-60.8653;175743;5;23-sep-96;19:07:00;22.539;16.146;5.954;7.04;0.133;0.273;0.25;2.5632
18NA96022_182;CAST#1;46.0942;-60.708;175744;14;24-sep-96;11:14:00;23.911;15.943;5.622;3.865;0.168;0.2565;0.37;0.0801
18NA96022_182;CAST#1;46.0942;-60.708;175745;5;24-sep-96;11:14:00;23.674;15.671;5.68;4.505;0.1925;0.277;0.6;0.4005
18NA96022_193;CAST#1;46.0853;-60.6868;175746;87;24-sep-96;11:31:00;25.419;4.42;4.931;19.12;0.1995;1.392;10.9;NaN
18NA96022_193;CAST#1;46.0853;-60.6868;175747;50;24-sep-96;11:31:00;25.035;6.608;6.084;8.58;0.1375;0.61;5.39;NaN
18NA96022_193;CAST#1;46.0853;-60.6868;175748;25;24-sep-96;11:31:00;24.448;15.596;5.528;4.76;0.209;0.288;0.74;0.0801
18NA96022_193;CAST#1;46.0853;-60.6868;175749;7;24-sep-96;11:31:00;23.611;15.656;5.352;4.38;0.1495;0.232;0.29;0.9612
18NA96022_193;CAST#1;46.0853;-60.6868;175750;1;24-sep-96;11:31:00;23.229;15.357;5.804;4.375;0.13;0.2715;0.21;0.4005
18NA96022_204;CAST#1;46.0808;-60.6782;175751;17;24-sep-96;11:52:00;23.517;15.527;5.738;4.17;0.14;0.2365;0.265;0.3204
18NA96022_204;CAST#1;46.0808;-60.6782;175752;5;24-sep-96;11:52:00;23.095;15.217;5.913;3.975;0.127;0.207;0.13;1.1214
