CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;labo;CTD
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TE90;DOXY;OXYM_01;Si_01;NO2_01;NOx_01;PO4_01;CHL_01;CHL_03;FLOR
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mg/m**3);(mg/m**3);(mg/m**3)
18HU98051_532;721;46.13267;-63.63083;209034;19.54;12-nov-98;15:48:00;27.85;7.5;306.54624;6.946;1.6;0.02;0.42;0.09;5.37;4.49;14.425
18HU98051_532;721;46.13267;-63.63083;209035;14.48;12-nov-98;15:48:00;27.85;7.49;309.09186;6.911;1.1;0.025;0.485;0.08;5.47;4.51;14.754
18HU98051_532;721;46.13267;-63.63083;209036;4.76;12-nov-98;15:48:00;27.85;7.49;312.57534;6.902;1.02;0.02;0.62;0.08;5.7;4.72;14.855
18HU98051_533;731;45.917;-62.99983;209037;14.88;12-nov-98;18:13:00;27.59;8.89;269.0765;6.454;2.465;0.035;0.515;0.345;2.3;2.16;5.349
18HU98051_533;731;45.917;-62.99983;209038;5.36;12-nov-98;18:13:00;27.59;8.89;272.51532;6.466;2.51;0.04;0.59;0.39;2.14;2.14;5.289
18HU98051_534;741;46.16583;-61.8335;209039;25.09;12-nov-98;22:30:00;28.87;8.76;275.3289;6.519;5.01;0.13;2.29;0.51;0.45;0.53;1.646
18HU98051_534;741;46.16583;-61.8335;209040;15.07;12-nov-98;22:30:00;28.77;8.89;278.49976;6.501;5;0.14;2;0.63;0.44;0.56;1.822
18HU98051_534;741;46.16583;-61.8335;209041;5.16;12-nov-98;22:30:00;28.77;8.89;282.0279;6.519;4.72;0.15;2.25;0.68;0.5;0.62;1.825
18HU98051_535;751;46.71617;-61.999;209042;49.88;13-nov-98;01:29:00;31.16;2.89;289.53078;6.197;12.11;0.13;8.61;0.95;0.1;0.16;0.896
18HU98051_535;751;46.71617;-61.999;209043;25.09;13-nov-98;01:29:00;29.92;5.92;318.96172;6.853;7.33;0.18;5.97;0.67;0.37;0.45;1.681
18HU98051_535;751;46.71617;-61.999;209044;15.27;13-nov-98;01:29:00;29.84;6.06;325.5714;7.038;5.39;0.14;4.12;0.55;0.6;0.71;2.311
18HU98051_535;751;46.71617;-61.999;209045;4.96;13-nov-98;01:29:00;29.84;6.06;329.90342;7.03;5.47;0.13;3.46;0.5;0.59;0.71;2.258
18HU98051_536;761;47.22817;-61.63133;209046;16.06;13-nov-98;04:20:00;30.45;6.29;315.47824;6.834;6.05;0.11;2.32;0.5;0.92;1.09;3.154
18HU98051_536;761;47.22817;-61.63133;209047;5.75;13-nov-98;04:20:00;30.45;6.28;318.96172;6.864;5.765;0.115;2.46;0.505;0.94;1.03;3.099
18HU98051_537;771;47.1435;-61.49483;209048;15.57;13-nov-98;05:03:00;30.57;6.15;315.12096;6.796;6.19;0.17;2.8;0.75;0.78;0.91;2.95
18HU98051_537;771;47.1435;-61.49483;209049;5.85;13-nov-98;05:03:00;30.57;6.15;318.96172;6.811;6.03;0.16;2.69;0.7;0.83;0.92;2.936
18HU98051_538;781;47.06283;-61.35667;209050;24.3;13-nov-98;05:45:00;30.48;5.64;297.83754;6.625;7.36;0.17;4.19;0.81;0.5;0.65;2.134
18HU98051_538;781;47.06283;-61.35667;209051;14.48;13-nov-98;05:45:00;30.45;5.79;314.67436;6.779;6.16;0.15;3.2;0.705;0.55;0.75;2.381
18HU98051_538;781;47.06283;-61.35667;209052;4.96;13-nov-98;05:45:00;30.46;5.79;318.33648;6.794;6.15;0.16;3.29;0.71;0.5;0.71;2.338
18HU98051_539;791;46.9805;-61.21683;209053;49.68;13-nov-98;06:28:00;32.26;1.33;271.80076;5.653;17.51;0.13;13.09;1.49;0.13;0.23;0.996
18HU98051_539;791;46.9805;-61.21683;209054;24.99;13-nov-98;06:28:00;30.28;6.07;315.03164;5.807;5.09;0.16;3.09;0.69;0.57;0.72;2.265
18HU98051_539;791;46.9805;-61.21683;209055;15.07;13-nov-98;06:28:00;30.25;6.05;319.40832;NaN;5.09;0.15;3.04;0.63;0.5;0.65;2.243
18HU98051_539;791;46.9805;-61.21683;209056;6.15;13-nov-98;06:28:00;30.25;6.04;322.6685;6.891;5.12;0.16;3.2;0.69;0.49;0.62;2.266
18HU98051_540;801;46.89867;-61.0785;209057;73.18;13-nov-98;07:11:00;32.62;1.7;254.562;5.797;15.65;0.1;14.67;1.36;0.08;0.13;0.735
18HU98051_540;801;46.89867;-61.0785;209058;49.08;13-nov-98;07:11:00;31.69;1.4;289.3968;5.065;18.14;0.07;16.14;1.47;0.1;0.15;0.84
18HU98051_540;801;46.89867;-61.0785;209059;24.69;13-nov-98;07:11:00;30.13;6.1;309.0472;6.775;5.18;0.15;4.86;0.69;0.3;0.38;1.605
18HU98051_540;801;46.89867;-61.0785;209060;15.17;13-nov-98;07:11:00;29.76;6.56;312.97728;5.884;5.49;0.17;4.24;0.67;0.46;0.52;2.019
18HU98051_540;801;46.89867;-61.0785;209061;5.55;13-nov-98;07:11:00;29.76;6.59;317.62192;6.816;5.54;0.17;2.95;0.67;0.47;0.57;2.051
18HU98051_541;811;46.81717;-60.93717;209062;97.76;13-nov-98;07:54:00;33.25;2.61;228.30192;5.217;17.7;0.12;13.68;1.42;0.07;0.09;0.75
18HU98051_541;811;46.81717;-60.93717;209063;47.99;13-nov-98;07:54:00;31.26;2.01;283.54634;5.946;15.75;0.05;9.29;1.28;0.09;0.13;0.812
18HU98051_541;811;46.81717;-60.93717;209064;25.19;13-nov-98;07:54:00;29.46;6.99;307.52876;6.785;5.70667;0.16;3.04;0.64;0.48;0.54;1.829
18HU98051_541;811;46.81717;-60.93717;209065;15.17;13-nov-98;07:54:00;29.36;7.13;311.10156;6.799;5.58;0.16;2.55;0.6;0.47;0.55;2.07
18HU98051_541;811;46.81717;-60.93717;209066;5.55;13-nov-98;07:54:00;29.34;7.16;314.49572;6.805;5.51;0.15;2.45;0.6;0.48;0.55;2.097
18HU98051_542;841;47.999;-59.5035;208898;149.98;10-nov-98;07:02:00;33.5;3.14;250.18532;5.796;11.96;0.085;13.195;1.12;0.02;0.02;0.555
18HU98051_542;841;47.999;-59.5035;208899;101.22;10-nov-98;07:02:00;32.84;1.46;288.90554;6.851;4.27;0.23;4.29;0.67;0.04;0.04;0.633
18HU98051_542;841;47.999;-59.5035;208900;48.98;10-nov-98;07:02:00;32.29;4.27;298.19482;6.892;4.1;0.24;4.43;0.68;0.22;0.23;1.06
18HU98051_542;841;47.999;-59.5035;208901;25.58;10-nov-98;07:02:00;31.68;6.97;310.74428;6.82;1.89;0.1;0.83;0.37;0.64;0.75;3.362
18HU98051_542;841;47.999;-59.5035;208902;15.47;10-nov-98;07:02:00;31.68;7.02;313.0666;6.831;1.84;0.1;0.7;0.35;0.78;0.88;3.516
18HU98051_542;841;47.999;-59.5035;208903;5.55;10-nov-98;07:02:00;31.68;7.02;316.59474;6.83;1.75;0.1;0.67;0.34;0.79;0.85;3.516
18HU98051_543;851;47.58117;-59.3305;208904;233.99;10-nov-98;09:26:00;34.41;5.47;212.62626;4.733;16.07;0.08;18.62;1.29;0.01;0.02;0.466
18HU98051_543;851;47.58117;-59.3305;208905;199.03;10-nov-98;09:26:00;33.89;4.16;237.54654;5.35;14.39;0.09;15.28;1.2;0.01;0.02;0.504
18HU98051_543;851;47.58117;-59.3305;208906;147.8;10-nov-98;09:26:00;33.17;1.88;265.727;6.378;NaN;0.1;11.53;1.08;0.02;0.02;0.534
18HU98051_543;851;47.58117;-59.3305;208907;97.06;10-nov-98;09:26:00;32.74;1.42;282.11722;6.985;6.22;0.07;7.82;0.91;0.04;0.04;0.634
18HU98051_543;851;47.58117;-59.3305;208908;49.68;10-nov-98;09:26:00;31.98;2.04;291.94242;6.724;8.39;0.06;6.96;1.06;0.09;0.12;0.776
18HU98051_543;851;47.58117;-59.3305;208909;25.19;10-nov-98;09:26:00;31.35;4.51;279.97354;6.353;8.85;0.13;7.36;1.36;0.15;0.2;1.184
18HU98051_543;851;47.58117;-59.3305;208910;15.37;10-nov-98;09:26:00;31.34;7.02;299.04336;6.599;3.08;0.14;1.43;0.65;0.34;0.38;2.156
18HU98051_543;851;47.58117;-59.3305;208911;5.45;10-nov-98;09:26:00;31.13;7;313.60252;6.776;3.48;0.11;1.48;0.52;0.86;1.06;3.065
18HU98051_544;861;47.48317;-59.44633;208912;433.09;10-nov-98;11:19:00;34.84;4.88;195.92342;4.243;30.26;0.05;21.81;1.78;0;0.01;0.456
18HU98051_544;861;47.48317;-59.44633;208913;398.16;10-nov-98;11:19:00;34.84;4.88;195.20886;4.258;29.34;0.06;23.69;2.03;0;0.01;0.649
