CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;terrain;labo;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PRES;PSAL_BS;OXYM_01;TEMP_XX;Si_01;PO4_01;NOx_01;CHL_03
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(dbar);(PSU);(mmol/m**3);(celsius);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mg/m**3)
18HU05656_279;FC-12;47;-48.1167;260726;21;05-dec-05;03:09:00;20.75;32.31;6.99059561128527;4.95;3.47;0.57;2.02;0.77
18HU05656_279;FC-12;47;-48.1167;260727;10;05-dec-05;03:09:00;10.28;32.31;6.99955217196597;4.94;2.45;0.38;0.9;0.79
18HU05656_279;FC-12;47;-48.1167;260728;5;05-dec-05;03:09:00;5.2;32.31;7.01074787281684;4.95;3.09;0.47;1.89;0.78
18HU05656_280;FC-11;47;-48.6167;260729;98;05-dec-05;05:58:00;98.51;33.2;6.99059561128527;-0.68;NaN;NaN;NaN;NaN
18HU05656_281;FC-10;47;-49.1167;260730;76;05-dec-05;09:01:00;76.39;33.03;6.48007165248545;-0.32;12.04;1.16;9.53;0.66
18HU05656_281;FC-10;47;-49.1167;260731;51;05-dec-05;09:01:00;51.12;32.94;6.30989699955217;0.24;9.9;1.03;7.43;0.83
18HU05656_281;FC-10;47;-49.1167;260732;41;05-dec-05;09:01:00;41.26;32.45;6.56963725929243;4.1;2.06;0.51;1.48;1.24
18HU05656_281;FC-10;47;-49.1167;260733;31;05-dec-05;09:01:00;31.27;32.23;6.90103000447828;5.49;2.2;0.43;2.53;1.17
18HU05656_281;FC-10;47;-49.1167;260734;20;05-dec-05;09:01:00;20.59;32.23;6.90998656515898;5.49;1.87;0.41;0.27;1.2
18HU05656_281;FC-10;47;-49.1167;260735;11;05-dec-05;09:01:00;11.08;32.23;6.91894312583968;5.5;1.22;0.26;0.01;1.23
