CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PRES;OXYM_01;Si_01;PO4_01;NOx_01;CHL_03;CHL_XX
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(dbar);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mg/m**3);(mg/m**3)
18TL00002_102;SEGB-13;43.2;-50.1667;197986;21;24-apr-00;14:40:00;20.7;9.2599171518137;0.12;0.46;0.25;5.26;6.92
18TL00002_102;SEGB-13;43.2;-50.1667;197987;11;24-apr-00;14:40:00;10.8;9.3299171518137;0.13;0.46;0.16;5.78;6.6
18TL00002_102;SEGB-13;43.2;-50.1667;197988;5;24-apr-00;14:40:00;5.3;9.3299171518137;0.11;0.44;0.15;6.12;6.82
18TL00002_127;SEGB-15;42.85;-49.8867;197989;393;24-apr-00;18:26:00;395.7;6.12994402149575;10.56;1.87;15.9;NaN;NaN
18TL00002_127;SEGB-15;42.85;-49.8867;197990;149;24-apr-00;18:26:00;150.5;7.3999328257949;6.61;1.14;8.27;NaN;NaN
18TL00002_127;SEGB-15;42.85;-49.8867;197991;100;24-apr-00;18:26:00;100.4;7.66993058665473;NaN;NaN;NaN;NaN;NaN
18TL00002_127;SEGB-15;42.85;-49.8867;197992;75;24-apr-00;18:26:00;75.2;7.74993058665472;7.33;1.83;8.19;0.78;0.63
18TL00002_127;SEGB-15;42.85;-49.8867;197993;50;24-apr-00;18:26:00;50.3;7.88992834751455;6.4;1.18;7.36;1.3;1.08
18TL00002_127;SEGB-15;42.85;-49.8867;197994;39;24-apr-00;18:26:00;39;7.95992834751456;6.38;1.16;7.49;1.36;1.12
18TL00002_127;SEGB-15;42.85;-49.8867;197995;30;24-apr-00;18:26:00;30;8.06992834751455;4.76;1.13;5.78;2.66;2.24
18TL00002_127;SEGB-15;42.85;-49.8867;197996;19;24-apr-00;18:26:00;19.1;8.29992610837438;2.67;0.88;3.79;4.68;5.32
18TL00002_127;SEGB-15;42.85;-49.8867;197997;10;24-apr-00;18:26:00;10;8.82992163009404;1.35;0.7;1.25;6.3;7
18TL00002_127;SEGB-15;42.85;-49.8867;197998;4;24-apr-00;18:26:00;4.4;9.02991939095388;1.18;0.63;1.01;6.26;7.05
18TL00002_149;SEGB-17;42.395;-49.6833;197999;1504;24-apr-00;22:58:00;1510.79;6.53994178235558;11.33;1.67;18.24;NaN;NaN
18TL00002_149;SEGB-17;42.395;-49.6833;198800;148;24-apr-00;22:58:00;149;4.9499552171966;4.34;0.97;11.1;NaN;NaN
18TL00002_149;SEGB-17;42.395;-49.6833;221001;99;24-apr-00;22:58:00;99.68;5.48995073891626;2.65;0.7;7.33;0.08;0.06
18TL00002_149;SEGB-17;42.395;-49.6833;221002;74;24-apr-00;22:58:00;74.92;5.85994849977609;1.28;0.47;3.74;1.07;0.87
18TL00002_149;SEGB-17;42.395;-49.6833;221003;50;24-apr-00;22:58:00;50.58;5.91994626063592;0.69;0.22;2.76;1.36;1.09
18TL00002_149;SEGB-17;42.395;-49.6833;221004;41;24-apr-00;22:58:00;41.08;6.05994626063592;1.08;0.21;2.43;1.53;1.2
18TL00002_149;SEGB-17;42.395;-49.6833;221005;31;24-apr-00;22:58:00;31.65;6.36994178235558;1.51;0.19;1.19;2.82;2.22
18TL00002_149;SEGB-17;42.395;-49.6833;221006;21;24-apr-00;22:58:00;20.97;6.39994178235558;1.48;0.2;1.17;2.69;2.13
18TL00002_149;SEGB-17;42.395;-49.6833;221007;11;24-apr-00;22:58:00;11.43;6.40994178235558;1.39;0.2;1.17;1.98;2.08
18TL00002_149;SEGB-17;42.395;-49.6833;221008;7;24-apr-00;22:58:00;7.23;6.39994178235558;1.36;0.26;1.14;2.67;2.1
18TL00002_171;SEGB-19;42.0817;-49.27;221009;1500;25-apr-00;05:52:00;1506.85;6.47994178235558;11.12;1.22;18.07;NaN;NaN
