CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;CTD;labo
18HU18051_1707;61;47.831;-63.75083;454617;25.19;15-oct-18;14:59:00;30.1;7.01;297.70356;8.183;6.7165;3.025;0.13;1.775;0.535;0.514;0.44
18HU18051_1707;61;47.831;-63.75083;454618;14.87;15-oct-18;14:59:00;29.56;8.5;300.51714;8.254;NaN;NaN;NaN;NaN;NaN;1.135;1.035
18HU18051_1707;61;47.831;-63.75083;454619;2.38;15-oct-18;14:59:00;29.48;8.89;299.31132;8.271;6.9415;1.5;0.04;0.365;0.32;0.738;1.28
18HU18051_1708;71;47.50067;-63.7505;454620;66.33;15-oct-18;18:14:00;31.78;0.58;244.5135;7.837;5.457;22.3;0.105;11.975;1.44;0.19;NaN
18HU18051_1708;71;47.50067;-63.7505;454621;25.48;15-oct-18;18:14:00;29.99;7.78;301.2317;8.202;6.7435;1.585;0.09;0.765;0.44;0.405;0.49
18HU18051_1708;71;47.50067;-63.7505;454622;15.67;15-oct-18;18:14:00;29.39;9.28;299.84724;8.267;NaN;NaN;NaN;NaN;NaN;1.617;1.555
18HU18051_1708;71;47.50067;-63.7505;454623;2.38;15-oct-18;18:14:00;29.39;9.38;299.62394;8.274;6.733;1.665;0.03;0.18;0.28;0.987;1.5
18HU18051_1709;81;47.60967;-64.12867;454624;65.34;15-oct-18;21:09:00;31.49;1.84;264.92312;7.934;6.183;13.925;0.125;8.355;1.13;0.233;NaN
18HU18051_1709;81;47.60967;-64.12867;454625;25.38;15-oct-18;21:09:00;29.55;8.73;301.27636;8.245;6.786;1.55;0.025;0.2;0.32;1.64;1.605
18HU18051_1709;81;47.60967;-64.12867;454626;15.47;15-oct-18;21:09:00;29.51;9.02;304.04528;8.266;NaN;NaN;NaN;NaN;NaN;1.975;1.835
18HU18051_1709;81;47.60967;-64.12867;454627;2.58;15-oct-18;21:09:00;29.51;9.02;304.1346;8.268;6.8385;1.54;0.02;0.08;0.305;1.997;1.84
18HU18051_1710;91;47.49767;-64.24783;454628;54.43;15-oct-18;23:08:00;31.2;3.07;282.6978;8.004;6.317;11.05;0.025;6.825;1.03;0.246;NaN
18HU18051_1710;91;47.49767;-64.24783;454629;25.98;15-oct-18;23:08:00;29.26;9.32;296.72104;8.236;6.662;2.14;0.03;0.21;0.31667;1.754;2.03
18HU18051_1710;91;47.49767;-64.24783;454630;15.37;15-oct-18;23:08:00;29.06;10.27;289.66476;8.25;NaN;NaN;NaN;NaN;NaN;1.407;1.44
18HU18051_1710;91;47.49767;-64.24783;454631;2.97;15-oct-18;23:08:00;29.05;10.29;288.68224;8.255;6.5215;2.14;0.15;0.29;0.29;1.432;1.32
