CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;CTD;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TE90;DOXY;PHPH;OXYM_01;Si_01;NO2_01;NOx_01;PO4_01;FLOR;CHL_04
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);((none));(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mg/m**3);(mg/m**3)
18HU18028_1689;161;47.26383;-59.78667;454791;15.97;25-oct-18;23:27:00;30.6;8.23;297.52492;8.192;NaN;1.27;0.075;0.66;0.295;0.792;1.505
18HU18028_1689;161;47.26383;-59.78667;454792;5.26;25-oct-18;23:27:00;30.42;8.25;297.03366;8.194;6.781;1.62;0.08;0.735;0.32;0.92;1.715
18HU18028_1689;161;47.26383;-59.78667;454793;3.07;25-oct-18;23:27:00;30.43;8.26;297.16764;8.194;NaN;1.575;0.08;0.745;0.31;0.899;1.77
18HU18028_1690;171;47.4345;-59.55317;454794;466.44;26-oct-18;01:56:00;34.98;5.91;155.8634;7.923;3.4555;32.73;0.02;22.815;1.75;0.071;NaN
18HU18028_1690;171;47.4345;-59.55317;454795;400.04;26-oct-18;01:56:00;34.97;6.1;148.22654;7.916;NaN;30.335;0.02;23.39;1.76667;0.097;NaN
18HU18028_1690;171;47.4345;-59.55317;454796;299.16;26-oct-18;01:56:00;34.84;7.01;127.9509;7.902;NaN;25.635;0.02;23.695;1.72;0.091;NaN
18HU18028_1690;171;47.4345;-59.55317;454797;193.28;26-oct-18;01:56:00;34.05;5.25;161.08862;7.867;NaN;21.905;0.025;19.295;1.56;0.099;NaN
18HU18028_1690;171;47.4345;-59.55317;454798;102.21;26-oct-18;01:56:00;32.61;1.54;293.81814;7.99;NaN;7.185;0.085;8.53;0.98;0.116;0.045
18HU18028_1690;171;47.4345;-59.55317;454799;49.68;26-oct-18;01:56:00;31.84;3.75;320.4355;8.079;7.1465;2.855;0.09;3.82;0.66;0.389;0.515
18HU18028_1690;171;47.4345;-59.55317;454800;27.07;26-oct-18;01:56:00;31.63;4.5;321.19472;8.106;NaN;2.545;0.10667;3.17;0.58333;0.588;0.955
18HU18028_1690;171;47.4345;-59.55317;454801;15.97;26-oct-18;01:56:00;30.64;7.65;301.63364;8.182;NaN;1.265;0.095;0.86;0.33;0.692;1.2
18HU18028_1690;171;47.4345;-59.55317;454802;5.16;26-oct-18;01:56:00;30.61;7.75;301.05306;8.194;6.793;1.19;0.09;0.765;0.325;0.687;1.105
18HU18028_1690;171;47.4345;-59.55317;454803;3.37;26-oct-18;01:56:00;30.61;7.75;300.65112;8.194;NaN;1.19;0.09;0.76;0.32;0.66;1.15
18HU18028_1691;181;47.58433;-59.3435;454804;251.03;26-oct-18;04:19:00;34.61;6.76;148.22654;7.923;3.311;21.98;0.035;21.555;1.58;0.067;NaN
18HU18028_1691;181;47.58433;-59.3435;454805;201.4;26-oct-18;04:19:00;33.66;4.24;216.77964;7.95;NaN;15.21;0.05;15.535;1.31;0.058;NaN
18HU18028_1691;181;47.58433;-59.3435;454806;102.21;26-oct-18;04:19:00;32.54;1.46;303.9113;8.007;NaN;6.815;0.12;7.98;0.94;0.113;0.075
18HU18028_1691;181;47.58433;-59.3435;454807;50.17;26-oct-18;04:19:00;32.07;3.02;313.64718;8.066;6.974;4;0.075;4.84;0.705;0.27;0.335
18HU18028_1691;181;47.58433;-59.3435;454808;26.28;26-oct-18;04:19:00;31.44;7.42;301.72296;8.172;NaN;1.485;0.085;1.16;0.37;0.804;1.485
18HU18028_1691;181;47.58433;-59.3435;454809;15.17;26-oct-18;04:19:00;31.48;7.83;299.13268;8.199;NaN;1.16;0.07;0.665;0.325;0.922;1.695
18HU18028_1691;181;47.58433;-59.3435;454810;4.96;26-oct-18;04:19:00;31.49;8.03;297.97152;8.205;NaN;1.065;0.07;0.555;0.325;0.911;1.8
18HU18028_1691;181;47.58433;-59.3435;454811;3.17;26-oct-18;04:19:00;31.49;8.03;298.37346;8.206;6.7155;1.115;0.07;0.565;0.32;0.98;1.83
18HU18028_1692;21;47.78717;-64.02883;454715;78.32;23-oct-18;09:37:00;31.66;1.64;265.01244;7.892;6.227;13.02;0.125;9.235;1.15;0.158;0.22
18HU18028_1692;21;47.78717;-64.02883;454716;50.17;23-oct-18;09:37:00;30.5;4.74;313.0666;8.117;7.0635;3.34;0.2;3.185;0.665;0.359;0.715
18HU18028_1692;21;47.78717;-64.02883;454717;25.88;23-oct-18;09:37:00;29.78;5.97;314.31708;8.18;NaN;1.88;0.13;1.845;0.525;0.821;2.37
18HU18028_1692;21;47.78717;-64.02883;454718;16.56;23-oct-18;09:37:00;29.75;5.84;315.5229;8.179;NaN;1.965;0.125;1.955;0.53;0.819;2.355
18HU18028_1692;21;47.78717;-64.02883;454719;5.65;23-oct-18;09:37:00;29.75;5.81;315.83552;8.18;7.147;1.98;0.12;2;0.53;0.829;2.55
18HU18028_1692;21;47.78717;-64.02883;454720;3.57;23-oct-18;09:37:00;29.73;5.72;316.46076;8.179;NaN;2.06;0.13;2.11;0.54;0.851;2.28
18HU18028_1693;41;47.66583;-63.75067;454721;60.08;23-oct-18;16:01:00;31.63;1.58;273.85512;7.915;6.18;14.635;0.11;9.75;1.2;0.152;0.22
18HU18028_1693;41;47.66583;-63.75067;454722;25.58;23-oct-18;16:01:00;30.58;4.8;315.83552;8.128;NaN;2.825;0.19;2.72;0.635;0.36;0.695
18HU18028_1693;41;47.66583;-63.75067;454723;15.77;23-oct-18;16:01:00;30.22;5.09;318.69376;8.156;NaN;2.585;0.165;2.455;0.59;0.548;1.16
18HU18028_1693;41;47.66583;-63.75067;454724;5.35;23-oct-18;16:01:00;30.22;5.14;319.40832;8.162;7.224;2.52;0.165;2.435;0.59;0.62;1.49
18HU18028_1693;41;47.66583;-63.75067;454725;2.18;23-oct-18;16:01:00;30.22;5.14;319.14036;8.162;NaN;2.525;0.16;2.43;0.585;0.541;1.365
18HU18028_1694;51;47.50067;-63.2495;454726;74.36;23-oct-18;19:23:00;31.73;0.38;229.46308;7.736;5.584;24.775;0.09;12.75;1.495;0.193;0.29
18HU18028_1694;51;47.50067;-63.2495;454727;50.27;23-oct-18;19:23:00;31.53;1.45;274.03376;7.895;6.06;13.115;0.1;9.95;1.225;0.122;0.135
18HU18028_1694;51;47.50067;-63.2495;454728;25.29;23-oct-18;19:23:00;29.95;6.57;307.52876;8.165;NaN;2.44;0.105;1.71;0.535;1.01;1.49
18HU18028_1694;51;47.50067;-63.2495;454729;15.97;23-oct-18;19:23:00;29.94;6.6;308.68992;8.185;NaN;2.46;0.11;1.67;0.505;1.133;1.975
18HU18028_1694;51;47.50067;-63.2495;454730;5.85;23-oct-18;19:23:00;29.94;6.62;309.0472;8.189;7.0085;2.445;0.105;1.675;0.51;1.09;2.01
18HU18028_1694;51;47.50067;-63.2495;454731;1.59;23-oct-18;19:23:00;29.94;6.62;308.91322;8.189;NaN;2.41;0.105;1.685;0.505;1.027;2.03
18HU18028_1695;61;47.33333;-62.75017;454732;45.51;23-oct-18;22:44:00;31.11;1.77;261.17168;7.889;5.8405;17.21;0.21;5.88;1.18667;0.375;0.65
18HU18028_1695;61;47.33333;-62.75017;454733;25.48;23-oct-18;22:44:00;29.74;8.41;295.38124;8.208;6.553;2.155;0.105;0.725;0.325;1.104;2.33
18HU18028_1695;61;47.33333;-62.75017;454734;15.37;23-oct-18;22:44:00;29.68;8.29;296.89968;8.221;NaN;2.06;0.11;0.83;0.33;1.182;3.09
18HU18028_1695;61;47.33333;-62.75017;454735;5.65;23-oct-18;22:44:00;29.68;8.28;297.07832;8.224;6.767;2.05;0.115;0.835;0.325;1.237;2.55
18HU18028_1695;61;47.33333;-62.75017;454736;2.58;23-oct-18;22:44:00;29.68;8.29;296.7657;8.225;NaN;2.055;0.11;0.815;0.33;1.173;2.815
18HU18028_1696;71;47.169;-62.251;454737;35.7;24-oct-18;02:04:00;31.07;2.12;254.47268;7.887;5.678;17.135;0.24333;5.37667;1.16;0.311;0.605
18HU18028_1696;71;47.169;-62.251;454738;25.19;24-oct-18;02:04:00;30.6;4.85;267.0668;8.001;NaN;10.055;0.185;3.425;0.825;0.459;1.085
18HU18028_1696;71;47.169;-62.251;454739;15.17;24-oct-18;02:04:00;29.89;7.78;294.44338;8.163;NaN;5.005;0.205;1.52;0.515;1.201;2.48
18HU18028_1696;71;47.169;-62.251;454740;5.26;24-oct-18;02:04:00;29.89;7.78;294.93464;8.171;6.7005;4.875;0.205;1.51;0.525;1.268;2.655
18HU18028_1696;71;47.169;-62.251;454741;1.59;24-oct-18;02:04:00;29.89;7.79;294.5327;8.173;NaN;4.975;0.205;1.495;0.535;1.206;2.575
18HU18028_1697;81;47;-61.75083;454742;35.2;24-oct-18;04:38:00;30.29;7.8;NaN;8.136;6.255;5.08;0.135;2.025;0.6;0.44;0.715
18HU18028_1697;81;47;-61.75083;454743;25.49;24-oct-18;04:38:00;29.89;8.37;NaN;8.177;NaN;3.68;0.11;1.43;0.52;0.764;1.545
18HU18028_1697;81;47;-61.75083;454744;15.47;24-oct-18;04:38:00;29.85;8.53;NaN;8.189;NaN;3.205;0.1;1.215;0.48;0.787;1.71
18HU18028_1697;81;47;-61.75083;454745;5.45;24-oct-18;04:38:00;29.9;8.56;NaN;8.187;6.5245;3.235;0.1;1.21;0.49;0.837;1.745
18HU18028_1697;81;47;-61.75083;454746;1.88;24-oct-18;04:38:00;29.94;8.55;NaN;8.189;NaN;3.215;0.1;1.21;0.5;0.799;1.785
18HU18028_1698;91;46.91583;-61.50167;454747;45.51;24-oct-18;06:16:00;31.1;4.69;276.6687;8.041;6.3035;7.88;0.165;4.305;0.805;0.231;0.34
18HU18028_1698;91;46.91583;-61.50167;454748;25.98;24-oct-18;06:16:00;29.95;8.67;287.8337;8.186;NaN;2.735;0.09;1.115;0.445;0.574;1.125
18HU18028_1698;91;46.91583;-61.50167;454749;15.47;24-oct-18;06:16:00;29.95;8.66;288.01234;8.195;NaN;2.72;0.09;1.13;0.435;0.599;1.135
18HU18028_1698;91;46.91583;-61.50167;454750;5.95;24-oct-18;06:16:00;29.95;8.66;288.10166;8.195;6.575;2.715;0.085;1.13;0.44;0.533;1.185
18HU18028_1698;91;46.91583;-61.50167;454751;2.68;24-oct-18;06:16:00;29.95;8.67;288.10166;8.195;NaN;2.73;0.085;1.115;0.445;0.552;1.115
