CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;CTD
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TE90;DOXY;CHL_01;Si_01;PO4_01;NOx_01;NO2_01;OXYM_01;FLOR
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);(mg/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mg/m**3)
18TL17177_2438;1241;47.48283;-63.20783;441660;4.26;25-sep-17;13:54:00;27.69;15.95;263.85128;1.7;1.74;0.11;0.1;0.02;260.25615;5.084
18TL17177_2439;1251;47.34867;-63.1245;441661;68.31;25-sep-17;15:21:00;31.48;-0.37;224.10388;0.05;22.79;1.49;10.58;0.08;227.29707;0.343
18TL17177_2439;1251;47.34867;-63.1245;441662;48.78;25-sep-17;15:21:00;31.24;-0.41;235.04558;0.05;18.875;1.42;10.13;0.07;NaN;0.221
18TL17177_2439;1251;47.34867;-63.1245;441663;23.3;25-sep-17;15:21:00;29.06;8.7;265.68234;0.195;8.21;0.845;4.98;0.09;NaN;1.283
18TL17177_2439;1251;47.34867;-63.1245;441664;3.67;25-sep-17;15:21:00;27.77;15.91;268.00466;1.48;1.695;0.105;0.1;0.02;266.93282;3.186
18TL17177_2440;1261;47.43933;-62.89967;441665;47.89;25-sep-17;19:16:00;30.91;0.74;274.34638;0.08;13.5;1.075;6.73;0.085;266.35224;0.347
18TL17177_2440;1261;47.43933;-62.89967;441666;23.3;25-sep-17;19:16:00;29.69;6.63;282.78712;0.1;8.915;0.9;5.285;0.09;NaN;0.753
18TL17177_2440;1261;47.43933;-62.89967;441667;4.56;25-sep-17;19:16:00;28.02;15.08;275.59686;1.095;1.655;0.14;0.115;0.02;275.35123;4.305
18TL17177_2441;1271;47.27783;-62.80983;441668;51.46;25-sep-17;22:06:00;31.17;0.02;270.77358;0.03;15.17;1.215;9.005;0.075;267.22311;0.203
18TL17177_2441;1271;47.27783;-62.80983;441669;24.59;25-sep-17;22:06:00;30.08;3.25;298.3288;0.115;5.96;0.795;5.855;0.105;NaN;0.712
18TL17177_2441;1271;47.27783;-62.80983;441670;4.56;25-sep-17;22:06:00;27.76;16.21;263.31536;1.16;2.16;0.195;0.825;0.035;261.55129;3.846
18TL17177_2442;1281;47.1205;-63.11433;441671;61.87;26-sep-17;02:17:00;31.34;-0.46;233.5718;0.05;20.52;1.48;10.21;0.08;233.52714;0.3
18TL17177_2442;1281;47.1205;-63.11433;441672;49.18;26-sep-17;02:17:00;31.06;-0.35;239.10964;0.05;19.09;1.475;10.01;0.07;NaN;0.211
18TL17177_2442;1281;47.1205;-63.11433;441673;24.39;26-sep-17;02:17:00;29.76;4.14;280.55412;0.12;8.18;0.83;5.165;0.08;NaN;0.817
18TL17177_2442;1281;47.1205;-63.11433;441674;4.66;26-sep-17;02:17:00;27.77;16.09;268.49592;1.305;1.915;0.12;0.405;0.025;270.12601;5.085
18TL17177_2443;1291;47.17517;-63.39783;441675;55.53;26-sep-17;05:48:00;31.27;-0.48;233.03588;0.08;18.01;1.435;10.14;0.1;235.20189;0.406
18TL17177_2443;1291;47.17517;-63.39783;441676;49.58;26-sep-17;05:48:00;31.23;-0.47;233.16986;0.075;20.315;1.48;10.81;0.09;NaN;0.34
18TL17177_2443;1291;47.17517;-63.39783;441677;24.49;26-sep-17;05:48:00;29.52;5.22;256.795;0.1;11.305;0.915;6.03;0.105;NaN;0.764
18TL17177_2443;1291;47.17517;-63.39783;441678;4.86;26-sep-17;05:48:00;27.61;16.4;262.24352;1.38;1.605;0.085;0.255;0.02;260.70275;4.474
18TL17177_2444;1301;46.93683;-63.45583;441679;48.79;26-sep-17;10:38:00;31;0.02;231.91938;0.04;18.6;1.405;7.485;0.2;241.96788;0.295
18TL17177_2444;1301;46.93683;-63.45583;441680;23.01;26-sep-17;10:38:00;29.72;4.81;265.45904;0.12;7.955;0.755;2.86;0.34;NaN;0.724
18TL17177_2444;1301;46.93683;-63.45583;441681;4.26;26-sep-17;10:38:00;27.57;16.5;260.18916;0.945;2.245;0.135;0.47;0.03;259.65324;3.235
18TL17177_2445;131;45.87467;-61.766;437817;36.2;07-sep-17;13:52:00;30.74;2.5;257.59888;0.415;5.515;0.39;1.065;0.115;NaN;0.478
18TL17177_2445;131;45.87467;-61.766;437818;23.5;07-sep-17;13:52:00;27.97;18.05;244.64748;0.45;5.37;0.375;0.955;0.115;NaN;1.66
18TL17177_2445;131;45.87467;-61.766;437819;4.36;07-sep-17;13:52:00;27.95;18.39;247.46106;2.215;1.51;0.13;0.24;0.04;250.65425;4.322
18TL17177_2446;1331;46.67;-63.35567;441682;39.96;26-sep-17;17:11:00;30.32;2.11;215.12722;0.055;17.775;1.06;5.25;0.32;214.90392;0.375
