CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TEMP_XX;OXYM_01;SSAL_XX;Si_01;PO4_01;NOx_01
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(mmol/m**3);((none));(mmol/m**3);(mmol/m**3);(mmol/m**3)
18PZ94029_091;CAST#1;43.18;-62.0983;123855;20;28-oct-94;20:06:00;30.982;12.088;278.41044;NaN;1.196;0.297;0.286
18PZ94029_091;CAST#1;43.18;-62.0983;123856;10;28-oct-94;20:06:00;30.865;12.001;291.22786;NaN;1.14;0.291;0.034
18PZ94029_091;CAST#1;43.18;-62.0983;123857;1;28-oct-94;20:06:00;30.865;12.002;381.1731;NaN;1.052;0.2735;0
18PZ94029_091;CAST#1;43.18;-62.0983;123858;10;28-oct-94;20:06:00;30.865;12.001;NaN;30.886;1.076;0.256;0
18PZ94029_091;18;43.18;-62.09833;123858;10;28-oct-94;20:30:00;30.865;12.001;NaN;30.886;1.076;0.256;0
18PZ94029_091;18;43.18;-62.09833;123859;25;28-oct-94;20:30:00;31.78;12.62;NaN;30.969;1.1;0.262;0
18PZ94029_091;CAST#1;43.18;-62.0983;123859;25;28-oct-94;20:06:00;31.78;12.62;NaN;30.969;1.1;0.262;0
18PZ94029_091;CAST#1;43.18;-62.0983;123860;98;28-oct-94;20:06:00;33.872;6.882;NaN;32.49;4.535;0.711;5.3595
18PZ94029_091;18;43.18;-62.09833;123860;50;28-oct-94;20:30:00;33.872;6.882;NaN;32.49;4.535;0.711;5.3595
18PZ94029_091;18;43.18;-62.09833;123861;75;28-oct-94;20:30:00;33.654;6.407;NaN;33.839;6.002;0.822;9.027
18PZ94029_091;CAST#1;43.18;-62.0983;123861;75;28-oct-94;20:06:00;33.654;6.407;NaN;33.839;6.002;0.822;9.027
18PZ94029_091;CAST#1;43.18;-62.0983;123862;25;28-oct-94;20:06:00;31.78;12.62;NaN;NaN;1.317;0.276;0.277
18PZ94029_091;CAST#1;43.18;-62.0983;123863;25;28-oct-94;20:06:00;31.78;12.62;NaN;NaN;NaN;NaN;NaN
18PZ94029_091;CAST#1;43.18;-62.0983;123864;25;28-oct-94;20:06:00;31.78;12.62;NaN;NaN;NaN;NaN;NaN
18PZ94029_091;CAST#1;43.18;-62.0983;123865;25;28-oct-94;20:06:00;31.78;12.62;NaN;NaN;NaN;NaN;NaN
