CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PRES;PSAL;TEMP_XX;OXYM_01;Si_01;PO4_01;NOx_01;CHL_01
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(dbar);(psu);(celsius);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mg/m**3)
18HU92053_366;2;41.39;-53.4;121017;20;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.347
18HU92053_366;2;41.39;-53.4;121018;10;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.218
18HU92053_366;2;41.39;-53.4;121019;1;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.205
18HU92053_366;2;41.38;-53.4;99475;1;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.25
18HU92053_366;2;41.38;-53.4;99476;20;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.3
18HU92053_366;2;41.38;-53.4;99477;40;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.26
18HU92053_367;3;39.47;-48.56;121020;300;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.057
18HU92053_367;3;39.47;-48.56;121021;150;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.11
18HU92053_367;3;39.47;-48.56;121022;120;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.111
18HU92053_367;3;39.47;-48.56;121023;110;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.101
18HU92053_367;3;39.47;-48.56;121024;100;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.104
18HU92053_367;3;39.47;-48.56;121025;90;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.109
18HU92053_367;3;39.47;-48.56;121026;80;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.112
18HU92053_367;3;39.47;-48.56;121027;70;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.109
18HU92053_367;3;39.47;-48.56;121028;60;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.101
18HU92053_367;3;39.47;-48.56;121029;50;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.108
18HU92053_367;3;39.47;-48.56;121030;40;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.102
18HU92053_367;3;39.47;-48.56;121032;20;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.103
18HU92053_367;3;39.47;-48.56;121034;10;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.101
18HU92053_367;3;39.47;-48.56;121035;1;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.11
18HU92053_367;3;39.47;-48.57;99478;1;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.12
18HU92053_367;3;39.47;-48.57;99479;20;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.1
18HU92053_367;3;39.47;-48.57;99480;40;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.1
