CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;terrain;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;OXYM_01;TEMP_XX;PO4_01;NOx_01;Si_01
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(mmol/m**3);(celsius);(mmol/m**3);(mmol/m**3);(mmol/m**3)
18VA69002_1767;21;47.2431;-59.9597;21_25;200;07-may-69;00:00:00;201.8632;1.25;0.68;5.86;NaN
18VA69002_1767;21;47.2431;-59.9597;21_26;300;07-may-69;00:00:00;178.1934;NaN;2.34;15.75;NaN
18VA69002_1767;21;47.2431;-59.9597;21_27;400;07-may-69;00:00:00;204.9894;NaN;1.84;22.3;NaN
18VA69002_1768;22;47.2431;-59.9597;22_57;0;01-jun-69;00:00:00;345.6684;4.08;0.4;0.6;NaN
18VA69002_1768;22;47.2431;-59.9597;22_58;5;01-jun-69;00:00:00;345.6684;4.08;0.38;0.6;NaN
18VA69002_1768;22;47.2431;-59.9597;22_60;15;01-jun-69;00:00:00;348.348;4.1;0.3;0.5;NaN
18VA69002_1768;22;47.2431;-59.9597;22_62;25;01-jun-69;00:00:00;349.6878;3.62;0.36;0.65;NaN
18VA69002_1768;22;47.2431;-59.9597;22_64;50;01-jun-69;00:00:00;351.4742;1.13;0.67;1.45;NaN
18VA69002_1768;22;47.2431;-59.9597;22_65;75;01-jun-69;00:00:00;360.4062;0.76;0.92;4.01;NaN
18VA69002_1768;22;47.2431;-59.9597;22_66;100;01-jun-69;00:00:00;312.62;1.19;NaN;NaN;NaN
18VA69002_1768;22;47.2431;-59.9597;22_67;150;01-jun-69;00:00:00;244.2902;2.82;1.09;7.62;NaN
18VA69002_1768;22;47.2431;-59.9597;22_68;200;01-jun-69;00:00:00;196.504;5.16;1.21;11.03;NaN
18VA69002_1768;22;47.2431;-59.9597;22_69;300;01-jun-69;00:00:00;180.4264;4.88;2;9.72;NaN
18VA69002_1768;22;47.2431;-59.9597;22_70;400;01-jun-69;00:00:00;190.6982;4.54;1.79;15.69;NaN
