CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;Date;Heure;PRES;PSAL_BS;OXY_01
(nom);(nom/no);(degres);(degres);(no_unique);(jj-mmm-yyyy);(GMT);(dbar);(PSU);(ml/l)
WT624_515;SI-02;53.3333;-55.5;260196;27-jul-05;11:28:00;99.62;32.77;330.5
WT624_515;SI-02;53.3333;-55.5;260197;27-jul-05;11:28:00;75.01;32.66;334.9
WT624_515;SI-02;53.3333;-55.5;260198;27-jul-05;11:28:00;49.01;32.44;357.7
WT624_515;SI-02;53.3333;-55.5;260199;27-jul-05;11:28:00;39.1;32.38;348.8
WT624_515;SI-02;53.3333;-55.5;260200;27-jul-05;11:28:00;29.27;32.25;402.8
WT624_515;SI-02;53.3333;-55.5;260201;27-jul-05;11:28:00;19.12;32.03;409.1
WT624_515;SI-02;53.3333;-55.5;260202;27-jul-05;11:28:00;10.3;30.73;310.4
WT624_515;SI-02;53.3333;-55.5;260203;27-jul-05;11:28:00;5.87;29.73;309.9
WT624_528;SI-03;53.41;-55.3567;260204;27-jul-05;13:10:00;161.33;33.4;319.3
WT624_531;SI-04;53.5333;-55.145;260205;27-jul-05;14:44:00;197.24;33.92;303.7
WT624_531;SI-04;53.5333;-55.145;260206;27-jul-05;14:44:00;151.07;33.88;305.9
WT624_531;SI-04;53.5333;-55.145;260207;27-jul-05;14:44:00;100.46;33.59;323.3
WT624_531;SI-04;53.5333;-55.145;260208;27-jul-05;14:44:00;75.03;33.44;328.2
WT624_531;SI-04;53.5333;-55.145;260209;27-jul-05;14:44:00;49.69;33.29;339.4
WT624_531;SI-04;53.5333;-55.145;260210;27-jul-05;14:44:00;40.45;33.2;354.2
WT624_531;SI-04;53.5333;-55.145;260211;27-jul-05;14:44:00;30.15;32.87;401
WT624_531;SI-04;53.5333;-55.145;260212;27-jul-05;14:44:00;20.26;32.54;335.8
WT624_531;SI-04;53.5333;-55.145;260213;27-jul-05;14:44:00;10.16;32.39;308.6
