CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo
Fichier;Station;Latitude;Longitude;Echantillon;Date;Heure;PSAL;TE90;OXY_01
(nom);(nom/no);(degres);(degres);(no_unique);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l)
IML-2000-01 Monitorage 2000_2034;14;49.23933;-66.19883;216253;04-may-00;21:51:00;31.63;-0.44;NaN
IML-2000-01 Monitorage 2000_2034;14;49.23933;-66.19883;216254;04-may-00;21:51:00;29.9;0.73;NaN
IML-2000-01 Monitorage 2000_2034;14;49.23933;-66.19883;216255;04-may-00;21:51:00;27.99;2;NaN
IML-2000-01 Monitorage 2000_2034;14;49.23933;-66.19883;216256;04-may-00;21:51:00;24.43;4.07;NaN
IML-2000-01 Monitorage 2000_2034;14;49.23933;-66.19883;216257;04-may-00;21:51:00;24.85;3.78;363.5324
IML-2000-01 Monitorage 2000_2035;15;49.24117;-66.19533;216266;25-may-00;13:23:00;33.75;3.5;NaN
IML-2000-01 Monitorage 2000_2035;15;49.24117;-66.19533;216267;25-may-00;13:23:00;33.17;2.09;NaN
IML-2000-01 Monitorage 2000_2035;15;49.24117;-66.19533;216268;25-may-00;13:23:00;32.14;-0.05;NaN
IML-2000-01 Monitorage 2000_2035;15;49.24117;-66.19533;216269;25-may-00;13:23:00;31.7;-0.28;NaN
IML-2000-01 Monitorage 2000_2035;15;49.24117;-66.19533;216270;25-may-00;13:23:00;31.14;0.75;NaN
IML-2000-01 Monitorage 2000_2035;15;49.24117;-66.19533;216272;25-may-00;13:23:00;30.04;1.8;NaN
IML-2000-01 Monitorage 2000_2036;16;49.24167;-66.205;216281;02-jun-00;04:39:00;33.29;2.4;200.97
IML-2000-01 Monitorage 2000_2036;16;49.24167;-66.205;216282;02-jun-00;04:39:00;32.41;0.27;NaN
IML-2000-01 Monitorage 2000_2036;16;49.24167;-66.205;216283;02-jun-00;04:39:00;31.44;1.06;NaN
IML-2000-01 Monitorage 2000_2036;16;49.24167;-66.205;216284;02-jun-00;04:39:00;29.08;2.68;NaN
IML-2000-01 Monitorage 2000_2036;16;49.24167;-66.205;216285;02-jun-00;04:39:00;26.88;6.46;NaN
IML-2000-01 Monitorage 2000_2036;16;49.24167;-66.205;216287;02-jun-00;04:39:00;25.75;6.59;373.1343
IML-2000-01 Monitorage 2000_2037;18;49.24233;-66.19867;227709;05-jul-00;16:19:00;33.59;3.14;166.3585
IML-2000-01 Monitorage 2000_2037;18;49.24233;-66.19867;227710;05-jul-00;16:19:00;32.58;0.66;NaN
IML-2000-01 Monitorage 2000_2037;18;49.24233;-66.19867;227711;05-jul-00;16:19:00;31.85;0.08;NaN
IML-2000-01 Monitorage 2000_2037;18;49.24233;-66.19867;227712;05-jul-00;16:19:00;31.22;1.74;NaN
IML-2000-01 Monitorage 2000_2037;18;49.24233;-66.19867;227713;05-jul-00;16:19:00;28.7;6.32;NaN
IML-2000-01 Monitorage 2000_2037;18;49.24233;-66.19867;227714;05-jul-00;16:19:00;26.29;12.65;NaN
IML-2000-01 Monitorage 2000_2037;18;49.24233;-66.19867;227715;05-jul-00;16:19:00;26.24;12.96;353.4839
IML-2000-01 Monitorage 2000_2038;19;49.24183;-66.17733;217101;09-aug-00;20:12:00;33.65;3.2;148.7178
IML-2000-01 Monitorage 2000_2038;19;49.24183;-66.17733;217102;09-aug-00;20:12:00;32.77;1.13;NaN
IML-2000-01 Monitorage 2000_2038;19;49.24183;-66.17733;217103;09-aug-00;20:12:00;31.85;0.65;NaN
IML-2000-01 Monitorage 2000_2038;19;49.24183;-66.17733;217104;09-aug-00;20:12:00;30.33;3.76;NaN
IML-2000-01 Monitorage 2000_2038;19;49.24183;-66.17733;217105;09-aug-00;20:12:00;28.9;5.04;NaN
IML-2000-01 Monitorage 2000_2038;19;49.24183;-66.17733;217106;09-aug-00;20:12:00;27.54;8.43;NaN
