CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;terrain;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;CNTR;nCNTR;PRES;PRES_SDEV;TE90;TE90_SDEV;PSAL;SIGT;FLOR;DOXY;SECC;PSAL_BS;Q_PSAL;OXY_02;Q_OXY;OXY_02;Q_OXY;OXY_02;Q_OXY;CHL_01;Q_CHL;CHL_01;Q_CHL;PHA_01;PHA_01;CHL_03;Q_CHL;CHL_03;Q_CHL;NO2_02;Q_NO2;NO2_02;Q_NO2;NO2_02;Q_NO2;NOX_02;Q_NOX;NOX_02;Q_NOX;NOX_02;Q_NOX;NOX_02;Q_NOX;NOX_02;Q_NOX;PO4_02;Q_PO4;PO4_02;Q_PO4;Si_02;Q_Si;Si_02;Q_Si;Si_02;Q_Si;Si_02;Q_Si
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(scan);(nombre_scan);(dbar);(dbar);(celsius);(celsius);(psu);(kg/m**3);(mg/m**3);(ml/l);(m);(PSU);((none));(ml/l);((none));(ml/l);((none));(ml/l);((none));(mg/m**3);((none));(mg/m**3);((none));(mg/m**3);(mg/m**3);(mg/m**3);((none));(mg/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none))
q64a004;TDC4;47.2705;-59.77933;247025;199.7;29-nov-01;19:41:05;38096;240;199.7;0.32;5.88;0.008;34.32;27.03;0.201;4.289;NaN;34.35;1;4.03;1;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;1;0.04;1;NaN;NaN;16.73;1;19.04;1;15.03;3;NaN;NaN;NaN;NaN;1.45;1;1.44;1;17.82;1;16.66;1;NaN;NaN;NaN;NaN
q64a004;TDC4;47.2705;-59.77933;247026;99.2;29-nov-01;19:41:05;43009;240;99.2;0.16;0.81;0.002;32.84;26.32;0.245;7.125;NaN;32.87;1;7.044;1;NaN;NaN;NaN;NaN;0.03;1;0.03;1;0;0;0.04;1;0.04;1;0;1;0.03;1;NaN;NaN;7.45;1;8.27;1;6.58;3;NaN;NaN;NaN;NaN;0.96;1;0.98;1;7.12;1;6.89;1;NaN;NaN;NaN;NaN
q64a004;TDC4;47.2705;-59.77933;247027;49.2;29-nov-01;19:41:05;46978;240;49.2;0.25;1.78;0.034;32.46;25.95;0.129;7.293;NaN;32.51;1;7.319;1;NaN;NaN;NaN;NaN;0.06;1;0.06;1;-0.02;-0.02;0.06;1;0.06;1;0.01;1;0.05;1;NaN;NaN;5.13;1;5.8;1;4.63;3;NaN;NaN;NaN;NaN;0.8;1;0.82;1;4.6;1;4.11;1;4.01;1;NaN;NaN
q64a004;TDC4;47.2705;-59.77933;247028;24.9;29-nov-01;19:41:05;50240;240;24.9;0.09;4.69;0.001;31.82;25.19;1.977;7.394;NaN;31.84;1;7.277;1;NaN;NaN;NaN;NaN;0.84;1;0.9;1;-0.36;-0.42;0.75;1;0.76;1;0.14;1;0.16;1;NaN;NaN;2.07;1;2.22;1;1.84;3;NaN;NaN;NaN;NaN;0.49;1;0.53;1;2.71;1;2.54;1;2.32;1;NaN;NaN
q64a004;TDC4;47.2705;-59.77933;247029;15.2;29-nov-01;19:41:05;53409;240;15.2;0.19;4.69;0;31.82;25.18;2.041;7.396;NaN;31.84;1;7.286;1;NaN;NaN;NaN;NaN;0.93;1;1.02;1;-0.43;-0.47;0.78;1;0.84;1;0.15;1;0.15;1;NaN;NaN;1.97;1;2.25;1;1.76;3;NaN;NaN;NaN;NaN;0.48;1;0.5;1;2.42;1;2.56;1;2.23;3;NaN;NaN
q64a004;TDC4;47.2705;-59.77933;247030;5.2;29-nov-01;19:41:05;57360;240;5.2;0.13;4.68;0.001;31.82;25.18;2.143;7.398;NaN;31.84;1;7.274;1;NaN;NaN;NaN;NaN;0.81;1;0.87;1;-0.36;-0.38;0.71;1;0.73;1;0.14;1;0.19;1;NaN;NaN;2.04;1;2.2;1;1.71;3;NaN;NaN;NaN;NaN;0.47;1;0.55;1;2.55;1;2.33;1;2.14;3;NaN;NaN
q64a004;TDC4;47.2705;-59.77933;247031;3.5;29-nov-01;19:41:05;59344;240;3.5;0.12;4.68;0;31.82;25.19;2.163;7.406;NaN;31.87;1;7.29;1;NaN;NaN;NaN;NaN;0.93;1;0.9;1;-0.4;-0.38;0.81;1;0.79;1;0.14;1;0.17;1;NaN;NaN;2.02;1;2.2;1;1.72;3;NaN;NaN;NaN;NaN;0.47;1;0.54;1;2.59;1;2.52;1;2.12;3;NaN;NaN
q64a005;TDC5;47.43267;-59.558;247032;472.2;29-nov-01;22:08:07;22566;240;472.2;0.3;5.02;0;34.85;27.55;0.202;4.396;NaN;34.88;1;4.323;1;4.309;1;4.325;1;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.01;1;0;1;NaN;NaN;18.46;1;20.56;1;20.67;1;NaN;NaN;NaN;NaN;1.56;1;1.52;1;26.21;1;25.92;1;26.54;1;NaN;NaN
q64a005;TDC5;47.43267;-59.558;247033;403.4;29-nov-01;22:08:07;28280;240;403.4;0.23;5.11;0.004;34.84;27.53;0.208;4.079;NaN;34.87;1;3.999;1;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;1;0.03;1;NaN;NaN;19.74;1;21.72;1;16.45;3;NaN;NaN;NaN;NaN;1.58;1;1.6;1;29.29;1;28.45;1;NaN;NaN;NaN;NaN
q64a005;TDC5;47.43267;-59.558;247034;299.5;29-nov-01;22:08:07;35348;240;299.5;0.28;5.74;0.002;34.73;27.37;0.198;3.706;NaN;34.76;1;3.618;1;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;1;0.03;1;NaN;NaN;20.19;1;21.75;1;17.19;3;NaN;NaN;NaN;NaN;1.58;1;1.57;1;23.57;1;22.88;1;NaN;NaN;NaN;NaN
