CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;labo;terrain;labo
Fichier;Station;Latitude;Longitude;Echantillon;Date;Heure;PRES;PSAL;TE90;DOXY;CHL_01;Si_01;PO4_01;NOx_01;PSAL_BS;OXY_03;OXY_XX;TEMP_RT;SSAL_BS
(nom);(nom/no);(degres);(degres);(no_unique);(jj-mmm-yyyy);(GMT);(dbar);(psu);(celsius);(ml/l);(mg/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(PSU);(ml/l);(ml/l);(celsius);(g/kg)
121;HL_03;43.88033;-62.88183;281830;29-oct-04;01:00:00;262.6;34.908;8.4;3.5;NaN;14.61;1.515;20.36;34.913;3.8375;3.5;8.4;34.908
121;HL_03;43.88033;-62.88183;281831;29-oct-04;01:02:00;200.52;34.872;9.155;2.5;NaN;21.09;1.732;21.25;NaN;NaN;2.5;9.155;34.872
121;HL_03;43.88033;-62.88183;281832;29-oct-04;01:05:00;100.41;33.414;4.661;5.6;0.03075;6.01;0.929;8.83;NaN;NaN;5.6;4.661;33.414
121;HL_03;43.88033;-62.88183;281833;29-oct-04;01:06:00;80.26;33.202;4.66;5.8;0.05694;4.86;0.828;6.65;NaN;NaN;5.8;4.66;33.202
121;HL_03;43.88033;-62.88183;281834;29-oct-04;01:07:00;59.7;32.595;3.482;6;0.16468;5.16;0.81;5.62;NaN;NaN;6;3.482;32.595
121;HL_03;43.88033;-62.88183;281835;29-oct-04;01:08:00;49.52;32.467;5.455;6;0.19271;4.04;0.736;4.48;NaN;NaN;6;5.455;32.467
121;HL_03;43.88033;-62.88183;281836;29-oct-04;01:10:00;41.03;31.632;11.365;5.6;0.39864;1.79;0.375;0.82;NaN;NaN;5.6;11.365;31.632
121;HL_03;43.88033;-62.88183;281837;29-oct-04;01:11:00;29.65;31.642;11.469;5.7;0.47945;1.73;0.316;0.4;NaN;NaN;5.7;11.469;31.642
121;HL_03;43.88033;-62.88183;281838;29-oct-04;01:12:00;19.55;31.642;11.477;5.7;0.47406;1.61;0.274;0.39;NaN;NaN;5.7;11.477;31.642
121;HL_03;43.88033;-62.88183;281839;29-oct-04;01:13:00;9.6;31.641;11.475;5.7;0.47406;1.48;0.305;0.4;NaN;NaN;5.7;11.475;31.641
121;HL_03;43.88033;-62.88183;281840;29-oct-04;01:14:00;3.15;31.638;11.478;5.7;0.46867;1.46;0.302;0.38;NaN;6.1665;5.7;11.478;31.638
124;HL_02;44.267;-63.316;281841;29-oct-04;04:47:00;147.37;33.399;4.392;4.7;0.01253;12.91;1.227;12.94;33.423;5.194;4.7;4.392;33.399
124;HL_02;44.267;-63.316;281842;29-oct-04;04:49:00;100.99;32.7;2.49;5.6;0.02676;8.86;1.055;9.33;NaN;NaN;5.6;2.49;32.7
124;HL_02;44.267;-63.316;281843;29-oct-04;04:50:00;79.95;32.292;2.978;5.9;0.04327;6.48;0.909;6.9;NaN;NaN;5.9;2.978;32.292
124;HL_02;44.267;-63.316;281844;29-oct-04;04:51:00;74.33;32.247;3.075;5.9;0.03758;6.92;0.927;7.16;NaN;NaN;5.9;3.075;32.247
124;HL_02;44.267;-63.316;281845;29-oct-04;04:52:00;60.73;31.782;5.727;5.8;0.06092;4.5;0.762;4.79;NaN;NaN;5.8;5.727;31.782
124;HL_02;44.267;-63.316;281846;29-oct-04;04:54:00;50.28;31.081;8.454;5.6;0.06149;4.11;0.671;2.74;NaN;NaN;5.6;8.454;31.081
124;HL_02;44.267;-63.316;281847;29-oct-04;04:55:00;40.28;30.71;11.813;5.6;0.32861;1.5;0.319;0.26;NaN;NaN;5.6;11.813;30.71
124;HL_02;44.267;-63.316;281848;29-oct-04;04:56:00;31.01;30.605;11.86;5.7;0.67338;1.21;0.266;0;NaN;NaN;5.7;11.86;30.605
124;HL_02;44.267;-63.316;281849;29-oct-04;04:58:00;20.59;30.598;11.87;5.7;0.70031;1.51;0.273;0;NaN;NaN;5.7;11.87;30.598
124;HL_02;44.267;-63.316;281850;29-oct-04;04:59:00;11.09;30.597;11.868;5.7;0.69493;1.11;0.284;0;NaN;NaN;5.7;11.868;30.597
124;HL_02;44.267;-63.316;281851;29-oct-04;05:00:00;5.14;30.597;11.858;5.7;0.72186;1.12;0.272;0;NaN;NaN;5.7;11.858;30.597
124;HL_02;44.267;-63.316;281852;29-oct-04;05:01:00;3.17;30.597;11.864;5.7;0.7057;1.07;0.273;0;NaN;6.0655;5.7;11.864;30.597
127;HL_01;44.39967;-63.447;281853;29-oct-04;07:20:00;78.12;31.847;5.671;5.7;0.04783;5.79;0.83;5.09;NaN;6.187;5.7;5.671;31.847
127;HL_01;44.39967;-63.447;281854;29-oct-04;07:22:00;60.68;30.84;10.56;5.5;0.11037;2.96;0.598;1.68;NaN;NaN;5.5;10.56;30.84
127;HL_01;44.39967;-63.447;281855;29-oct-04;07:23:00;50.41;30.601;11.83;5.6;0.25319;1.61;0.34;0.36;NaN;NaN;5.6;11.83;30.601
127;HL_01;44.39967;-63.447;281856;29-oct-04;07:24:00;40.22;30.546;12.018;5.6;0.50099;1.22;0.304;0.08;NaN;NaN;5.6;12.018;30.546
127;HL_01;44.39967;-63.447;281857;29-oct-04;07:25:00;30.67;30.528;12.049;5.6;0.56564;1.19;0.307;0.07;NaN;NaN;5.6;12.049;30.528
127;HL_01;44.39967;-63.447;281858;29-oct-04;07:27:00;20.49;30.528;12.047;5.6;0.57641;1.22;0.24;0.06;NaN;NaN;5.6;12.047;30.528
127;HL_01;44.39967;-63.447;281859;29-oct-04;07:28:00;10.46;30.529;12.042;5.6;0.59796;1.18;0.274;0.07;NaN;NaN;5.6;12.042;30.529
127;HL_01;44.39967;-63.447;281860;29-oct-04;07:29:00;3.74;30.528;12.064;5.6;0.5818;1.19;0.26;0.06;NaN;5.979;5.6;12.064;30.528
