CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;calc;calc
Fichier;Station;Latitude;Longitude;Echantillon;Date;Heure;PRES;PSAL;TE90;DOXY;CHL_01;Q_CHL;PSAL_BS;Q_PSAL;OXY_03;Q_OXY;NOx_01;Q_NOX;PO4_01;Q_PO4;Si_01;Q_Si;QCFF;N_P;N_Si
(nom);(nom/no);(degres);(degres);(no_unique);(jj-mmm-yyyy);(GMT);(dbar);(psu);(celsius);(ml/l);(mg/m**3);((none));(PSU);((none));(ml/l);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));((none));((none));((none))
22;BBL_04;42.43933;-65.51967;281552;20-oct-04;16:16:00;29.6;31.872;11.396;5.6;0.5387;1;NaN;9;NaN;9;1.68;1;0.376;1;2.24;1;0;4.47;0.75
22;BBL_04;42.43933;-65.51967;281551;20-oct-04;16:15:00;40.69;32.121;9.92;5.6;0.36632;1;NaN;9;NaN;9;3.68;1;0.542;1;3.62;1;0;6.79;1.02
22;BBL_04;42.43933;-65.51967;281550;20-oct-04;16:14:00;50.52;32.805;7.601;5.3;0.20322;1;NaN;9;NaN;9;7.55;1;0.78;1;5.6;1;0;9.68;1.35
22;BBL_04;42.43933;-65.51967;281549;20-oct-04;16:13:00;59.47;33.464;7.687;5;0.12964;1;NaN;9;NaN;9;10.35;1;0.896;1;6.79;1;0;11.55;1.52
22;BBL_04;42.43933;-65.51967;281548;20-oct-04;16:12:00;80.13;33.752;7.859;4.8;0.0946;1;NaN;9;NaN;9;11.72;1;0.991;1;7.42;1;0;11.83;1.58
22;BBL_04;42.43933;-65.51967;281547;20-oct-04;16:10:00;99.09;33.865;7.921;4.8;0.08409;1;33.862;1;5.136;1;12.09;1;1.003;1;7.57;1;0;12.05;1.60
25;BBL_05;42.1345;-65.509;281566;20-oct-04;18:50:00;2.76;31.656;13.591;5.5;0.43096;1;NaN;9;5.8805;1;0.04;1;0.192;1;0.96;1;0;0.21;0.04
25;BBL_05;42.1345;-65.509;281565;20-oct-04;18:49:00;9.95;31.66;13.582;5.5;0.47406;1;NaN;9;NaN;9;0.05;1;0.203;1;1;1;0;0.25;0.05
25;BBL_05;42.1345;-65.509;281564;20-oct-04;18:48:00;20.3;31.677;13.411;5.5;0.49561;1;NaN;9;NaN;9;0.1;1;0.226;1;1.03;1;0;0.44;0.10
25;BBL_05;42.1345;-65.509;281563;20-oct-04;18:47:00;30.34;32.16;7.196;6.2;0.36093;1;NaN;9;NaN;9;4.2;1;0.674;1;3.71;1;0;6.23;1.13
