CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PRES;OXYM_01;Si_01;PO4_01;NOx_01;CHL_03;CHL_XX
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(dbar);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mg/m**3);(mg/m**3)
18HU00001_020;STN27;47.5467;-52.5867;222677;51;11-nov-00;06:39:00;51.31;357.7234;2.53;0.63;1.34;0.21;0.19
18HU00001_020;STN27;47.5467;-52.5867;222678;40;11-nov-00;06:39:00;40.11;354.1506;2.34;0.57;1.09;0.3;0.26
18HU00001_020;STN27;47.5467;-52.5867;222679;29;11-nov-00;06:39:00;29.73;350.5779;2.28;0.53;0.86;0.46;0.41
18HU00001_020;STN27;47.5467;-52.5867;222680;20;11-nov-00;06:39:00;19.78;349.6847;2.23;0.52;0.78;0.6;0.55
18HU00001_020;STN27;47.5467;-52.5867;222681;10;11-nov-00;06:39:00;9.91;348.3449;2.19;0.53;0.76;0.89;0.74
18HU00001_020;STN27;47.5467;-52.5867;222682;5;11-nov-00;06:39:00;4.89;347.0051;2.11;0.47;0.7;0.91;0.75
18HU00001_025;SEGB-08;45.095;-51.7;221552;66;02-nov-00;12:21:00;66.61;296.9863;10.2;1.12;6.96;0.23;0.2
18HU00001_025;SEGB-08;45.095;-51.7;221553;51;02-nov-00;12:21:00;51.41;301.0057;9.57;1.14;6.78;0.23;0.2
18HU00001_025;SEGB-08;45.095;-51.7;221554;41;02-nov-00;12:21:00;41.46;296.9863;7.93;1.1;6.11;0.77;0.64
18HU00001_025;SEGB-08;45.095;-51.7;221555;30;02-nov-00;12:21:00;30.54;301.8989;0.59;0.18;0;0.66;0.53
18HU00001_025;SEGB-08;45.095;-51.7;221556;20;02-nov-00;12:21:00;20.38;299.6659;0.38;0.22;0;0.65;0.54
18HU00001_025;SEGB-08;45.095;-51.7;221557;11;02-nov-00;12:21:00;10.7;298.7727;0.47;0.2;0;0.68;0.55
18HU00001_025;SEGB-08;45.095;-51.7;221558;6;02-nov-00;12:21:00;5.65;298.7727;0.69;0.2;0;0.66;0.54
18HU00001_036;SEGB-09;44.725;-51.395;221559;67;02-nov-00;14:50:00;67.4;280.9089;10.39;1.18;7.61;0.23;0.19
18HU00001_036;SEGB-09;44.725;-51.395;221560;51;02-nov-00;14:50:00;51.25;273.7633;9.83;1.21;7.6;0.2;0.16
