CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PRES;OXYM_01;Si_01;PO4_01;NOx_01;CHL_03;CHL_XX
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(dbar);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mg/m**3);(mg/m**3)
18TL00002_036;SEGB-07;45.4583;-52;197942;40;23-apr-00;18:32:00;40.18;362.636;0.13;0.87;2.17;0.63;0.62
18TL00002_036;SEGB-07;45.4583;-52;197943;30;23-apr-00;18:32:00;30.43;362.636;0.04;0.9;2.14;0.77;0.66
18TL00002_036;SEGB-07;45.4583;-52;197944;20;23-apr-00;18:32:00;20.15;363.0826;0.03;0.82;2.12;0.69;0.66
18TL00002_036;SEGB-07;45.4583;-52;197945;11;23-apr-00;18:32:00;11.4;363.0826;0.13;0.85;2.14;0.71;0.72
18TL00002_036;SEGB-07;45.4583;-52;197946;7;23-apr-00;18:32:00;6.61;363.0826;0.05;0.84;2.27;0.68;0.67
18TL00002_047;SEGB-08;45.0967;-51.7033;197947;66;23-apr-00;21:43:00;66.93;323.7821;2.41;1.51;4.77;2.77;2.24
18TL00002_047;SEGB-08;45.0967;-51.7033;197948;49;23-apr-00;21:43:00;49.84;355.937;0.2;0.77;0.88;1.17;1.03
18TL00002_047;SEGB-08;45.0967;-51.7033;197949;40;23-apr-00;21:43:00;40.29;359.9564;0.19;0.75;0.82;1.09;0.95
18TL00002_047;SEGB-08;45.0967;-51.7033;197950;30;23-apr-00;21:43:00;30.04;361.2962;0.16;0.69;0.86;0.88;0.78
18TL00002_047;SEGB-08;45.0967;-51.7033;197951;20;23-apr-00;21:43:00;20.31;362.1893;0.19;0.71;0.87;0.91;0.75
18TL00002_047;SEGB-08;45.0967;-51.7033;197952;11;23-apr-00;21:43:00;11.59;361.7428;0.26;1.06;0.66;0.93;0.82
18TL00002_047;SEGB-08;45.0967;-51.7033;197953;6;23-apr-00;21:43:00;5.93;362.1893;0.27;1.01;0.66;0.96;0.8
18TL00002_058;SEGB-09;44.7283;-51.3983;197954;67;24-apr-00;00:59:00;67.5;333.6072;2.31;1.57;1.56;0.49;0.38
