CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PRES;PSAL;TEMP_XX;OXYM_01;Si_01;PO4_01;NOx_01
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(dbar);(psu);(celsius);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3)
18HU95003_009;CAST#2;45.48733;-59.516;154484;88.71;16-may-95;11:58:00;89.457;32.3116;0.0507;355.53826;2.185;0.72246;3.13703
18HU95003_009;CAST#2;45.48733;-59.516;154485;45.83;16-may-95;11:58:00;46.215;31.6293;-0.2312;376.52846;2.13405;0.62303;1.68949
18HU95003_009;CAST#2;45.48733;-59.516;154486;10.72;16-may-95;11:58:00;10.81;30.5428;1.0043;410.15744;1.497;0.40002;0
18HU95003_010;CAST#1;45.657;-59.70333;154487;125.79;16-may-95;13:28:00;126.871;32.7691;0.5911;308.28798;8.54555;0.99752;8.38106
18HU95003_010;CAST#1;45.657;-59.70333;154488;80.66;16-may-95;13:28:00;81.337;32.2544;-0.1273;364.15764;3.50702;0.6825;3.54746
18HU95003_010;CAST#1;45.657;-59.70333;154489;35.98;16-may-95;13:28:00;36.279;31.5478;1.194;392.82936;0.83103;0.39152;0
18HU95003_010;CAST#1;45.657;-59.70333;154490;10.37;16-may-95;13:28:00;10.453;31.0671;2.3518;393.49926;0.85303;0.34248;0
18HU95003_011;CAST#1;45.82283;-59.70367;154491;75.66;16-may-95;14:45:00;76.297;31.755;-0.1622;372.55372;2.60597;0.66802;2.17652
18HU95003_011;CAST#1;45.82283;-59.70367;154492;41.3;16-may-95;14:45:00;41.643;31.3477;0.2412;389.70316;1.64555;0.51547;0.64705
18HU95003_011;CAST#1;45.82283;-59.70367;154493;10.52;16-may-95;14:45:00;10.609;30.5923;0.7957;426.41368;2.02;0.36455;0
18HU95003_014;CAST#1;40.33467;-51.17;153070;4302.56;23-apr-95;15:50:00;4380.542;34.8802;2.2194;277.60656;31.27848;1.32298;19.03449
18HU95003_014;CAST#1;40.33467;-51.17;153071;4205.78;23-apr-95;15:50:00;4281.051;34.8802;2.208;274.97162;30.84556;1.27948;18.63655
18HU95003_014;CAST#1;40.33467;-51.17;153072;4097.91;23-apr-95;15:50:00;4170.198;34.8856;2.2393;280.33082;26.34;1.21547;18.3025
18HU95003_014;CAST#1;40.33467;-51.17;153073;3914.86;23-apr-95;15:50:00;3982.227;34.8903;2.2792;278.58908;24.68;1.20747;18.26204
18HU95003_014;CAST#1;40.33467;-51.17;153074;3741.44;23-apr-95;15:50:00;3804.288;34.8935;2.3193;279.43762;24.52351;1.27098;18.28547
18HU95003_014;CAST#1;40.33467;-51.17;153075;3532.24;23-apr-95;15:50:00;3589.815;34.899;2.3955;279.16966;23.95803;1.21097;18.29006
18HU95003_014;CAST#1;40.33467;-51.17;153076;3333.67;23-apr-95;15:50:00;3386.435;34.9057;2.4998;281.22402;22.62551;1.20554;18.26748
18HU95003_014;CAST#1;40.33467;-51.17;153077;3135.95;23-apr-95;15:50:00;3184.109;34.9147;2.6549;277.82986;21.19154;1.20995;18.28156
18HU95003_014;CAST#1;40.33467;-51.17;153078;2908.77;23-apr-95;15:50:00;2951.863;34.9228;2.8385;277.24928;19.43346;1.21499;18.62197
