CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;terrain;labo;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PRES;PSAL_BS;OXYM_01;TEMP_XX;Si_01;PO4_01;NOx_01;CHL_XX
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(dbar);(PSU);(mmol/m**3);(celsius);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mg/m**3)
18HU02070_091;SEGB-17;42.5883;-49.6833;255672;30;12-nov-02;06:05:00;30.28;33.743;253.0859;12.069;1.31;0.23;0.83;0.2
18HU02070_091;SEGB-17;42.5883;-49.6833;255673;20;12-nov-02;06:05:00;19.87;33.465;261.6606;11.305;1.41;0.23;0.31;0.51
18HU02070_091;SEGB-17;42.5883;-49.6833;255674;10;12-nov-02;06:05:00;10.13;33.201;267.9576;10.542;1.36;0.21;0.48;0.54
18HU02070_091;SEGB-17;42.5883;-49.6833;255675;6;12-nov-02;06:05:00;5.77;33.115;269.9673;10.272;1.34;0.38;0.61;0.58
18HU02070_102;SEGB-18;42.395;-49.5183;255676;2934;12-nov-02;13:00:00;2937.48;34.908;268.1362;2.54;NaN;NaN;NaN;NaN
18HU02070_102;SEGB-18;42.395;-49.5183;255677;11;12-nov-02;13:00:00;10.85;32.797;282.4273;8.697;NaN;NaN;NaN;0.75
18HU02070_113;SEGB-01;46.5833;-52.9333;255590;47;10-nov-02;17:40:00;47.14;31.891;309.8483;3.448;3.06;0.63;1.15;0.26
18HU02070_113;SEGB-01;46.5833;-52.9333;255591;30;10-nov-02;17:40:00;30.62;31.666;307.2134;4.275;2.35;0.82;1.46;0.34
18HU02070_113;SEGB-01;46.5833;-52.9333;255592;20;10-nov-02;17:40:00;20.6;31.537;307.0348;4.657;2;0.55;0.34;0.37
18HU02070_113;SEGB-01;46.5833;-52.9333;255593;11;10-nov-02;17:40:00;10.73;31.535;307.0794;4.673;2.06;0.49;1.15;0.38
18HU02070_113;SEGB-01;46.5833;-52.9333;255594;6;10-nov-02;17:40:00;5.76;31.536;307.1241;4.669;2;0.48;0.62;0.37
18HU02070_225;SEGB-02;46.5;-52.85;255595;173;10-nov-02;18:46:00;174;33.042;316.2793;-1.25;NaN;NaN;NaN;NaN
18HU02070_264;SEGB-03;46.35;-52.7333;255596;165;10-nov-02;20:05:00;166.59;33.257;298.4154;-1.086;15.14;1.66;11.07;NaN
18HU02070_264;SEGB-03;46.35;-52.7333;255597;150;10-nov-02;20:05:00;151.33;33.258;298.1028;-1.086;15.76;1.78;11.25;NaN
18HU02070_264;SEGB-03;46.35;-52.7333;255598;97;10-nov-02;20:05:00;98.13;33.175;303.1494;-1.186;14.71;1.8;11.05;0
18HU02070_264;SEGB-03;46.35;-52.7333;255599;75;10-nov-02;20:05:00;76.11;33.053;305.0251;-1.04;12.8;1.68;9.56;0
18HU02070_264;SEGB-03;46.35;-52.7333;255600;49;10-nov-02;20:05:00;49.22;32.44;313.9123;2.329;5.63;0.53;2.88;0.1
18HU02070_264;SEGB-03;46.35;-52.7333;255601;40;10-nov-02;20:05:00;40.42;32.218;313.9123;2.792;4.75;0.67;2.15;0.15
18HU02070_264;SEGB-03;46.35;-52.7333;255602;30;10-nov-02;20:05:00;30.46;31.962;313.1085;3.24;2.92;0.76;1.62;0.23
18HU02070_264;SEGB-03;46.35;-52.7333;255603;20;10-nov-02;20:05:00;20.52;31.907;312.3046;3.429;2.93;0.63;1.34;0.27
18HU02070_264;SEGB-03;46.35;-52.7333;255604;11;10-nov-02;20:05:00;10.59;31.886;312.4832;3.505;2.57;0.52;1.21;0.32
