CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;CTD;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TE90;DOXY;OXYM_01;Si_01;NO2_01;PO4_01;NOx_01;Si_01;PO4_01;NOx_01;CHL_01;CHL_03;FLOR;CHL_XX
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mg/m**3);(mg/m**3);(mg/m**3);(mg/m**3)
18HU01064_592;51;47.43267;-59.558;247039;15.17;29-nov-01;22:08:00;31.78;5.45;324.85684;318.47046;1.82667;0.14;0.45;1.52667;NaN;NaN;NaN;0.7;0.735;1.869;NaN
18HU01064_592;51;47.43267;-59.558;247040;5.26;29-nov-01;22:08:00;31.78;5.45;324.6782;318.96172;1.87333;0.135;0.46;1.55333;NaN;NaN;NaN;0.76;0.63;1.748;NaN
18HU01064_592;51;47.43267;-59.558;247041;3.37;29-nov-01;22:08:00;31.77;5.45;324.2316;319.22968;1.8;0.145;0.49;1.94;NaN;NaN;NaN;0.87;0.945;2.17;NaN
18HU01064_593;61;47.5855;-59.34433;247042;254.1;30-nov-01;00:45:00;34.67;6;176.13904;169.75266;20.32667;0.02;1.49;19.23667;NaN;NaN;NaN;NaN;NaN;1.932;NaN
18HU01064_593;61;47.5855;-59.34433;247043;198.63;30-nov-01;00:45:00;33.65;3.38;258.44742;243.8436;12.32;0.025;1.19;12.42667;NaN;NaN;NaN;NaN;NaN;0.273;NaN
18HU01064_593;61;47.5855;-59.34433;247044;100.13;30-nov-01;00:45:00;32.41;2.44;323.51704;322.8918;4.49667;0.2;0.795;4.68;NaN;NaN;NaN;0.075;0.08;0.338;NaN
18HU01064_593;61;47.5855;-59.34433;247045;50.17;30-nov-01;00:45:00;31.94;5.22;317.57726;311.23554;3.05333;0.2;0.56;2.5;NaN;NaN;NaN;0.37;0.37;0.86;NaN
18HU01064_593;61;47.5855;-59.34433;247046;24.79;30-nov-01;00:45:00;31.73;5.49;320.48016;313.2899;2.71667;0.17;0.55;2.0425;NaN;NaN;NaN;0.565;0.53;0.707;NaN
18HU01064_593;61;47.5855;-59.34433;247047;15.07;30-nov-01;00:45:00;31.68;5.37;321.23938;314.6297;2.71667;0.17;0.535;2.03;NaN;NaN;NaN;0.495;0.475;1.247;NaN
18HU01064_593;61;47.5855;-59.34433;247048;5.35;30-nov-01;00:45:00;31.63;5.48;322.53452;315.43358;2.38333;0.17;0.51;1.7725;NaN;NaN;NaN;0.64;0.58;1.544;NaN
18HU01064_593;61;47.5855;-59.34433;247049;3.47;30-nov-01;00:45:00;31.61;5.41;321.7753;315.79086;2.53667;0.165;0.47;1.73333;NaN;NaN;NaN;0.705;0.665;1.618;NaN
18HU01064_594;681;47.8295;-64.2535;247312;36.09;06-dec-01;10:32:00;30.49;3.63;315.21028;314.97209;6.515;0.21;0.805;4.46333;NaN;NaN;NaN;0.31;0.205;0.716;NaN
18HU01064_594;681;47.8295;-64.2535;247313;25.58;06-dec-01;10:32:00;30.14;3.27;331.64516;332.31506;4.55;0.185;0.69;3.78667;NaN;NaN;NaN;0.81;0.65;1.346;NaN
18HU01064_594;681;47.8295;-64.2535;247314;15.27;06-dec-01;10:32:00;30.03;3.05;336.78106;NaN;3.8225;0.18;0.69;3.8825;NaN;NaN;NaN;1.41;1.075;2.004;NaN
18HU01064_594;681;47.8295;-64.2535;247315;5.95;06-dec-01;10:32:00;30.05;3.06;336.46844;337.36164;3.98;0.185;0.685;3.9025;NaN;NaN;NaN;1.47;1.1;1.908;NaN
18HU01064_594;681;47.8295;-64.2535;247316;3.07;06-dec-01;10:32:00;30.05;3.05;336.87038;337.45096;3.9425;0.185;0.675;3.85;NaN;NaN;NaN;1.395;1.105;1.704;NaN
18HU01064_595;691;47.7395;-63.99817;247317;72.28;06-dec-01;12:05:00;31.91;1.66;248.7562;243.78405;19.55;0.15;1.45;12.16;NaN;NaN;NaN;0.265;0.21;0.508;NaN
18HU01064_595;691;47.7395;-63.99817;247318;50.17;06-dec-01;12:05:00;30.87;3.11;325.5714;321.28404;4.655;0.175;0.725;4.7325;NaN;NaN;NaN;0.375;0.255;0.686;NaN
18HU01064_595;691;47.7395;-63.99817;247319;25.38;06-dec-01;12:05:00;30.27;3.23;334.14612;334.90534;4.3075;0.2;0.705;4.0225;NaN;NaN;NaN;0.945;0.73;1.407;NaN
18HU01064_595;691;47.7395;-63.99817;247320;14.97;06-dec-01;12:05:00;29.96;3.5;335.03932;333.78884;2.9;0.165;0.575;2.36;NaN;NaN;NaN;0.96;0.72;1.208;NaN
18HU01064_595;691;47.7395;-63.99817;247321;5.55;06-dec-01;12:05:00;29.91;3.46;335.21796;334.7267;2.7825;0.16;0.56;2.534;NaN;NaN;NaN;0.96;0.7;1.308;NaN
18HU01064_595;691;47.7395;-63.99817;247322;2.97;06-dec-01;12:05:00;29.9;3.46;335.21796;335.6199;2.6475;0.16;0.55;2.44;NaN;NaN;NaN;0.885;0.685;1.334;NaN
18HU01064_596;701;47.66;-63.74883;247323;57.31;06-dec-01;13:30:00;31.7;1.92;278.32112;274.71855;13.115;0.03;1.115;9.665;NaN;NaN;NaN;0.17;0.1;0.398;NaN
