CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;terrain;labo;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PRES;PSAL_BS;OXYM_01;TEMP_XX;Si_01;PO4_01;NOx_01;CHL_03
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(dbar);(PSU);(mmol/m**3);(celsius);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mg/m**3)
18TL05601_182;FC-10;47;-49.1167;259706;50;04-may-05;18:58:00;50.16;32.78;353.7;0.49;1.3;0.45;0.79;7.32
18TL05601_182;FC-10;47;-49.1167;259707;40;04-may-05;18:58:00;40.59;32.76;358.6;0.6;1.01;0.32;0.49;4.93
18TL05601_182;FC-10;47;-49.1167;259708;30;04-may-05;18:58:00;30.61;32.73;370.2;1.46;1.42;0.35;1.25;1.65
18TL05601_182;FC-10;47;-49.1167;259709;20;04-may-05;18:58:00;20.42;32.73;368.4;1.73;1.27;0.36;1.11;1.71
18TL05601_182;FC-10;47;-49.1167;259710;10;04-may-05;18:58:00;10.19;32.73;368.9;1.74;0.81;0.4;0.44;1.58
18TL05601_182;FC-10;47;-49.1167;259711;5;04-may-05;18:58:00;4.84;32.52;366.2;1.84;1.09;0.22;0.42;1.31
18TL05601_193;FC-09;47;-50;259712;74;04-may-05;23:27:00;74.94;32.85;328.7;0.58;3.68;1.03;4.31;5.68
18TL05601_193;FC-09;47;-50;259713;50;04-may-05;23:27:00;50.51;32.8;364;1.37;0.71;0.43;0.11;4.46
18TL05601_193;FC-09;47;-50;259714;40;04-may-05;23:27:00;40.52;32.8;372;1.43;0.85;0.29;1.44;2.61
18TL05601_193;FC-09;47;-50;259715;31;04-may-05;23:27:00;30.95;32.8;377.8;1.46;0.71;0.24;0.09;1.32
18TL05601_193;FC-09;47;-50;259716;21;04-may-05;23:27:00;21.28;32.69;364.9;2.53;0.74;0.31;0;1.66
18TL05601_193;FC-09;47;-50;259717;11;04-may-05;23:27:00;10.88;32.69;365.8;2.55;0.71;0.34;0.59;1.4
18TL05601_193;FC-09;47;-50;259718;5;04-may-05;23:27:00;4.62;32.69;366.2;2.59;0.91;0.47;0.15;1.31
18TL05601_204;FC-08;47;-50.6667;259719;172;05-may-05;02:24:00;173.21;33.09;286.3;0.33;NaN;NaN;NaN;NaN
18TL05601_215;FC-07;47;-51;259720;101;05-may-05;04:23:00;101.72;33.04;292.5;0.15;11;1.21;8.23;1.37
18TL05601_215;FC-07;47;-51;259721;75;05-may-05;04:23:00;75.82;32.83;330;0.54;4.02;0.62;5.41;1.95
18TL05601_215;FC-07;47;-51;259722;50;05-may-05;04:23:00;50.65;32.75;351.9;1.05;1.55;0.5;2.44;3.75
18TL05601_215;FC-07;47;-51;259723;40;05-may-05;04:23:00;39.88;32.73;355.5;1.05;0.72;0.56;0.56;3.87
