CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;CTD
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TE90;DOXY;PHPH;OXYM_01;Si_01;NO2_01;NOx_01;PO4_01;CHL_03;FLOR
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);((none));(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mg/m**3);(mg/m**3)
18TL13019_1294;591;47.83;-64.2445;349006;1.78;12-jun-13;08:53:00;27.24;8.21;336.64708;8.561;NaN;5.03;0.065;2.875;0.285;2.545;9.478
18TL13019_1295;621;47.93267;-65.252;349009;67.32;13-jun-13;06:13:00;31.29;-0.41;277.51724;8.576;280.73276;20.695;0.205;11.275;1.475;NaN;0.759
18TL13019_1295;621;47.93267;-65.252;349010;50.07;13-jun-13;06:13:00;30.1;1.83;346.96354;8.721;NaN;6.145;0.125;5.495;0.86;0.22;0.757
18TL13019_1295;621;47.93267;-65.252;349011;2.88;13-jun-13;06:13:00;27.03;8.46;332.80632;8.525;331.19856;4.615;0.055;2.425;0.245;2.01;6.936
18TL13019_1296;701;47.16783;-64.2525;349015;38.28;14-jun-13;07:32:00;29.8;4.99;289.75408;8.606;289.06185;7.06;0.055;1.55;0.58;NaN;1.116
18TL13019_1296;701;47.16783;-64.2525;349016;25.09;14-jun-13;07:32:00;29.29;5.27;304.40256;8.597;NaN;6.295;0.08;2.83;0.59;0.24;0.958
18TL13019_1296;701;47.16783;-64.2525;349017;2.38;14-jun-13;07:32:00;28.12;9.81;351.2509;8.6;350.60333;0.275;0.015;0.06;0.08;1.97;12.715
18TL13019_1297;711;47.50667;-64.25033;349018;54.93;14-jun-13;10:12:00;30.83;0.27;312.75398;8.599;318.2025;9.855;0.13;8.09;1.21;NaN;0.996
18TL13019_1297;711;47.50667;-64.25033;349019;24.89;14-jun-13;10:12:00;29.8;5.75;329.32284;8.647;NaN;2.805;0.04;1.82;0.42;3.16;3.434
18TL13019_1297;711;47.50667;-64.25033;349020;0.89;14-jun-13;10:12:00;28.83;10.7;321.68598;8.501;320.85977;2.52;0.035;0.385;0.175;3.165;7.529
18TL13019_1298;731;47.1625;-63.74733;349021;53.05;14-jun-13;15:24:00;30.82;0.45;331.24322;8.68;334.34709;7.185;0.115;6.975;1.07;NaN;0.78
18TL13019_1298;731;47.1625;-63.74733;349022;24.99;14-jun-13;15:24:00;30;4.67;324.18694;8.66;NaN;4.995;0.055;2.57;0.58;0.33;0.901
18TL13019_1298;731;47.1625;-63.74733;349023;1.29;14-jun-13;15:24:00;28.17;9.81;358.66446;8.636;358.37417;0.205;0;0.055;0.065;1.33;4.978
18TL13019_1299;761;46.83617;-63.25267;349024;45.02;14-jun-13;23:34:00;30.8;0.53;327.62576;8.709;329.41216;5.775;0.08;4.335;0.99;NaN;0.729
18TL13019_1299;761;46.83617;-63.25267;349025;24.59;14-jun-13;23:34:00;30.44;4.62;347.94606;8.689;NaN;2.7;0.05;2.515;0.58;0.595;1.774
18TL13019_1299;761;46.83617;-63.25267;349026;1.79;14-jun-13;23:34:00;30.29;8.72;333.20826;8.539;333.63253;2.28;0.04;1.235;0.385;1.4;5.13
18TL13019_1300;791;47.1625;-62.75317;349027;58.2;15-jun-13;08:10:00;31.72;0.11;336.2898;8.714;341.40337;11.515;0.2;8.09;1.04;NaN;0.663
18TL13019_1300;791;47.1625;-62.75317;349028;24.69;15-jun-13;08:10:00;30.95;3.24;348.52664;8.705;NaN;3.985;0.06;3.33;0.825;0.095;0.471
18TL13019_1300;791;47.1625;-62.75317;349029;2.28;15-jun-13;08:10:00;30.32;9.07;329.85876;8.528;331.26555;3.73;0.045;1.035;0.38;1.705;6.55
18TL13019_1301;831;46.83017;-62.25817;349030;59.1;15-jun-13;18:03:00;31.6;0.01;333.69952;8.742;332.35972;11.46;0.19;8.45;1.095;NaN;0.654
18TL13019_1301;831;46.83017;-62.25817;349031;24.79;15-jun-13;18:03:00;31.27;2.52;353.9305;8.759;NaN;2.145;0.04;2.35;0.67;0.29;1.124
18TL13019_1301;831;46.83017;-62.25817;349032;2.88;15-jun-13;18:03:00;30.73;9.23;335.6199;8.563;332.09176;1.18;0;0.075;0.32;0.95;0.777
18TL13019_1302;851;46.49417;-61.74517;349033;44.13;15-jun-13;23:25:00;30.95;1.23;336.87038;8.782;337.45096;3.28;0.05;2.04;0.81;NaN;0.676
18TL13019_1302;851;46.49417;-61.74517;349034;24.3;15-jun-13;23:25:00;30.86;1.89;338.38882;8.747;NaN;2.905;0.05;1.975;0.75;0.46;1.665
18TL13019_1302;851;46.49417;-61.74517;349035;1.59;15-jun-13;23:25:00;30.12;10.12;318.78308;8.555;316.10348;1.21;0.005;0.07;0.26;0.69;2.874
18TL13019_1303;871;45.83517;-62.2535;349036;29.36;16-jun-13;06:15:00;30.39;6.99;305.60838;8.592;303.42004;3.325;0.02;0.375;0.46;0.935;3.095
18TL13019_1303;871;45.83517;-62.2535;349037;1.69;16-jun-13;06:15:00;29.64;9.91;308.91322;8.503;305.13945;1.635;0.01;0.05;0.315;0.535;2.075
18TL13019_1304;881;45.83433;-61.747;349038;26.78;16-jun-13;08:59:00;29.96;4.28;333.43156;8.658;327.08984;2.48;0.015;0.15;0.49;0.665;1.141
18TL13019_1304;881;45.83433;-61.747;349039;1.59;16-jun-13;08:59:00;29.13;11.36;301.6783;8.465;298.82006;1.38;0;0.03;0.285;0.425;1.381
18TL13019_1305;931;47.1685;-61.25583;349040;44.42;16-jun-13;23:24:00;31.88;0.46;304.98314;8.631;303.59868;10.845;0.115;7.2;1.11;NaN;0.848
18TL13019_1305;931;47.1685;-61.25583;349041;24.89;16-jun-13;23:24:00;31.6;1.59;322.75782;8.614;NaN;4.45;0.055;2.51;0.815;0.435;2.236
18TL13019_1305;931;47.1685;-61.25583;349042;1.88;16-jun-13;23:24:00;31.15;8.76;321.81996;8.507;319.11803;0.365;0;0.045;0.335;0.585;1.312
