CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;CTD
18TL05035_759;271;47.49933;-63.2505;276592;5.45;16-jun-05;19:32:00;29.59;8.55;332.9403;NaN;4.965;0.035;0.205;0.165;NaN;NaN;NaN;NaN;1.48;4.636
18TL05035_759;271;47.49933;-63.2505;276593;1.29;16-jun-05;19:32:00;29.63;8.4;333.8335;334.95;4.7;0.03;0.225;0.15;NaN;NaN;NaN;NaN;1.825;3.775
18TL05035_760;281;47.66017;-63.7495;276594;56.42;16-jun-05;22:09:00;31.14;-0.14;303.37538;314.6297;10.12;0.105;0.965;5.455;NaN;NaN;NaN;NaN;0.12;0.877
18TL05035_760;281;47.66017;-63.7495;276595;50.17;16-jun-05;22:09:00;30.96;0.4;333.92282;NaN;5.93;0.095;0.795;4.28;NaN;NaN;NaN;NaN;0.09;0.909
18TL05035_760;281;47.66017;-63.7495;276596;25.29;16-jun-05;22:09:00;30.2;1.82;338.61212;NaN;4.025;0.13;0.565;2.16;NaN;NaN;NaN;NaN;0.25;1.61
18TL05035_760;281;47.66017;-63.7495;276597;15.07;16-jun-05;22:09:00;29.74;3.03;340.39852;NaN;4.995;0.13;0.465;3.21;NaN;NaN;NaN;NaN;0.945;3.398
18TL05035_760;281;47.66017;-63.7495;276598;5.65;16-jun-05;22:09:00;29;7.49;340.71114;NaN;1.26;0.025;0.09;0.18;NaN;NaN;NaN;NaN;1;7.854
18TL05035_760;281;47.66017;-63.7495;276599;1.78;16-jun-05;22:09:00;28.86;8.69;338.5228;340.0859;1.18;0.06;0.095;0.21;NaN;NaN;NaN;NaN;1.425;7.68
18TL05035_761;291;47.73817;-63.99467;276600;73.57;16-jun-05;23:30:00;31.95;-0.02;257.37558;270.8629;17.03;0.1;1.275;9.445;NaN;NaN;NaN;NaN;0.125;0.817
18TL05035_761;291;47.73817;-63.99467;276601;50.17;16-jun-05;23:30:00;31.05;-0.6;291.36184;NaN;11.89;0.08;1.185;6.94;NaN;NaN;NaN;NaN;0.135;0.829
18TL05035_761;291;47.73817;-63.99467;276602;25.38;16-jun-05;23:30:00;30.26;1.72;337.89756;NaN;5.015;0.13;0.565;3.06;NaN;NaN;NaN;NaN;1.085;2.661
18TL05035_761;291;47.73817;-63.99467;276603;15.27;16-jun-05;23:30:00;29.59;3.63;346.91888;NaN;5.11;0.115;0.445;2.9;NaN;NaN;NaN;NaN;0.505;3.72
18TL05035_761;291;47.73817;-63.99467;276604;5.45;16-jun-05;23:30:00;28.34;10.17;324.4549;NaN;1.55;0.085;0.075;0.25;NaN;NaN;NaN;NaN;0.695;8.932
18TL05035_761;291;47.73817;-63.99467;276605;1.49;16-jun-05;23:30:00;28.34;10.16;324.6782;317.9792;0.84;0.015;0.045;0.045;NaN;NaN;NaN;NaN;0.41;9.004
18TL05035_762;301;47.82383;-64.25233;276606;33.61;17-jun-05;01:41:00;29.63;2.77;327.26848;332.2704;8.7;0.14;0.615;4.59;NaN;NaN;NaN;NaN;0.23;1.319
18TL05035_762;301;47.82383;-64.25233;276607;25.28;17-jun-05;01:41:00;28.98;6.12;326.10732;NaN;7.05;0.105;0.4;2.915;NaN;NaN;NaN;NaN;0.5;2.644
18TL05035_762;301;47.82383;-64.25233;276608;15.27;17-jun-05;01:41:00;27.96;7.77;324.85684;NaN;9.015;0.105;0.28;2.465;NaN;NaN;NaN;NaN;0.54;5.044
18TL05035_762;301;47.82383;-64.25233;276609;5.55;17-jun-05;01:41:00;27.16;9.62;338.83542;NaN;1.835;0.025;0.08;0.16;NaN;NaN;NaN;NaN;1.185;11.382
18TL05035_762;301;47.82383;-64.25233;276610;1.19;17-jun-05;01:41:00;27.13;9.64;339.28202;339.1927;1.425;0.04;0.05;0.195;NaN;NaN;NaN;NaN;1.215;11.333
18TL05035_763;311;47.1695;-64.7525;276611;20.33;17-jun-05;07:24:00;28.76;4.94;331.10924;334.0568;NaN;NaN;NaN;NaN;0;0.155;2.16;0.33333;1.86;9.018
18TL05035_763;311;47.1695;-64.7525;276612;15.77;17-jun-05;07:24:00;28.23;5.37;338.43348;NaN;NaN;NaN;NaN;NaN;0;0.13;0.97667;0.08667;1.445;10.676
18TL05035_763;311;47.1695;-64.7525;276613;5.85;17-jun-05;07:24:00;27.52;11.15;304.93848;NaN;NaN;NaN;NaN;NaN;0;0.075;0.24667;0.02333;0.65;2.969
18TL05035_763;311;47.1695;-64.7525;276614;1.59;17-jun-05;07:24:00;27.52;11.15;305.38508;304.1346;NaN;NaN;NaN;NaN;0;0.055;0.19667;0.01667;0.45;2.957
18TL05035_764;341;46.83233;-64.36883;276615;18.84;17-jun-05;11:20:00;28.22;6.59;304.22392;303.688;NaN;NaN;NaN;NaN;0;0.14;1.26667;0.23667;2.93;6.653
18TL05035_764;341;46.83233;-64.36883;276616;15.47;17-jun-05;11:20:00;27.99;7.58;309.22584;NaN;NaN;NaN;NaN;NaN;0;0.11;0.87333;0.15333;1.49;6.78
18TL05035_764;341;46.83233;-64.36883;276617;5.65;17-jun-05;11:20:00;27.12;11.21;301.09772;NaN;NaN;NaN;NaN;NaN;0;0.13;0.29667;0.02333;1.11;4.208
18TL05035_764;341;46.83233;-64.36883;276618;1.39;17-jun-05;11:20:00;27.11;11.22;301.05306;300.1152;NaN;NaN;NaN;NaN;0;0.055;0.23667;0.05;0.63;4.122
18TL05035_765;361;47.498;-64.25333;276619;50.47;17-jun-05;16:09:00;30.87;0.43;327.00052;334.2801;NaN;NaN;NaN;NaN;5.975;0.15;4.79333;0.86;0.08;0.963
18TL05035_765;361;47.498;-64.25333;276620;25.78;17-jun-05;16:09:00;30.42;1.89;336.42378;NaN;NaN;NaN;NaN;NaN;4.795;0.165;3.46333;0.57667;0.12;1.174
18TL05035_765;361;47.498;-64.25333;276621;15.47;17-jun-05;16:09:00;29.88;2.53;331.01992;NaN;NaN;NaN;NaN;NaN;5.905;0.16;3.65333;0.52667;0.55;1.971
18TL05035_765;361;47.498;-64.25333;276622;5.26;17-jun-05;16:09:00;27.89;10.15;318.47046;NaN;NaN;NaN;NaN;NaN;0.92;0.05;0.23;0.08;0.96;9.319
18TL05035_765;361;47.498;-64.25333;276623;1.78;17-jun-05;16:09:00;27.89;10.16;317.93454;317.3093;NaN;NaN;NaN;NaN;0.925;0.04;0.22667;0.03;0.915;9.407
18TL05035_766;381;47.17117;-63.75533;276624;50.37;17-jun-05;20:36:00;30.69;0.37;312.75398;328.6976;NaN;NaN;NaN;NaN;7.515;0.145;4.37;0.6;0.265;1.346
18TL05035_766;381;47.17117;-63.75533;276625;25.48;17-jun-05;20:36:00;29.67;2.88;327.17916;NaN;NaN;NaN;NaN;NaN;4.435;0.145;2.865;0.525;0.5;1.801
18TL05035_766;381;47.17117;-63.75533;276626;15.07;17-jun-05;20:36:00;29.18;3.8;326.4646;NaN;NaN;NaN;NaN;NaN;2.76;0.13;2.32333;0.42667;2.28;6.832
18TL05035_766;381;47.17117;-63.75533;276627;5.65;17-jun-05;20:36:00;27.88;9.89;313.91514;NaN;NaN;NaN;NaN;NaN;0;0.035;0.21333;0.05;1.68;8.664
18TL05035_766;381;47.17117;-63.75533;276628;2.18;17-jun-05;20:36:00;27.89;9.85;313.37922;313.7365;NaN;NaN;NaN;NaN;0;0.08;0.28667;0.05;1.62;7.923
18TL05035_767;401;46.5;-63.25933;276629;20.53;18-jun-05;01:47:00;29.82;3.21;301.41034;306.8142;NaN;NaN;NaN;NaN;5.55;0.135;1.94667;0.48333;0.375;1.331
18TL05035_767;401;46.5;-63.25933;276630;16.16;18-jun-05;01:47:00;29.42;4.86;324.41024;NaN;NaN;NaN;NaN;NaN;2.4;0.095;0.87;0.31667;1.77;5.696
18TL05035_767;401;46.5;-63.25933;276631;5.16;18-jun-05;01:47:00;29.19;7.16;327.75974;NaN;NaN;NaN;NaN;NaN;0.775;0.075;0.245;0.16;1.38;5.469
18TL05035_767;401;46.5;-63.25933;276632;1.59;18-jun-05;01:47:00;29.19;7.18;327.89372;330.0374;NaN;NaN;NaN;NaN;0.72;0.07;0.24;0.195;1.08;5.423
18TL05035_768;421;47.16783;-63.26333;276633;56.12;18-jun-05;06:59:00;31.03;-0.53;311.63748;313.7365;NaN;NaN;NaN;NaN;8.44;0.12;5.28;1.1;0.145;1.089
18TL05035_768;421;47.16783;-63.26333;276634;48.88;18-jun-05;06:59:00;30.91;-0.42;315.47824;NaN;NaN;NaN;NaN;NaN;9.055;0.175;6.035;1.1;0.105;1.095
18TL05035_768;421;47.16783;-63.26333;276635;24.79;18-jun-05;06:59:00;30.83;2.97;349.73246;NaN;NaN;NaN;NaN;NaN;1.64667;0.115;2.03;0.54;1.225;2.539
18TL05035_768;421;47.16783;-63.26333;276636;14.87;18-jun-05;06:59:00;30.2;5.18;347.58878;NaN;NaN;NaN;NaN;NaN;2.76;0.105;1.575;0.35;0.615;2.506
18TL05035_768;421;47.16783;-63.26333;276637;5.26;18-jun-05;06:59:00;29.13;10.45;297.2123;NaN;NaN;NaN;NaN;NaN;1.18;0.05333;0.25;0.24;1.69;6.65
18TL05035_768;421;47.16783;-63.26333;276638;2.48;18-jun-05;06:59:00;29.13;10.45;297.48026;296.7657;NaN;NaN;NaN;NaN;1.03;0.05333;0.27333;0.185;1.385;6.741
18TL05035_769;451;46.83183;-62.751;276639;50.57;18-jun-05;14:46:00;31.13;0.6;326.86654;337.8529;NaN;NaN;NaN;NaN;3.14;0.145;2.57;0.66;0.195;1.012
18TL05035_769;451;46.83183;-62.751;276640;25.78;18-jun-05;14:46:00;31.04;2.1;352.5907;NaN;NaN;NaN;NaN;NaN;1.695;0.18;2.435;0.81;0.33;1.852
18TL05035_769;451;46.83183;-62.751;276641;15.77;18-jun-05;14:46:00;30.76;5.41;346.65092;NaN;NaN;NaN;NaN;NaN;1.325;0.12;1.365;0.465;0.425;2.417
18TL05035_769;451;46.83183;-62.751;276642;5.75;18-jun-05;14:46:00;29.25;9.79;306.94818;NaN;NaN;NaN;NaN;NaN;0.635;0.06333;0.28667;0.32;1.175;4.786
18TL05035_769;451;46.83183;-62.751;276643;1.98;18-jun-05;14:46:00;29.06;10.06;304.17926;337.8529;NaN;NaN;NaN;NaN;1.905;0.15;1.64;0.425;1;5.12
18TL05035_770;471;46.57167;-62.2515;276644;42.24;18-jun-05;19:34:00;30.95;0.4;328.74226;341.649;NaN;NaN;NaN;NaN;5.105;0.16;3.765;0.89;0.12;0.97
