CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PRES;PSAL_BS;OXYM_01;Si_01;PO4_01;NOx_01
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(dbar);(PSU);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3)
181079022_091;18;42.325;-65.425;4264;99;08-aug-79;05:59:00;100;NaN;230.4456;7.23;1.035;12.475
181079022_091;18;42.325;-65.425;4265;74;08-aug-79;05:59:00;75;NaN;231.3388;8.375;1.03;12.44
181079022_091;18;42.325;-65.425;4266;50;08-aug-79;05:59:00;50;NaN;305.0278;3.24;0.685;3.825
181079022_091;18;42.325;-65.425;4267;50;08-aug-79;05:59:00;50;NaN;305.921;3.075;0.705;3.82
181079022_091;18;42.325;-65.425;4268;30;08-aug-79;05:59:00;30;NaN;304.5812;1.36;0.395;0.635
181079022_091;18;42.325;-65.425;4269;20;08-aug-79;05:59:00;20;NaN;284.0376;1.09;0.295;0.06
181079022_091;18;42.325;-65.425;4270;10;08-aug-79;05:59:00;10;NaN;285.824;0.71;0.26;0.045
181079022_102;19;42.565;-65.915;4271;99;08-aug-79;09:07:00;100;33.456;256.3484;6.945;1.02;10.195
181079022_102;19;42.565;-65.915;4272;99;08-aug-79;09:07:00;100;33.5345;256.3484;6.81;1;9.765
181079022_102;19;42.565;-65.915;4273;74;08-aug-79;09:07:00;75;NaN;253.2222;5.56;0.96;7.38
181079022_102;19;42.565;-65.915;4274;50;08-aug-79;09:07:00;50;NaN;283.1444;5.9;0.985;7.475
181079022_102;19;42.565;-65.915;4275;50;08-aug-79;09:07:00;50;NaN;261.261;5.7;1.205;7.405
181079022_102;19;42.565;-65.915;4276;30;08-aug-79;09:07:00;30;NaN;309.4938;1.28;0.55;0.135
181079022_102;19;42.565;-65.915;4277;20;08-aug-79;09:07:00;20;NaN;309.0472;1.065;0.43;0.585
181079022_102;19;42.565;-65.915;4278;20;08-aug-79;09:07:00;20;NaN;311.7268;0.97;0.51;0.155
