CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;terrain;labo;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL_BS;OXYM_01;TEMP_XX;Si_01;PO4_01;NOx_01;CHL_03
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(PSU);(mmol/m**3);(celsius);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mg/m**3)
18HU03075_012;S27-03;47.63;-52.12;258015;164;06-dec-03;03:36:00;33.32;294.2621;-0.83;15.07;0.88;11.65;NaN
18HU03075_012;S27-03;47.63;-52.12;258016;150;06-dec-03;03:36:00;33.23;302.7028;-0.8;11.08;0.93;10.55;NaN
18HU03075_012;S27-03;47.63;-52.12;258017;101;06-dec-03;03:36:00;32.76;322.4423;0.69;6.51;0.69;6.3;0.1
18HU03075_012;S27-03;47.63;-52.12;258018;76;06-dec-03;03:36:00;32.61;326.0151;1.36;5.46;0.69;5.27;0.13
18HU03075_012;S27-03;47.63;-52.12;258019;51;06-dec-03;03:36:00;32.34;326.4617;1.87;4.82;0.66;4.52;0.21
18HU03075_012;S27-03;47.63;-52.12;258020;40;06-dec-03;03:36:00;32.08;327.1762;2.51;4.8;0.67;3.79;0.43
18HU03075_012;S27-03;47.63;-52.12;258021;29;06-dec-03;03:36:00;31.96;326.5063;2.7;3.73;0.38;2.57;0.56
18HU03075_012;S27-03;47.63;-52.12;258022;20;06-dec-03;03:36:00;31.95;326.5957;2.74;4.26;0.54;2.91;0.62
18HU03075_012;S27-03;47.63;-52.12;258023;10;06-dec-03;03:36:00;31.9;326.5063;2.82;4.01;0.52;2.58;0.57
18HU03075_012;S27-03;47.63;-52.12;258024;5;06-dec-03;03:36:00;31.9;326.6403;2.82;4.2;0.58;2.7;0.58
18HU03075_013;S27-02;47.58;-52.35;258025;164;06-dec-03;06:03:00;33.41;288.6797;-0.62;NaN;NaN;NaN;NaN
18HU03075_014;SEGB-10;44.3633;-51.1033;257430;70;20-nov-03;15:00:00;32.67;292.1184;3.03;NaN;NaN;NaN;NaN
18HU03075_015;STN27;47.5467;-52.5867;258026;174;06-dec-03;08:45:00;33.2;300.1125;-0.96;13.51;1.07;9.9;NaN
18HU03075_015;STN27;47.5467;-52.5867;258027;151;06-dec-03;08:45:00;32.98;308.1959;-0.95;11.11;1.05;8.33;0.03
18HU03075_015;STN27;47.5467;-52.5867;258028;99;06-dec-03;08:45:00;32.52;325.4345;0.45;6.39;0.84;4.77;0.09
18HU03075_015;STN27;47.5467;-52.5867;258029;75;06-dec-03;08:45:00;32.31;324.1394;1.55;5.04;0.76;3.64;0.09
18HU03075_015;STN27;47.5467;-52.5867;258030;51;06-dec-03;08:45:00;31.88;319.3608;3.4;3.76;0.62;2.04;0.25
18HU03075_015;STN27;47.5467;-52.5867;258031;40;06-dec-03;08:45:00;31.73;317.6191;3.85;3.57;0.58;1.81;0.3
18HU03075_015;STN27;47.5467;-52.5867;258032;30;06-dec-03;08:45:00;31.71;318.155;3.86;4.15;0.71;2.32;0.4
18HU03075_015;STN27;47.5467;-52.5867;258033;21;06-dec-03;08:45:00;31.67;317.9763;3.91;3.18;0.54;1.81;0.44
18HU03075_015;STN27;47.5467;-52.5867;258034;10;06-dec-03;08:45:00;31.67;316.9492;3.94;3.59;0.57;1.5;0.34
18HU03075_015;STN27;47.5467;-52.5867;258035;5;06-dec-03;08:45:00;31.66;317.3511;3.93;3.43;0.54;1.65;0.34
18HU03075_025;SEGB-11;44;-50.8083;257431;69;20-nov-03;17:29:00;32.63;302.9261;2.64;8.65;0.96;2.7;0.32
18HU03075_025;SEGB-11;44;-50.8083;257432;50;20-nov-03;17:29:00;32.63;303.462;2.66;9.33;2.02;4.39;0.26
18HU03075_025;SEGB-11;44;-50.8083;257433;40;20-nov-03;17:29:00;32.38;295.066;7.68;NaN;NaN;NaN;0.59
18HU03075_025;SEGB-11;44;-50.8083;257434;25;20-nov-03;17:29:00;32.38;295.7359;7.79;2.6;0.77;1.03;0.93
