CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;labo;CTD
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TE90;DOXY;PHPH;OXYM_01;NO2_01;PO4_01;NOx_01;Si_01;CHL_01;CHL_03;FLOR
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);((none));(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mg/m**3);(mg/m**3);(mg/m**3)
18TL09037_1021;401;47.4335;-59.55917;342301;461.99;12-jun-09;18:45:00;34.84;5.04;177.56816;8.437;179.86815;0.005;1.225;16.09;22.57667;NaN;NaN;0.253
18TL09037_1021;401;47.4335;-59.55917;342302;409.15;12-jun-09;18:45:00;34.84;5.07;176.94292;8.438;NaN;0.01;1.39;21.85;25.715;NaN;NaN;0.247
18TL09037_1021;401;47.4335;-59.55917;342303;299.26;12-jun-09;18:45:00;34.67;5.39;148.2712;8.383;NaN;0.005;1.43;17.89;20.3;NaN;NaN;0.253
18TL09037_1021;401;47.4335;-59.55917;342304;200.02;12-jun-09;18:45:00;34.25;4.79;162.87502;8.381;NaN;0.01;1.44;19.105;21.02;NaN;NaN;0.26
18TL09037_1021;401;47.4335;-59.55917;342305;99.74;12-jun-09;18:45:00;33.09;1.3;257.50956;8.44;NaN;0.025;0.895;8.095;10.38;0.01;NaN;0.292
18TL09037_1021;401;47.4335;-59.55917;342306;49.87;12-jun-09;18:45:00;32.26;-0.08;341.73832;8.541;NaN;0.09;0.78;5.955;4.08;0.13;NaN;0.487
18TL09037_1021;401;47.4335;-59.55917;342307;25.09;12-jun-09;18:45:00;31.84;2.11;363.13046;8.624;NaN;0.03;0.43;1.165;0.49;0.19;NaN;0.568
18TL09037_1021;401;47.4335;-59.55917;342308;15.97;12-jun-09;18:45:00;31.65;4.38;359.37902;8.652;NaN;0.03;0.335;0.115;0;0.5;NaN;0.875
18TL09037_1021;401;47.4335;-59.55917;342309;5.35;12-jun-09;18:45:00;31.18;7.25;324.05296;8.657;NaN;0.01;0.25;0.075;0.005;0.84;NaN;1.67
18TL09037_1021;401;47.4335;-59.55917;342310;1.78;12-jun-09;18:45:00;31.16;7.25;325.08014;8.672;326.88887;0.005;0.28;0.045;0.015;1.25;NaN;1.705
18TL09037_1022;411;47.27183;-59.7835;342311;434.98;12-jun-09;21:24:00;34.84;5.06;175.15652;8.422;177.99243;0.01;1.505;21.415;27.67;NaN;NaN;0.256
18TL09037_1022;411;47.27183;-59.7835;342312;399.45;12-jun-09;21:24:00;34.82;5.12;172.47692;8.416;NaN;0;1.47;19.985;23;NaN;NaN;0.252
18TL09037_1022;411;47.27183;-59.7835;342313;303.13;12-jun-09;21:24:00;34.58;5.33;157.02456;8.384;NaN;0.025;1.525;21.525;21.63;NaN;NaN;0.248
18TL09037_1022;411;47.27183;-59.7835;342314;206.86;12-jun-09;21:24:00;34.15;4.48;165.86724;8.361;NaN;0.015;1.525;19.795;22.425;NaN;NaN;0.27
18TL09037_1022;411;47.27183;-59.7835;342315;102.02;12-jun-09;21:24:00;33.12;1.38;254.65132;8.428;NaN;0.03;1.18;13.4;13.2;0.03;NaN;0.294
18TL09037_1022;411;47.27183;-59.7835;342316;51.16;12-jun-09;21:24:00;32.13;-0.09;347.72276;8.547;NaN;0.115;0.845;6.155;5.51;0.42;NaN;0.628
18TL09037_1022;411;47.27183;-59.7835;342317;16.46;12-jun-09;21:24:00;31.58;3.24;368.40034;8.642;NaN;0.025;0.375;0.38;0.33;0.6;NaN;1.608
18TL09037_1022;411;47.27183;-59.7835;342318;6.25;12-jun-09;21:24:00;30.62;8.04;318.29182;8.645;NaN;0.01;0.275;0.07;0.395;2.37;NaN;2.555
18TL09037_1022;411;47.27183;-59.7835;342319;1.09;12-jun-09;21:24:00;30.61;8.07;318.55978;8.677;323.13743;0.005;0.275;0.045;0.45;1.73;NaN;2.499
18TL09037_1023;421;47.10033;-59.992;342321;313.23;13-jun-09;00:09:00;34.62;5.29;162.07114;8.412;164.32647;0.04;1.435;21.775;21.98;NaN;NaN;0.276
18TL09037_1023;421;47.10033;-59.992;342322;291.35;13-jun-09;00:09:00;34.6;5.32;156.7566;8.395;NaN;0.02;1.325;20.7;24.56;NaN;NaN;0.276
18TL09037_1023;421;47.10033;-59.992;342323;194.18;13-jun-09;00:09:00;34.16;4.55;169.52936;8.378;NaN;0.015;1.305;19.39;21.245;NaN;NaN;0.28
18TL09037_1023;421;47.10033;-59.992;342324;99.74;13-jun-09;00:09:00;32.75;0.86;292.9696;8.479;NaN;0.115;0.98;10.415;10.475;0.16;NaN;0.357
18TL09037_1023;421;47.10033;-59.992;342325;50.67;13-jun-09;00:09:00;31.89;1.45;356.11884;8.584;NaN;0.07;0.61;2.965;2.765;0.84;NaN;1.225
18TL09037_1023;421;47.10033;-59.992;342326;26.38;13-jun-09;00:09:00;31.01;3.85;356.92272;8.643;NaN;0.025;0.375;0.3;0.045;0.42;NaN;1.151
