CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;labo;labo;labo;calc;calc
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TEMP_XX;OXYM_01;Q_OXYM;NOx_01;Q_NOX;PO4_01;Q_PO4;Si_01;Q_Si;QCFF;N_P;N_Si
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));((none));((none));((none))
181091058_036;CAST#1;47.49667;-59.47167;106105;348;27-nov-91;11:38:00;34.8;5.14;4.32154052843708;1;21.25;1;1.505;1;21.25;1;0;14.12;1.00
181091058_036;CAST#1;47.49667;-59.47167;106104;446;27-nov-91;11:38:00;NaN;NaN;4.858934169279;1;19.97;1;1.416;1;20.81;1;0;14.10;0.96
181091058_047;CAST#1;47.57833;-59.34;106121;2;27-nov-91;13:31:00;31.63;4.66;7.21003134796238;1;1.55;1;0.409;1;1.85;1;0;3.79;0.84
181091058_047;CAST#1;47.57833;-59.34;106120;27;27-nov-91;13:31:00;32.37;1.78;7.32198835647112;1;4.33;1;0.675;1;3.68;1;0;6.41;1.18
181091058_047;CAST#1;47.57833;-59.34;106119;53;27-nov-91;13:31:00;32.62;0.49;7.32198835647112;1;6.67;1;0.883;1;5.55;1;0;7.55;1.20
181091058_047;CAST#1;47.57833;-59.34;106118;77;27-nov-91;13:31:00;32.74;0.48;7.18763994626064;1;5.95;1;0.788;1;5.53;1;0;7.55;1.08
181091058_047;CAST#1;47.57833;-59.34;106117;101;27-nov-91;13:31:00;32.9;0.63;6.96372592924317;1;7.5;1;0.909;1;6.82;1;0;8.25;1.10
181091058_047;CAST#1;47.57833;-59.34;106116;151;27-nov-91;13:31:00;33.54;2.32;5.66502463054187;1;13.79;1;1.232;1;14.08;1;0;11.19;0.98
181091058_047;CAST#1;47.57833;-59.34;106115;202;27-nov-91;13:31:00;34.16;4.27;4.5230631437528;1;18.02;1;1.369;1;18.78;1;0;13.16;0.96
181091058_047;CAST#1;47.57833;-59.34;106114;253;27-nov-91;13:31:00;NaN;NaN;3.87371249440215;1;20.79;1;1.497;1;22.01;1;0;13.89;0.94
181091058_058;CAST#1;47.99833;-59.50167;106128;1;27-nov-91;17:24:00;31.44;5.78;7.14285714285714;1;1.13;1;0.409;1;1.5;1;0;2.76;0.75
181091058_058;CAST#1;47.99833;-59.50167;106127;28;27-nov-91;17:24:00;31.44;5.79;7.14285714285714;1;1.14;1;0.423;1;1.58;1;0;2.70;0.72
181091058_058;CAST#1;47.99833;-59.50167;106126;53;27-nov-91;17:24:00;32.31;1.77;7.29959695476937;1;5.47;1;0.791;1;4.64;1;0;6.92;1.18
181091058_058;CAST#1;47.99833;-59.50167;106125;77;27-nov-91;17:24:00;32.51;1.14;6.76220331392745;1;6.66;1;0.848;1;5.65;1;0;7.85;1.18
181091058_058;CAST#1;47.99833;-59.50167;106124;103;27-nov-91;17:24:00;32.68;0.79;7.1204657411554;1;7.9;1;0.945;1;7.23;1;0;8.36;1.09
181091058_058;CAST#1;47.99833;-59.50167;106123;152;27-nov-91;17:24:00;33.57;2.46;5.55306762203314;1;13.26;1;1.177;1;14.36;1;0;11.27;0.92
181091058_058;CAST#1;47.99833;-59.50167;106122;167;27-nov-91;17:24:00;NaN;NaN;4.83654276757725;1;14.52;1;1.227;1;15.7;1;0;11.83;0.92
