CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;CTD;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;calc;calc
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TE90;DOXY;PHPH;OXYM_01;CHL_03;FLOR;NO2_01;Q_NO2;NO2_01;Q_NO2;NOx_01;Q_NOX;NOx_01;Q_NOX;PO4_01;Q_PO4;PO4_01;Q_PO4;Si_01;Q_Si;QCFF;N_P;N_Si
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);((none));(mmol/m**3);(mg/m**3);(mg/m**3);(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));((none));((none));((none))
18HU10070_1131;41;43.48067;-62.44767;344684;29.66;07-nov-10;13:46:00;32.14;12.96;273.89978;NaN;6.035;0.89;0.306;NaN;9;0.08;1;NaN;9;0.285;1;NaN;9;0.28;1;2.31;1;256;1.02;0.12
18HU10070_1131;41;43.48067;-62.44767;344683;39.38;07-nov-10;13:46:00;33.06;12.86;251.8824;NaN;NaN;0.125;0.067;NaN;9;0.11;1;NaN;9;2.965;1;NaN;9;0.465;1;3.275;1;0;6.38;0.91
18HU10070_1131;41;43.48067;-62.44767;344682;50.59;07-nov-10;13:46:00;33.65;7.77;241.20866;NaN;5.392;0.05;0.045;NaN;9;0.03;1;NaN;9;9.205;1;NaN;9;0.905;1;7.465;1;256;10.17;1.23
18HU10070_1131;41;43.48067;-62.44767;344681;59.02;07-nov-10;13:46:00;33.69;7.83;238.88634;NaN;NaN;0.125;0.052;NaN;9;0.04;1;NaN;9;9.53;1;NaN;9;0.92;1;8.06;1;0;10.36;1.18
18HU10070_1131;41;43.48067;-62.44767;344680;63.58;07-nov-10;13:46:00;33.68;7.78;239.51158;NaN;5.228;0.135;0.055;NaN;9;0.04;1;NaN;9;9.53;1;NaN;9;0.91;1;8.425;1;256;10.47;1.13
18HU10070_1132;51;43.17817;-62.09667;344694;3.27;07-nov-10;16:46:00;31.5;11.78;287.69972;NaN;6.30633340797134;1.335;0.438;NaN;9;0.03;1;NaN;9;0.125;1;NaN;9;0.315;1;1.55;1;256;0.40;0.08
18HU10070_1132;51;43.17817;-62.09667;344693;20.14;07-nov-10;16:46:00;31.51;11.73;285.55604;NaN;6.291;1.225;0.426;NaN;9;0.03;1;NaN;9;0.13;1;NaN;9;0.33;1;1.245;1;256;0.39;0.10
18HU10070_1132;51;43.17817;-62.09667;344692;29.86;07-nov-10;16:46:00;31.93;12.24;272.426;NaN;NaN;0.58;0.218;NaN;9;0.11;1;NaN;9;0.45;1;NaN;9;0.355;1;1.44;1;0;1.27;0.31
18HU10070_1132;51;43.17817;-62.09667;344691;39.28;07-nov-10;16:46:00;33.29;12.92;248.3096;NaN;NaN;0.18;0.069;NaN;9;0.19;1;NaN;9;3.38;1;NaN;9;0.475;1;3.025;1;0;7.12;1.12
18HU10070_1132;51;43.17817;-62.09667;344690;50.89;07-nov-10;16:46:00;33.46;10.71;250.3193;NaN;5.543;0.12;0.058;NaN;9;0.06;1;NaN;9;5.475;1;NaN;9;0.64;1;4.135;1;256;8.55;1.32
