CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;calc;calc
18NA97052_264;CAST#1;45.7008;-60.79;180711;15;25-sep-97;13:27:00;21.798;12.305;5.73;1;0.107;1;0.2;1;0.2555;1;4.135;1;0;0.78;0.05
18NA97052_264;CAST#1;45.7008;-60.79;180710;24;25-sep-97;13:27:00;21.941;10.411;5.422;1;0.292;1;2.38;1;0.6405;1;8.44;1;0;3.72;0.28
18NA97052_284;CAST#1;45.7432;-60.799;180717;1;25-sep-97;13:57:00;21.542;15.115;6.088;1;0.056;1;0.01;1;0.1045;1;2.475;1;0;0.10;0.00
18NA97052_284;CAST#1;45.7432;-60.799;180716;5;25-sep-97;13:57:00;21.543;15.102;6.089;1;0.056;1;0;1;0.1055;1;2.495;1;0;0.00;0.00
18NA97052_284;CAST#1;45.7432;-60.799;180715;15;25-sep-97;13:57:00;21.544;15.009;6.055;1;0.056;1;0.03;1;0.0975;1;2.435;1;0;0.31;0.01
18NA97052_284;CAST#1;45.7432;-60.799;180714;41;25-sep-97;13:57:00;22.091;7.305;5.921;1;0.12;1;3.645;1;0.665;1;8.76;1;0;5.48;0.42
18NA97052_304;CAST#1;45.8202;-60.851;180720;125;25-sep-97;15:03:00;NaN;NaN;6.603;1;0.056;1;5.04;1;0.803;1;10.085;1;0;6.28;0.50
18NA97052_304;CAST#1;45.8202;-60.851;180718;150;25-sep-97;15:03:00;NaN;NaN;6.65;1;0.069;1;5.375;1;0.8585;1;10.82;1;0;6.26;0.50
18NA97052_326;CAST#1;45.9153;-60.9622;180723;1;25-sep-97;16:40:00;21.867;14.88;5.995;1;0.056;1;0.02;1;0.169;1;3.645;1;0;0.12;0.01
18NA97052_326;CAST#1;45.9153;-60.9622;180722;5;25-sep-97;16:40:00;22.066;14.856;6.015;1;0.056;1;0.02;1;0.1775;1;3.655;1;0;0.11;0.01
18NA97052_326;CAST#1;45.9153;-60.9622;180721;11;25-sep-97;16:40:00;23.138;15.335;5.631;1;0.133;1;0.265;1;0.26;1;4.11;1;0;1.02;0.06
18NA97052_339;CAST#1;45.902;-61.0557;180725;1;25-sep-97;17:10:00;21.892;15.183;5.945;1;0.056;1;0.015;1;0.229;1;4.195;1;0;0.07;0.00
18NA97052_339;CAST#1;45.902;-61.0557;180724;8;25-sep-97;17:10:00;22.778;15.774;5.458;1;0.12;1;0.27;1;0.3715;1;5;1;0;0.73;0.05
18NA97052_003;CAST#1;45.8738;-61.0687;180727;1;25-sep-97;18:02:00;21.091;15.035;5.894;1;0.056;1;0.02;1;0.3085;1;5.01;1;0;0.06;0.00
18NA97052_003;CAST#1;45.8738;-61.0687;180726;5;25-sep-97;18:02:00;21.27;15.175;NaN;9;0.056;1;0.01;1;0.275;1;4.68;1;0;0.04;0.00
18NA97052_014;CAST#1;45.8923;-61;180729;1;25-sep-97;18:54:00;20.23;14.864;6.181;1;0.056;1;0.01;1;0.1095;1;3.76;1;0;0.09;0.00
18NA97052_014;CAST#1;45.8923;-61;180728;4;25-sep-97;18:54:00;20.228;14.858;6.165;1;0.056;1;0.02;1;0.102;1;3.555;1;0;0.20;0.01
18NA97052_080;CAST#1;45.9098;-61.0295;180730;0;26-sep-97;16:57:00;NaN;NaN;NaN;9;0.017;1;0.19;1;0.0775;1;34.86;1;0;2.45;0.01
18NA97052_091;CAST#1;45.9015;-61.09;180731;0;26-sep-97;17:22:00;NaN;NaN;NaN;9;0.069;1;0.15;1;0.2495;1;6.635;1;0;0.60;0.02
18NA97052_102;CAST#1;45.8888;-61.1097;180732;0;26-sep-97;17:42:00;NaN;NaN;NaN;9;0.04;1;0.11;1;0.0635;1;17.455;1;0;1.73;0.01
18NA97052_114;CAST#1;45.8778;-61.1147;180733;0;26-sep-97;17:59:00;NaN;NaN;NaN;9;0.0625;1;0.89;1;0.066;1;40.495;1;0;13.48;0.02
18NA97052_127;CAST#1;45.8542;-61.089;180736;0;26-sep-97;18:15:00;20.906;16.283;NaN;9;0.069;1;0.18;1;0.1255;1;14.46;1;0;1.43;0.01
18NA97052_138;CAST#1;45.8365;-61.1777;180737;0;26-sep-97;18:45:00;NaN;NaN;NaN;9;0.0595;1;1.96;1;0.055;1;60.84;1;0;35.64;0.03
18NA97052_149;CAST#1;45.9458;-61.1245;180745;1;27-sep-97;12:59:00;21.705;15.071;5.809;1;0.056;1;0.035;1;0.435;1;6.775;1;0;0.08;0.01
18NA97052_149;CAST#1;45.9458;-61.1245;180744;5;27-sep-97;12:59:00;21.769;15.125;5.806;1;0.056;1;0.01;1;0.4375;1;6.715;1;0;0.02;0.00
18NA97052_149;CAST#1;45.9458;-61.1245;180743;10;27-sep-97;12:59:00;22.474;11.809;4.061;1;0.275;1;1.24;7;0.864;1;8.07;1;512;1.44;0.15
18NA97052_149;CAST#1;45.9458;-61.1245;180742;15;27-sep-97;12:59:00;22.511;4.601;1.051;1;0.142;1;24.58;7;3.284;1;15.045;1;512;7.48;1.63
18NA97052_149;CAST#1;45.9458;-61.1245;180741;20;27-sep-97;12:59:00;22.923;3.056;0.321;1;0.958;1;5.5;7;4.4795;1;29.085;1;512;1.23;0.19
18NA97052_149;CAST#1;45.9458;-61.1245;180739;25;27-sep-97;12:59:00;23.006;3.132;0;1;0.303;1;0.35;7;10;4;55;1;518;NaN;0.01
18NA97052_149;CAST#1;45.9458;-61.1245;180738;43;27-sep-97;12:59:00;23.038;3.178;NaN;9;0.359;1;0.17;1;14;4;85;1;6;NaN;0.00
18NA97052_160;CAST#1;45.9708;-61.0203;180746;37;27-sep-97;14:13:00;22.973;2.12;NaN;9;0.138;1;15.735;1;2.3105;1;37.45;1;0;6.81;0.42
18NA97052_182;CAST#1;46.1242;-60.7042;180749;1;28-sep-97;11:31:00;23.263;15.149;6.039;1;0.056;1;0;1;0.14;1;3.13;1;0;0.00;0.00
18NA97052_182;CAST#1;46.1242;-60.7042;180748;5;28-sep-97;11:31:00;23.567;15.626;5.743;1;0.056;1;0.11;1;0.2275;1;3.54;1;0;0.48;0.03
18NA97052_182;CAST#1;46.1242;-60.7042;180747;26;28-sep-97;11:31:00;24.113;6.688;NaN;9;0.1615;1;16.93;1;3.8765;1;38.825;1;0;4.37;0.44
18NA97052_193;CAST#1;46.0828;-60.8912;180752;1;28-sep-97;13:33:00;22.844;15.005;6.122;1;0.069;1;0.07;1;0.182;1;10.955;1;0;0.38;0.01
18NA97052_193;CAST#1;46.0828;-60.8912;180751;5;28-sep-97;13:33:00;23.406;15.692;5.941;1;0.0625;1;0.01;1;0.2295;1;4.145;1;0;0.04;0.00
18NA97052_193;CAST#1;46.0828;-60.8912;180750;11;28-sep-97;13:33:00;24.308;16.142;NaN;9;0.125;1;0.25;1;0.5485;1;5.49;1;0;0.46;0.05
18NA97052_226;CAST#1;46.0033;-60.992;180756;1;28-sep-97;16:09:00;18.837;14.691;6.258;1;0.075;1;0.02;1;2.226;1;9.49;1;0;0.01;0.00
18NA97052_226;CAST#1;46.0033;-60.992;180754;8;28-sep-97;16:09:00;19.181;13.492;1.406;1;0.081;1;5.5;1;3.5265;1;26.24;1;0;1.56;0.21
18NA97052_226;CAST#1;46.0033;-60.992;180753;19;28-sep-97;16:09:00;19.983;12.987;NaN;9;0.12;1;6.43;1;3.339;1;24.875;1;0;1.93;0.26
