CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;terrain;labo;labo;calc;calc
181071040_047;CAST#1;44.7663;-63.156;-21;11;17-feb-71;16:15:00;7.03090013434841;1;27.9;-0.8;1;0;NaN;NaN
181071040_047;CAST#1;44.7663;-63.156;-22;12;17-feb-71;16:15:00;6.89655172413793;1;27.92;-0.8;1;0;NaN;NaN
181071040_047;CAST#1;44.7663;-63.156;-23;13;17-feb-71;16:15:00;6.82937751903269;1;27.99;-0.8;1;0;NaN;NaN
181071040_047;CAST#1;44.7663;-63.156;-24;14;17-feb-71;16:15:00;6.69502910882221;1;27.99;-0.8;1;0;NaN;NaN
181071040_047;CAST#1;44.7663;-63.156;-25;15;17-feb-71;16:15:00;6.73981191222571;1;27.99;-0.8;1;0;NaN;NaN
181071040_047;CAST#1;44.7663;-63.156;-26;16;17-feb-71;16:15:00;6.65024630541872;1;27.99;-0.8;1;0;NaN;NaN
181071040_047;CAST#1;44.7663;-63.156;-27;18;17-feb-71;16:15:00;6.60546350201523;1;28.01;-0.7;1;0;NaN;NaN
181071040_047;CAST#1;44.7663;-63.156;-28;19;17-feb-71;16:15:00;6.56068069861173;1;28.01;-0.7;1;0;NaN;NaN
181071040_047;CAST#1;44.7663;-63.156;-29;20;17-feb-71;16:15:00;6.65024630541872;1;28.01;-0.7;1;0;NaN;NaN
181071040_047;CAST#1;44.7663;-63.156;-30;21;17-feb-71;16:15:00;6.73981191222571;1;28.1;-0.7;1;0;NaN;NaN
181071040_058;CAST#1;44.7663;-63.156;-31;1;09-mar-71;17:00:00;8.77742946708464;1;13.393;0.5;1;0;NaN;NaN
181071040_058;CAST#1;44.7663;-63.156;-32;2;09-mar-71;17:00:00;8.73264666368115;1;19.516;0.3;1;0;NaN;NaN
181071040_058;CAST#1;44.7663;-63.156;-33;3;09-mar-71;17:00:00;8.44155844155844;1;21.218;0.25;1;0;NaN;NaN
181071040_058;CAST#1;44.7663;-63.156;-34;4;09-mar-71;17:00:00;7.81459919390954;1;22.032;0;1;0;NaN;NaN
181071040_058;CAST#1;44.7663;-63.156;-35;5;09-mar-71;17:00:00;8.038513210927;1;22.788;-0.1;1;0;NaN;NaN
181071040_058;CAST#1;44.7663;-63.156;-36;6;09-mar-71;17:00:00;8.01612180922526;1;24.565;-0.2;1;0;NaN;NaN
181071040_058;CAST#1;44.7663;-63.156;-37;8;09-mar-71;17:00:00;6.65024630541872;1;27.025;-0.55;1;0;NaN;NaN
181071040_058;CAST#1;44.7663;-63.156;-38;9;09-mar-71;17:00:00;6.65024630541872;1;27.216;-0.6;1;0;NaN;NaN
181071040_058;CAST#1;44.7663;-63.156;-39;10;09-mar-71;17:00:00;6.38154948499776;1;27.591;-0.6;1;0;NaN;NaN
181071040_058;CAST#1;44.7663;-63.156;-40;11;09-mar-71;17:00:00;5.86654724585759;1;28.402;-0.5;1;0;NaN;NaN
181071040_058;CAST#1;44.7663;-63.156;-41;12;09-mar-71;17:00:00;6.06806986117331;1;28.143;-0.5;1;0;NaN;NaN
181071040_058;CAST#1;44.7663;-63.156;-42;13;09-mar-71;17:00:00;5.84415584415584;1;28.38;-0.5;1;0;NaN;NaN
181071040_058;CAST#1;44.7663;-63.156;-43;14;09-mar-71;17:00:00;5.8217644424541;1;28.366;-0.5;1;0;NaN;NaN
181071040_058;CAST#1;44.7663;-63.156;-44;15;09-mar-71;17:00:00;5.79937304075235;1;28.392;-0.5;1;0;NaN;NaN
181071040_058;CAST#1;44.7663;-63.156;-45;16;09-mar-71;17:00:00;5.79937304075235;1;28.449;-0.5;1;0;NaN;NaN
181071040_058;CAST#1;44.7663;-63.156;-46;17;09-mar-71;17:00:00;5.75459023734886;1;28.44;-0.5;1;0;NaN;NaN
181071040_058;CAST#1;44.7663;-63.156;-47;18;09-mar-71;17:00:00;5.68741603224362;1;28.455;-0.5;1;0;NaN;NaN
181071040_058;CAST#1;44.7663;-63.156;-48;19;09-mar-71;17:00:00;5.73219883564711;1;28.453;-0.5;1;0;NaN;NaN
181071040_058;CAST#1;44.7663;-63.156;-49;20;09-mar-71;17:00:00;5.70980743394537;1;28.466;-0.5;1;0;NaN;NaN
