CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;calc;calc
18HU92053_366;2;41.39;-53.4;121008;120;07-apr-93;00:00:00;NaN;NaN;NaN;NaN;9;0.019;1;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18HU92053_366;2;41.39;-53.4;121007;150;07-apr-93;00:00:00;NaN;NaN;NaN;NaN;9;0.023;1;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18HU92053_366;2;41.39;-53.4;121006;300;07-apr-93;00:00:00;NaN;NaN;NaN;NaN;9;0.01;1;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18HU92053_002;CAST#1;41.3885;-53.435;121005;304.56;07-apr-93;12:50:00;307.178;35.428;11.638;3.40433004926108;1;NaN;9;15.87998;1;1.30002;1;7.40005;1;0;12.22;2.15
18HU92053_002;CAST#1;41.3885;-53.435;121004;403;07-apr-93;12:50:00;406.558;35.1869;9.3158;2.79233004926108;1;NaN;9;22.93997;1;1.88005;1;12.83005;1;0;12.20;1.79
18HU92053_002;CAST#1;41.3885;-53.435;121003;591.39;07-apr-93;12:50:00;596.888;34.9331;6.0694;3.599;1;NaN;9;21.24006;1;1.77997;1;13.47999;1;0;11.93;1.58
18HU92053_002;CAST#1;41.3885;-53.435;121002;783.33;07-apr-93;12:50:00;790.98;34.9578;4.7924;4.383;1;NaN;9;19.37006;1;1.61001;1;11.91999;1;0;12.03;1.63
18HU92053_002;CAST#1;41.3885;-53.435;121001;990.72;07-apr-93;12:50:00;1000.9;34.9879;4.4554;4.58466995073892;1;NaN;9;15.84005;1;1.15;1;9.99996;1;0;13.77;1.58
18HU92053_113;CAST#1;41.3855;-53.40033;121019;3.52;07-apr-93;14:12:00;3.544;36.1235;15.688;NaN;9;NaN;9;6.06;1;0.51003;1;2.71003;1;0;11.88;2.24
18HU92053_113;CAST#1;41.3855;-53.40033;121018;12.97;07-apr-93;14:12:00;13.073;36.1236;15.6848;4.14933990147783;1;NaN;9;6.02005;1;0.49001;1;2.59;1;0;12.29;2.32
18HU92053_113;CAST#1;41.3855;-53.40033;121017;23.27;07-apr-93;14:12:00;23.455;36.1237;15.6818;NaN;9;NaN;9;5.93;1;0.49997;1;2.50005;1;0;11.86;2.37
18HU92053_113;CAST#1;41.3855;-53.40033;121016;42.57;07-apr-93;14:12:00;42.912;36.1224;15.6778;NaN;9;NaN;9;5.87003;1;0.49997;1;2.66999;1;0;11.74;2.20
18HU92053_113;CAST#1;41.3855;-53.40033;121015;52.34;07-apr-93;14:12:00;52.755;36.1196;15.6663;NaN;9;NaN;9;5.92002;1;0.49001;1;2.60005;1;0;12.08;2.28
18HU92053_113;CAST#1;41.3855;-53.40033;121014;62.54;07-apr-93;14:12:00;63.04;36.1096;15.6198;NaN;9;NaN;9;6.21005;1;0.53005;1;2.68998;1;0;11.72;2.31
18HU92053_113;CAST#1;41.3855;-53.40033;121013;72.62;07-apr-93;14:12:00;73.206;36.1065;15.6043;NaN;9;NaN;9;6.58997;1;0.51998;1;2.76001;1;0;12.67;2.39
18HU92053_113;CAST#1;41.3855;-53.40033;121012;82.36;07-apr-93;14:12:00;83.027;36.064;15.4229;NaN;9;NaN;9;7.96001;1;0.63004;1;3.22998;1;0;12.63;2.46
18HU92053_113;CAST#1;41.3855;-53.40033;121011;92.49;07-apr-93;14:12:00;93.233;35.9741;15.0018;NaN;9;NaN;9;9.96005;1;0.75998;1;3.72999;1;0;13.11;2.67
18HU92053_113;CAST#1;41.3855;-53.40033;121010;101.84;07-apr-93;14:12:00;102.667;35.939;14.7898;3.514;1;NaN;9;11.78997;1;0.85996;1;4.12999;1;0;13.71;2.85
18HU92053_113;CAST#1;41.3855;-53.40033;121009;111.52;07-apr-93;14:12:00;112.428;35.891;14.5829;NaN;9;NaN;9;9.17002;1;0.72;1;3.56005;1;0;12.74;2.58
18HU92053_113;CAST#1;41.3855;-53.40033;121008;122.18;07-apr-93;14:12:00;123.176;35.8581;14.4198;NaN;9;NaN;9;9.09999;1;0.81001;1;3.65995;1;0;11.23;2.49
18HU92053_113;CAST#1;41.3855;-53.40033;121007;152.07;07-apr-93;14:12:00;153.316;35.823;14.1589;NaN;9;NaN;9;9.40999;1;0.70004;1;4.09996;1;0;13.44;2.30
18HU92053_113;CAST#1;41.3855;-53.40033;121006;299.44;07-apr-93;14:12:00;302.014;35.4654;11.9654;3.56033990147783;1;NaN;9;15.47;1;1.08996;1;7.41001;1;0;14.19;2.09
18HU92053_367;3;39.47;-48.56;121035;1;08-apr-93;00:00:00;NaN;NaN;NaN;NaN;9;0.11;1;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18HU92053_367;3;39.47;-48.57;99478;1;08-apr-93;00:00:00;NaN;NaN;NaN;NaN;9;0.12;1;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18HU92053_367;3;39.47;-48.56;121034;10;08-apr-93;00:00:00;NaN;NaN;NaN;NaN;9;0.101;1;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18HU92053_367;3;39.47;-48.56;121032;20;08-apr-93;00:00:00;NaN;NaN;NaN;NaN;9;0.103;1;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18HU92053_367;3;39.47;-48.57;99479;20;08-apr-93;00:00:00;NaN;NaN;NaN;NaN;9;0.1;1;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18HU92053_367;3;39.47;-48.56;121030;40;08-apr-93;00:00:00;NaN;NaN;NaN;NaN;9;0.102;1;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18HU92053_367;3;39.47;-48.57;99480;40;08-apr-93;00:00:00;NaN;NaN;NaN;NaN;9;0.1;1;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18HU92053_367;3;39.47;-48.56;121029;50;08-apr-93;00:00:00;NaN;NaN;NaN;NaN;9;0.108;1;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18HU92053_367;3;39.47;-48.56;121028;60;08-apr-93;00:00:00;NaN;NaN;NaN;NaN;9;0.101;1;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18HU92053_367;3;39.47;-48.56;121027;70;08-apr-93;00:00:00;NaN;NaN;NaN;NaN;9;0.109;1;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18HU92053_367;3;39.47;-48.56;121026;80;08-apr-93;00:00:00;NaN;NaN;NaN;NaN;9;0.112;1;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18HU92053_367;3;39.47;-48.56;121025;90;08-apr-93;00:00:00;NaN;NaN;NaN;NaN;9;0.109;1;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18HU92053_367;3;39.47;-48.56;121024;100;08-apr-93;00:00:00;NaN;NaN;NaN;NaN;9;0.104;1;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18HU92053_367;3;39.47;-48.56;121023;110;08-apr-93;00:00:00;NaN;NaN;NaN;NaN;9;0.101;1;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18HU92053_367;3;39.47;-48.56;121022;120;08-apr-93;00:00:00;NaN;NaN;NaN;NaN;9;0.111;1;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18HU92053_367;3;39.47;-48.56;121021;150;08-apr-93;00:00:00;NaN;NaN;NaN;NaN;9;0.11;1;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18HU92053_367;3;39.47;-48.56;121020;300;08-apr-93;00:00:00;NaN;NaN;NaN;NaN;9;0.057;1;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18HU92053_225;CAST#1;39.46533;-48.56183;121036;3.69;08-apr-93;10:32:00;3.714;36.509;17.6356;3.82066995073892;1;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18HU92053_225;CAST#1;39.46533;-48.56183;121035;3.75;08-apr-93;10:32:00;3.775;36.5085;17.6285;NaN;9;NaN;9;3.12003;1;0.19998;1;1.36999;1;0;15.60;2.28
18HU92053_225;CAST#1;39.46533;-48.56183;121034;13.22;08-apr-93;10:32:00;13.324;36.5067;17.6333;NaN;9;NaN;9;3.07997;1;0.30999;1;1.39999;1;0;9.94;2.20
18HU92053_225;CAST#1;39.46533;-48.56183;121032;22.9;08-apr-93;10:32:00;23.078;36.5081;17.6367;NaN;9;NaN;9;3.26003;1;0.22998;1;1.39999;1;0;14.18;2.33
18HU92053_225;CAST#1;39.46533;-48.56183;121033;23.27;08-apr-93;10:32:00;23.45;36.5082;17.6369;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18HU92053_225;CAST#1;39.46533;-48.56183;121031;42.92;08-apr-93;10:32:00;43.249;36.5077;17.6406;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18HU92053_225;CAST#1;39.46533;-48.56183;121030;42.99;08-apr-93;10:32:00;43.32;36.5079;17.6397;NaN;9;NaN;9;3.26999;1;0.28;1;1.44004;1;0;11.68;2.27
18HU92053_225;CAST#1;39.46533;-48.56183;121029;52.39;08-apr-93;10:32:00;52.801;36.509;17.6454;NaN;9;NaN;9;2.54997;1;0.21005;1;1.14998;1;0;12.14;2.22
18HU92053_225;CAST#1;39.46533;-48.56183;121028;62.96;08-apr-93;10:32:00;63.452;36.5095;17.6463;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18HU92053_225;CAST#1;39.46533;-48.56183;121027;72.8;08-apr-93;10:32:00;73.373;36.5093;17.648;NaN;9;NaN;9;3.02995;1;0.22001;1;1.34;1;0;13.77;2.26
18HU92053_225;CAST#1;39.46533;-48.56183;121026;83.11;08-apr-93;10:32:00;83.762;36.5094;17.6495;NaN;9;NaN;9;3.07001;1;0.22998;1;1.40995;1;0;13.35;2.18
18HU92053_225;CAST#1;39.46533;-48.56183;121025;92.33;08-apr-93;10:32:00;93.055;36.5097;17.6511;NaN;9;NaN;9;3.15003;1;0.22001;1;1.34997;1;0;14.32;2.33
18HU92053_225;CAST#1;39.46533;-48.56183;121024;102.38;08-apr-93;10:32:00;103.188;36.5095;17.6534;3.879;1;NaN;9;3.13996;1;0.22998;1;1.36003;1;0;13.65;2.31
18HU92053_225;CAST#1;39.46533;-48.56183;121023;111.52;08-apr-93;10:32:00;112.409;36.5098;17.6548;NaN;9;NaN;9;3.21001;1;0.24004;1;1.37;1;0;13.37;2.34
18HU92053_225;CAST#1;39.46533;-48.56183;121022;120.91;08-apr-93;10:32:00;121.87;36.5094;17.6566;NaN;9;NaN;9;3.23004;1;0.25001;1;1.37;1;0;12.92;2.36
18HU92053_225;CAST#1;39.46533;-48.56183;121021;152.34;08-apr-93;10:32:00;153.562;36.5091;17.6631;NaN;9;NaN;9;3.21001;1;0.24004;1;1.59997;1;0;13.37;2.01
18HU92053_225;CAST#1;39.46533;-48.56183;121020;300.41;08-apr-93;10:32:00;302.936;36.3823;17.1465;3.62833990147783;1;NaN;9;5.03003;1;0.35998;1;2.09002;1;0;13.97;2.41
