CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;calc;calc
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PRES;PSAL;TEMP_XX;DOXY;CHL_01;Q_CHL;PSAL_BS;Q_PSAL;OXY_02;Q_OXY;NO2_01;Q_NO2;NOx_01;Q_NOX;PO4_01;Q_PO4;Si_01;Q_Si;QCFF;N_P;N_Si
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(dbar);(psu);(celsius);(ml/l);(mg/m**3);((none));(PSU);((none));(ml/l);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));((none));((none));((none))
18TL16003_127;17;42.8766;-64.05148;429280;48.33;16-mar-16;19:22:00;48.333;32.8421;5.7873;6.3625;0.29027;1;NaN;9;NaN;9;0.15;1;3.4;1;0.55767;1;2.29333;1;0;6.10;1.48
18TL16003_127;17;42.87686;-64.05066;429279;100.76;16-mar-16;19:20:00;100.765;34.7249;10.4814;3.6564;0.08552;1;34.72;1;3.2725;1;0.06;1;14.81;2;1.12833;1;10.2;1;2048;13.13;1.45
18TL16003_138;18;42.72445;-64.26166;429286;6;16-mar-16;22:59:00;6.002;32.4896;5.3349;6.9623;1.03498;1;NaN;9;7.143;1;0.13667;1;1.61667;1;0.471;1;1.37333;2;2048;3.43;1.18
18TL16003_138;18;42.72444;-64.26129;429285;26.27;16-mar-16;22:58:00;26.277;32.6443;5.5102;6.8977;0.93148;1;NaN;9;NaN;9;0.14;1;2.15;1;0.48167;1;1.41667;2;2048;4.46;1.52
18TL16003_138;18;42.72449;-64.26074;429284;50.08;16-mar-16;22:57:00;50.088;32.9366;6.0584;6.6032;0.79348;1;NaN;9;NaN;9;0.15333;1;2.77;1;0.50533;1;1.61333;2;2048;5.48;1.72
18TL16003_138;18;42.72446;-64.25976;429283;139.38;16-mar-16;22:53:00;139.38;34.8446;10.4586;3.3731;0.06986;1;34.841;1;3.6;1;0.05667;1;16.45333;1;1.238;1;12.03;1;0;13.29;1.37
18TL16003_149;19;42.66724;-64.49271;429290;4.93;17-mar-16;01:32:00;4.939;32.2748;4.7907;7.1029;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18TL16003_149;19;42.66728;-64.49203;429289;24.7;17-mar-16;01:31:00;24.701;32.2771;4.7917;7.1106;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18TL16003_149;19;42.66736;-64.49146;429288;52.76;17-mar-16;01:30:00;52.768;32.7166;5.5572;6.4627;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18TL16003_149;19;42.66736;-64.4894;429287;129.29;17-mar-16;01:25:00;129.292;34.8125;10.4016;3.5813;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18TL16003_160;20;42.69257;-64.46636;429294;4.7;17-mar-16;03:17:00;4.705;32.2816;4.8643;7.0969;0.1271;1;NaN;9;7.258;1;0.07;1;15.82;2;1.18433;2;11.26333;1;2048;13.36;1.40
18TL16003_160;20;42.69278;-64.46585;429293;24.88;17-mar-16;03:16:00;24.885;32.2809;4.8567;7.0946;1.11548;1;NaN;9;NaN;9;0.14333;1;2.96;1;0.52267;1;2.36667;2;2048;5.66;1.25
18TL16003_160;20;42.69306;-64.46506;429292;50.88;17-mar-16;03:15:00;50.886;32.4719;5.0843;6.7866;1.10398;1;NaN;9;NaN;9;0.13;1;2.055;1;0.4835;1;1.645;2;2048;4.25;1.25
18TL16003_160;20;42.69358;-64.46316;429291;123.87;17-mar-16;03:12:00;123.878;34.7662;10.2996;3.5535;1.43545;1;34.763;1;3.7185;1;0.14;1;2.05;1;0.468;2;1.80333;2;2048;4.38;1.14
18TL16003_171;21;42.94976;-64.58752;429298;5.71;17-mar-16;05:42:00;5.718;31.9265;3.9585;7.2735;0.81648;1;NaN;9;7.42;1;0.11667;1;1.93;1;0.554;1;1.66667;2;2048;3.48;1.16
18TL16003_171;21;42.94966;-64.58696;429297;25.86;17-mar-16;05:41:00;25.861;32.0159;4.1797;7.2129;0.82798;1;NaN;9;NaN;9;0.11333;1;1.55667;1;0.51233;1;1.39;2;2048;3.04;1.12
18TL16003_171;21;42.9495;-64.58626;429296;50.65;17-mar-16;05:39:00;50.657;32.4803;5.0878;6.8493;1.03498;1;NaN;9;NaN;9;0.14;1;2.02667;1;0.51533;1;1.58667;2;2048;3.93;1.28
