CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;CTD;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;calc;calc
18HU18051_1701;251;47.40567;-62.59583;454688;15.97;21-oct-18;01:13:00;29.54;8.82;295.29192;8.199;NaN;1.076;1.365;1;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18HU18051_1701;251;47.40567;-62.59583;454687;25.68;21-oct-18;01:13:00;29.53;8.81;295.11328;8.18;296.00648;1.049;1.325;1;0.105;1;0.65;1;0.33;1;1.45;1;6;1.97;0.45
18HU18051_1701;251;47.40567;-62.59583;454686;62.86;21-oct-18;01:13:00;31.22;0.81;244.7368;7.779;243.53098;0.294;NaN;9;0.61;1;5.885;1;1.33;1;21.035;1;6;4.42;0.28
18HU18051_1702;261;47.4995;-62.751;454693;3.37;21-oct-18;03:07:00;29.69;8.78;294.26474;8.199;294.9793;1.018;1.14;1;0.115;1;0.8;1;0.32;1;2.09;1;6;2.50;0.38
18HU18051_1702;261;47.4995;-62.751;454692;15.57;21-oct-18;03:07:00;29.69;8.78;294.3094;8.194;NaN;0.976;1.155;1;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18HU18051_1702;261;47.4995;-62.751;454691;25.68;21-oct-18;03:07:00;29.68;8.75;293.8628;8.166;295.4259;0.985;1.175;1;0.115;1;0.815;1;0.33;1;2.06;1;6;2.47;0.40
18HU18051_1702;261;47.4995;-62.751;454690;48.98;21-oct-18;03:07:00;31.17;1.55;269.43378;7.876;267.84835;0.225;NaN;9;0.12333;1;6.59667;1;1.18333;1;16.945;1;6;5.57;0.39
18HU18051_1703;271;47.499;-63.251;454697;2.97;21-oct-18;06:24:00;29.78;7.35;304.3579;8.168;304.15693;1.075;1.075;1;0.085;1;1.63;1;0.46;1;2.965;1;6;3.54;0.55
18HU18051_1703;271;47.499;-63.251;454696;15.97;21-oct-18;06:24:00;29.79;7.34;304.44722;8.165;NaN;1.069;1.13;1;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18HU18051_1703;271;47.499;-63.251;454695;25.29;21-oct-18;06:24:00;29.79;7.31;304.3579;8.148;306.74721;1.031;1.045;1;0.085;1;1.695;1;0.46;1;3.12;1;6;3.68;0.54
18HU18051_1703;271;47.499;-63.251;454694;72.58;21-oct-18;06:24:00;31.74;0.38;229.37376;7.724;226.33688;0.16;NaN;9;0.105;1;12.98;1;1.505;1;25.885;1;6;8.62;0.50
18HU18051_1704;281;47.83067;-63.25617;454701;2.08;21-oct-18;09:39:00;30.46;5.57;313.33456;8.136;311.16855;1.026;1.075;1;0.14;1;2.19;1;0.6;1;4.18;1;6;3.65;0.52
18HU18051_1704;281;47.83067;-63.25617;454700;15.67;21-oct-18;09:39:00;30.46;5.39;312.93262;8.127;NaN;0.967;0.925;1;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18HU18051_1704;281;47.83067;-63.25617;454699;26.28;21-oct-18;09:39:00;30.48;5.35;312.48602;8.115;309.24817;0.869;0.935;1;0.14;1;2.38;1;0.62;1;4.425;1;6;3.84;0.54
18HU18051_1704;281;47.83067;-63.25617;454698;80.01;21-oct-18;09:39:00;31.92;0.34;229.95434;7.731;228.03396;0.163;NaN;9;0.095;1;14.085;1;1.525;1;25.78;1;6;9.24;0.55
18HU18051_1705;291;47.78583;-64.0325;454705;2.38;21-oct-18;14:25:00;29.43;6.52;314.76368;8.179;313.89281;1.059;1.53;1;0.11;1;1.62;1;0.5;1;1.815;1;6;3.24;0.89
18HU18051_1705;291;47.78583;-64.0325;454704;16.16;21-oct-18;14:25:00;29.43;6.49;315.0763;8.175;NaN;1.051;1.345;1;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18HU18051_1705;291;47.78583;-64.0325;454703;25.78;21-oct-18;14:25:00;29.5;6.48;313.78116;8.166;312.21806;0.814;0.96;1;0.12;1;1.565;1;0.515;1;1.715;1;6;3.04;0.91
18HU18051_1705;291;47.78583;-64.0325;454702;77.33;21-oct-18;14:25:00;31.8;1.22;255.41054;7.835;253.40084;0.162;NaN;9;0.12;1;11.455;1;1.355;1;19.275;1;6;8.45;0.59
18HU18051_1706;301;47.934;-65.25283;454709;3.67;22-oct-18;03:12:00;29.7;7.21;305.74236;8.187;305.54139;1.224;1.02;1;0.12;1;1.535;1;0.52;1;2.295;1;6;2.95;0.67
18HU18051_1706;301;47.934;-65.25283;454708;14.97;22-oct-18;03:12:00;29.7;7.19;306.01032;8.188;NaN;1.177;0.955;1;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18HU18051_1706;301;47.934;-65.25283;454707;25.58;22-oct-18;03:12:00;29.7;7.19;305.87634;8.18;306.01032;1.275;0.98;1;0.11;1;1.495;1;0.515;1;2.285;1;6;2.90;0.65
18HU18051_1706;301;47.934;-65.25283;454706;64.84;22-oct-18;03:12:00;31.1;3.24;270.28232;7.967;267.87068;0.156;NaN;9;0.13;1;8.845;1;1.095;1;12.285;1;6;8.08;0.72
