CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;calc;calc
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TEMP_XX;DOXY;CHL_01;Q_CHL;PSAL_BS;Q_PSAL;OXY_02;Q_OXY;NO2_01;Q_NO2;NO2_01;Q_NO2;NOx_01;Q_NOX;NOx_01;Q_NOX;PO4_01;Q_PO4;PO4_01;Q_PO4;Si_01;Q_Si;Si_01;Q_Si;QCFF;N_P;N_Si
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);(mg/m**3);((none));(PSU);((none));(ml/l);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));((none));((none));((none))
18HU13008_058;STN27;47.54669;-52.59989;392018;164.3;09-may-13;11:38:00;32.8492;-0.2376;7.3553;NaN;9;NaN;9;7.4215;1;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18HU13008_058;STN27;47.54669;-52.59989;392022;164.33;09-may-13;11:38:00;32.849;-0.2371;7.3565;NaN;9;NaN;9;6.6255;1;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18HU13008_121;HL_16;39.6903;-59.548;392809;3.07;24-may-13;09:44:00;36.2356;22.3438;4.7817;NaN;9;36.2374;1;4.966;1;NaN;9;0.1;1;NaN;9;0;1;NaN;9;0.0135;1;NaN;9;0.85;1;0;0.00;0.00
18HU13008_121;HL_16;39.6903;-59.548;392808;49.12;24-may-13;09:44:00;36.3715;21.4302;4.7682;NaN;9;36.3842;1;4.965;1;NaN;9;0.12;1;NaN;9;0;1;NaN;9;0.03;1;NaN;9;0.485;1;0;0.00;0.00
18HU13008_121;HL_16;39.6903;-59.548;392807;100.03;24-may-13;09:44:00;36.6237;20.5754;3.4732;NaN;9;36.6547;1;3.581;1;NaN;9;0.07;1;NaN;9;6.235;1;NaN;9;0.318;1;NaN;9;2.255;1;0;19.61;2.76
18HU13008_121;HL_16;39.6903;-59.548;392806;194.96;24-may-13;09:44:00;36.3082;16.9578;4.0889;NaN;9;36.3006;1;4.28;1;NaN;9;0;1;NaN;9;7.89;1;NaN;9;0.4165;1;NaN;9;2.555;1;0;18.94;3.09
18HU13008_121;HL_16;39.6903;-59.548;392805;331.34;24-may-13;09:44:00;35.782;13.8555;4.9268;NaN;9;35.778;1;5.121;1;NaN;9;0.04;1;NaN;9;9.84;1;NaN;9;0.585;1;NaN;9;4.075;1;0;16.82;2.41
18HU13008_121;HL_16;39.6903;-59.548;392804;536.12;24-may-13;09:44:00;35.3955;10.9943;3.1706;NaN;9;35.3806;1;NaN;9;NaN;9;0.04;1;NaN;9;23.3;1;NaN;9;1.4165;1;NaN;9;11.675;1;0;16.45;2.00
18HU13008_121;HL_16;39.6903;-59.548;392803;730.25;24-may-13;09:44:00;35.0974;7.2709;3.9579;NaN;9;35.099;1;NaN;9;NaN;9;0.06;1;NaN;9;23.865;1;NaN;9;1.499;1;NaN;9;14.23;1;0;15.92;1.68
18HU13008_121;HL_16;39.6903;-59.548;392802;960.45;24-may-13;09:44:00;35.0251;5.2234;5.193;NaN;9;35.025;1;5.375;1;NaN;9;0;1;NaN;9;20.035;1;NaN;9;1.2795;1;NaN;9;12.37;1;0;15.66;1.62
18HU13008_121;HL_16;39.6903;-59.548;392801;1201.6;24-may-13;09:44:00;34.9942;4.5686;5.574;NaN;9;34.9948;1;5.782;1;NaN;9;0.15;1;NaN;9;19.02;1;NaN;9;1.179;1;NaN;9;12.035;1;0;16.13;1.58
