CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;calc;calc
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;OXYM_01;Q_OXYM;SSAL_XX;CHL_XX;Q_CHL;NO2_01;Q_NO2;NOx_01;Q_NOX;PO4_01;Q_PO4;Si_01;Q_Si;QCFF;N_P;N_Si
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(mmol/m**3);((none));((none));(mg/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));((none));((none));((none))
180166005_247;CAST#1;44.58333;-64.03333;-88;15;15-aug-66;00:00:00;320;4;31.204;1.35;1;0.01;1;0.72;1;0.41;1;4.5;1;6;1.76;0.16
180166005_247;CAST#1;44.58333;-64.03333;-89;25;15-aug-66;00:00:00;315;4;31.504;0.75;1;0.09;1;0.97;1;0.54;1;5.2;2;2054;1.80;0.19
180166005_247;CAST#1;44.58333;-64.03333;-90;45;15-aug-66;00:00:00;295;4;31.664;0.38;1;0.18;1;1.49;1;0.83;1;7.8;1;6;1.80;0.19
180166005_275;CAST#1;44.58333;-64.03333;-91;1;18-aug-66;00:00:00;250;4;30.355;1.12;1;0.01;1;0.41;1;0.18;1;2.5;2;2054;2.28;0.16
180166005_275;CAST#1;44.58333;-64.03333;-92;5;18-aug-66;00:00:00;265;4;31.027;1.58;1;0.01;1;0.29;1;0.18;1;2.3;1;6;1.61;0.13
180166005_275;CAST#1;44.58333;-64.03333;-93;10;18-aug-66;00:00:00;335;4;31.342;2.48;1;0.03;1;0.52;1;0.26;1;2.8;2;2054;2.00;0.19
180166005_275;CAST#1;44.58333;-64.03333;-94;15;18-aug-66;00:00:00;320;4;31.453;1.28;1;0.01;1;0.3;1;0.37;1;4.1;1;6;0.81;0.07
180166005_275;CAST#1;44.58333;-64.03333;-95;25;18-aug-66;00:00:00;305;4;31.616;0.6;1;0.13;1;1.13;1;0.66;1;6;2;2054;1.71;0.19
180166005_275;CAST#1;44.58333;-64.03333;-96;45;18-aug-66;00:00:00;285;4;31.716;0.45;1;0.25;1;2.05;1;0.87;1;9.8;1;6;2.36;0.21
180166005_277;CAST#1;44.58333;-64.03333;-97;1;22-aug-66;00:00:00;300;4;30.665;0.9;1;0.01;1;0.34;1;0.2;1;3.1;2;2054;1.70;0.11
180166005_277;CAST#1;44.58333;-64.03333;-98;5;22-aug-66;00:00:00;355;4;31.239;1.06;1;0;1;0.41;1;0.25;1;2.8;2;2054;1.64;0.15
180166005_277;CAST#1;44.58333;-64.03333;-99;10;22-aug-66;00:00:00;370;4;31.45;1.06;1;0.02;1;0.24;1;0.33;1;3;2;2054;0.73;0.08
180166005_277;CAST#1;44.58333;-64.03333;-100;15;22-aug-66;00:00:00;360;4;31.495;1.28;1;0.01;1;0.35;1;0.37;1;3.5;1;6;0.95;0.10
180166005_277;CAST#1;44.58333;-64.03333;-101;25;22-aug-66;00:00:00;345;4;31.574;0.68;1;0.1;1;0.73;1;0.56;1;4.9;2;2054;1.30;0.15
180166005_277;CAST#1;44.58333;-64.03333;-102;45;22-aug-66;00:00:00;305;4;31.709;0.6;1;0.27;1;2.17;1;1.01;1;13.5;1;6;2.15;0.16
